TimeStamp,ch1,ch2,ch3,ch5,ch6
346946.7402,-370323.03,-372825.24,-60323.67,-70918.38,-41129.64
346946.7442,-369918.01,-373051.54,-60134.66,-77823.74,-45977.45
346946.7482,-371300.17,-376435.56,-60580.4,-98659.91,-51696.16
346946.7522,-373050.73,-379823.44,-61286.27,-113989.13,-53067.17
346946.7562,-372294.76,-377491.28,-61215.6,-93521.13,-44599.87
346946.7602,-369734.62,-372932.67,-60296.3,-70727.31,-41096.88
346946.7642,-369334.55,-373166.51,-60112.67,-77586.76,-45940.21
346946.7682,-370886.75,-376709.98,-60565.0,-98464.93,-51660.88
346946.7722,-372763.54,-380177.26,-61274.11,-113907.64,-53063.97
346946.7762,-371978.95,-377712.63,-61216.08,-93678.15,-44646.36
346946.7802,-369362.3,-372959.52,-60314.76,-70833.88,-41089.35
346946.7842,-369050.31,-373172.85,-60125.07,-77532.25,-45906.55
346946.7882,-370783.33,-376883.03,-60559.8,-98560.49,-51687.2
346946.7922,-373101.23,-380855.18,-61280.88,-114868.75,-53252.56
346946.7962,-371551.41,-377446.89,-61262.76,-93349.94,-44468.98
346946.8002,-367467.26,-370974.44,-60312.33,-67706.12,-40482.1
346946.8041,-366638.8,-370671.94,-60041.39,-73443.85,-45357.04
346946.8081,-368378.25,-374470.56,-60480.17,-94408.14,-51230.72
346946.8121,-370476.86,-378242.44,-61209.4,-110301.22,-52800.61
346946.8161,-369884.68,-376023.62,-61163.86,-91079.1,-44572.79
346946.8201,-367501.73,-371578.83,-60275.99,-68932.11,-41057.78
346946.8241,-367282.72,-371988.87,-60091.22,-75523.0,-45770.32
346946.8281,-368846.98,-375592.9,-60533.72,-95786.68,-51394.47
346946.8321,-370790.48,-379224.15,-61216.55,-111193.34,-52888.26
346946.8361,-370266.72,-377193.21,-61176.69,-92364.66,-44770.06
346946.8401,-367936.46,-372903.77,-60314.52,-70433.01,-41241.22
346946.8441,-367526.15,-373151.82,-60132.65,-76554.83,-45839.41
346946.8481,-368913.84,-376590.2,-60548.07,-96385.3,-51398.71
346946.8521,-370857.43,-380221.13,-61221.89,-111886.9,-52941.85
346946.8561,-370337.1,-378156.99,-61176.78,-93264.4,-44839.82
346946.8601,-367886.25,-373698.85,-60335.31,-71186.84,-41269.69
346946.8641,-367335.79,-373700.85,-60143.76,-76969.35,-45809.47
346946.8681,-368560.31,-376784.66,-60569.68,-96335.23,-51310.12
346946.8721,-370466.99,-380178.78,-61214.31,-111662.78,-52883.68
346946.8761,-370131.25,-378170.58,-61174.69,-93498.38,-44889.6
346946.8801,-367912.67,-373839.76,-60339.36,-71793.28,-41347.37
346946.8841,-367386.86,-373725.7,-60161.12,-77472.74,-45848.8
346946.8881,-368595.6,-376628.92,-60579.16,-96666.16,-51337.2
346946.8921,-370502.28,-379917.24,-61222.42,-111967.77,-52919.63
346946.8961,-370222.47,-377960.3,-61183.6,-93913.28,-44945.2
346946.9001,-367988.25,-373586.84,-60338.08,-72158.44,-41371.02
346946.9041,-367456.05,-373401.69,-60155.49,-77755.08,-45842.94
346946.9081,-368638.23,-376232.76,-60566.1,-96917.5,-51319.84
346946.9121,-370530.03,-379480.98,-61240.49,-112220.73,-52926.5
346946.9161,-370251.41,-377528.38,-61192.95,-94105.92,-44934.23
346946.9201,-368065.59,-373207.8,-60340.79,-72286.61,-41342.98
346946.9241,-367578.69,-373035.71,-60159.45,-77883.54,-45824.1
346946.9281,-368774.84,-375860.83,-60567.34,-97052.63,-51315.08
346946.932,-370613.0,-379070.9,-61205.06,-112342.9,-52920.78
346946.936,-370345.26,-377162.79,-61178.98,-94255.03,-44931.85
346946.94,-368157.57,-372858.52,-60329.25,-72394.81,-41323.29
346946.944,-367580.6,-372622.34,-60136.52,-77966.03,-45833.07
346946.948,-368614.81,-375305.17,-60545.5,-97092.07,-51324.71
346946.952,-370359.75,-378441.24,-61199.96,-112381.09,-52936.04
346946.956,-370152.85,-376605.65,-61160.76,-94328.84,-44939.71
346946.96,-368088.62,-372355.7,-60320.1,-72458.66,-41316.23
346946.964,-367510.65,-372021.96,-60142.48,-77978.72,-45836.88
346946.968,-368492.69,-374580.95,-60556.09,-97035.28,-51319.89
346946.972,-370213.84,-377633.19,-61218.08,-112318.72,-52945.48
346946.976,-370199.58,-375953.05,-61170.59,-94429.36,-44982.87
346946.98,-368232.48,-371797.7,-60329.4,-72618.54,-41353.28
346946.984,-367540.26,-371340.03,-60146.53,-78040.9,-45840.41
346946.988,-368340.82,-373669.1,-60549.74,-96936.19,-51306.3
346946.992,-369991.06,-376659.01,-61212.98,-112187.83,-52944.33
346946.9959,-370146.94,-375201.7,-61165.91,-94493.45,-45021.35
346946.9999,-368314.74,-371189.02,-60333.83,-72770.41,-41381.7
346947.0039,-367504.31,-370568.41,-60154.97,-78053.53,-45820.0
346947.0079,-368140.84,-372711.99,-60561.76,-96772.63,-51261.43
346947.0119,-369767.09,-375666.42,-61208.92,-111984.74,-52926.5
346947.0159,-370229.57,-374563.45,-61160.95,-94561.21,-45056.54
346947.0199,-368600.7,-370791.0,-60329.06,-72948.85,-41399.53
346947.0239,-367723.6,-370119.09,-60150.96,-78087.1,-45786.62
346947.0279,-368162.87,-372079.66,-60567.72,-96583.43,-51200.44
346947.0319,-369684.93,-374995.51,-61204.77,-111761.73,-52899.32
346947.0359,-370394.27,-374232.24,-61147.55,-94605.27,-45078.33
346947.0399,-368985.89,-370705.79,-60324.2,-73164.28,-41428.14
346947.0439,-367998.02,-369871.95,-60165.75,-78183.61,-45810.37
346947.0479,-368219.51,-371531.39,-60579.97,-96457.78,-51188.95
346947.0519,-369635.63,-374286.31,-61208.59,-111564.36,-52877.62
346947.0559,-370613.19,-373817.77,-61139.54,-94647.94,-45089.06
346947.0599,-369387.67,-370491.22,-60324.91,-73321.92,-41442.3
346947.0639,-368288.27,-369489.38,-60158.98,-78226.1,-45797.93
346947.0679,-368294.95,-370833.39,-60558.37,-96335.09,-51155.76
346947.0719,-369665.91,-373479.98,-61176.78,-111416.16,-52867.61
346947.0759,-370950.27,-373335.26,-61122.0,-94678.37,-45120.82
346947.0799,-369981.76,-370247.65,-60316.33,-73451.29,-41478.21
346947.0839,-368816.47,-369115.44,-60158.69,-78260.81,-45806.99
346947.0879,-368658.01,-370240.68,-60565.67,-96187.98,-51145.32
346947.0919,-369929.64,-372816.65,-61177.74,-111210.26,-52867.9
346947.0959,-371484.04,-373118.97,-61103.4,-94776.16,-45173.13
346947.0999,-370690.87,-370386.12,-60300.69,-73713.55,-41508.63
346947.1039,-369327.64,-369132.52,-60145.48,-78349.79,-45783.86
346947.1079,-368835.35,-369946.91,-60561.47,-95974.7,-51075.51
346947.1119,-369958.21,-372439.0,-61167.25,-110944.38,-52826.32
346947.1159,-371816.73,-373247.1,-61095.72,-94992.41,-45237.12
346947.1199,-371246.57,-370884.32,-60320.15,-74232.54,-41601.0
346947.1238,-369613.93,-369369.65,-60174.09,-78563.79,-45793.49
346947.1278,-368727.44,-369761.22,-60576.64,-95745.38,-51012.38
346947.1318,-369651.46,-372085.9,-61153.13,-110575.07,-52772.29
346947.1358,-371905.42,-373431.54,-61076.27,-95156.06,-45306.16
346947.1398,-371650.31,-371488.23,-60317.0,-74752.58,-41672.66
346947.1438,-369770.67,-369674.35,-60186.92,-78687.01,-45767.31
346947.1478,-368355.51,-369402.45,-60573.44,-95080.43,-50875.48
346947.1518,-369178.58,-371588.7,-61132.39,-109784.38,-52701.53
346947.1558,-372088.57,-373744.63,-61059.53,-95343.08,-45443.11
346947.1598,-372123.05,-372141.6,-60321.2,-75216.3,-41770.94
346947.1638,-370006.94,-370030.69,-60177.0,-78720.25,-45736.65
346947.1678,-368300.34,-369406.08,-60556.99,-94642.75,-50761.56
346947.1718,-368985.08,-371433.49,-61105.35,-109136.26,-52596.77
346947.1758,-372215.32,-373977.56,-61020.81,-95116.72,-45431.81
346947.1798,-372743.46,-372952.55,-60314.71,-75655.04,-41862.49
346947.1838,-370582.24,-370828.24,-60199.03,-79104.24,-45791.35
346947.1877,-368702.74,-370103.5,-60574.78,-94887.12,-50799.14
346947.1917,-369345.76,-372179.5,-61117.51,-109413.88,-52639.44
346947.1957,-372577.57,-374735.59,-61024.77,-95386.71,-45458.7
346947.1997,-372939.96,-373567.53,-60317.19,-75657.66,-41823.44
346947.2037,-370643.85,-371381.42,-60193.93,-78997.43,-45737.8
346947.2077,-368777.13,-370738.98,-60569.48,-94863.24,-50761.56
346947.2117,-369319.91,-372748.71,-61119.28,-109295.43,-52595.38
346947.2157,-372451.45,-375180.43,-61033.11,-95140.85,-45398.29
346947.2197,-372812.41,-373987.81,-60307.99,-75420.63,-41778.38
346947.2237,-370616.48,-371927.21,-60180.43,-78920.33,-45744.85
346947.2277,-368756.72,-371315.48,-60564.33,-94739.4,-50761.9
346947.2317,-369292.88,-373300.02,-61124.76,-109119.52,-52591.14
346947.2357,-372452.35,-375704.62,-61015.23,-95062.22,-45411.64
346947.2397,-372896.76,-374539.99,-60296.35,-75440.75,-41805.61
346947.2437,-370719.29,-372468.18,-60180.48,-78871.16,-45736.56
346947.2477,-368849.32,-371821.02,-60559.61,-94571.6,-50722.99
346947.2517,-369344.33,-373736.57,-61106.98,-108893.6,-52562.53
346947.2557,-372510.1,-376088.71,-61016.19,-95010.86,-45431.76
346947.2597,-372952.55,-374876.64,-60298.26,-75470.6,-41813.86
346947.2637,-370791.43,-372801.4,-60184.1,-78821.76,-45736.94
346947.2677,-368935.25,-372148.8,-60561.95,-94368.56,-50703.53
346947.2717,-369431.73,-374050.38,-61109.55,-108630.38,-52551.56
346947.2757,-372551.58,-376336.19,-61026.15,-94871.77,-45448.36
346947.2797,-373009.77,-375105.28,-60304.65,-75407.61,-41821.06
346947.2837,-370870.25,-373013.59,-60178.48,-78676.23,-45722.06
346947.2877,-369058.13,-372376.87,-60559.23,-94118.22,-50684.93
346947.2917,-369584.46,-374290.84,-61108.93,-108335.13,-52547.37
346947.2957,-372637.75,-376491.64,-61021.86,-94715.65,-45464.62
346947.2997,-373052.4,-375180.58,-60308.46,-75329.17,-41832.17
346947.3037,-370980.02,-373137.38,-60188.01,-78559.98,-45712.33
346947.3077,-369259.26,-372574.56,-60569.72,-93904.08,-50645.64
346947.3117,-369814.01,-374499.94,-61110.31,-108091.94,-52507.74
346947.3156,-372770.4,-376596.97,-61014.95,-94648.99,-45456.51
346947.3196,-373147.44,-375235.17,-60309.89,-75387.34,-41833.83
346947.3236,-371085.59,-373184.77,-60188.4,-78506.1,-45695.41
346947.3276,-369445.94,-372686.67,-60555.56,-93681.44,-50607.4
346947.3316,-370025.25,-374655.01,-61085.71,-107798.49,-52473.12
346947.3356,-372890.66,-376695.2,-60992.68,-94583.57,-45475.11
346947.3396,-373213.19,-375289.77,-60293.25,-75451.19,-41843.04
346947.3436,-371230.46,-373322.96,-60182.72,-78478.49,-45682.91
346947.3476,-369658.09,-372897.24,-60561.95,-93485.13,-50576.74
346947.3516,-370262.91,-374892.85,-61099.25,-107555.69,-52463.59
346947.3556,-373014.21,-376826.09,-61010.18,-94557.63,-45519.21
346947.3596,-373264.98,-375345.89,-60307.13,-75545.51,-41887.62
346947.3636,-371319.34,-373417.23,-60190.49,-78489.03,-45694.07
346947.3676,-369876.0,-373140.14,-60571.25,-93404.11,-50575.45
346947.3716,-370548.72,-375227.07,-61104.59,-107454.03,-52484.23
346947.3756,-373097.51,-376954.89,-61014.42,-94546.85,-45548.78
346947.3795,-373142.95,-375240.08,-60314.19,-75487.34,-41890.2
346947.3835,-371256.06,-373380.28,-60195.41,-78380.55,-45691.11
346947.3875,-369973.94,-373312.47,-60562.38,-93360.44,-50588.52
346947.3915,-370816.61,-375630.71,-61102.35,-107604.66,-52526.62
346947.3955,-372845.41,-376774.21,-61044.7,-94171.58,-45438.72
346947.3995,-371544.17,-373485.32,-60312.8,-72976.17,-41397.96
346947.4035,-369045.54,-370947.64,-60124.55,-74687.54,-45184.9
346947.4075,-368330.33,-371621.37,-60475.45,-90467.89,-50383.29
346947.4115,-369981.29,-374974.63,-61053.9,-106140.77,-52557.62
346947.4155,-371959.44,-376100.68,-61030.44,-93011.29,-45428.47
346947.4195,-370513.2,-372635.12,-60301.6,-71712.45,-41332.39
346947.4235,-368137.12,-370202.54,-60118.25,-73356.88,-45102.32
346947.4275,-367573.64,-370993.71,-60474.02,-89107.67,-50308.52
346947.4315,-369426.87,-374525.93,-61050.76,-105032.41,-52558.38
