TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
346946.7776,59.658,-163.968,971.974,-1995.0,-1837.5,-3517.5,89.68,-48.64,-460.56
346946.8276,100.65,-176.046,1006.805,-2563.75,560.0,6693.75,80.56,-36.48,-454.48
346946.8776,75.091,-169.824,998.448,-1408.75,735.0,7918.75,69.92,-41.04,-443.84
346946.9276,85.4,-179.096,1001.01,-3193.75,1513.75,7743.75,79.04,-34.96,-465.12
346946.9776,64.416,-168.726,1000.583,17.5,1058.75,9835.0,77.52,-27.36,-465.12
346947.0276,57.401,-154.635,992.775,-1601.25,-140.0,11226.25,79.04,-33.44,-471.2
346947.0776,75.274,-186.538,1000.827,-113.75,-2371.25,12145.0,86.64,-31.92,-433.2
346947.1276,81.862,-172.203,993.629,-35.0,-3911.25,12398.75,95.76,-36.48,-442.32
346947.1776,77.653,-189.222,983.686,-4331.25,-4217.5,9686.25,79.04,-24.32,-460.56
346947.2276,94.367,-212.524,999.912,-1522.5,-5092.5,6230.0,85.12,-22.8,-445.36
346947.2776,101.504,-196.908,987.102,-1128.75,-5845.0,6562.5,91.2,-25.84,-456.0
346947.3277,109.007,-192.577,986.614,-2196.25,-4655.0,5687.5,74.48,-19.76,-434.72
346947.3776,112.118,-200.141,978.379,-2371.25,-5162.5,4777.5,91.2,-24.32,-436.24
346947.4276,127.978,-199.348,994.971,-3027.5,-2913.75,5285.0,72.96,-31.92,-428.64
346947.4776,116.937,-201.727,984.174,-2712.5,-5250.0,7157.5,82.08,-25.84,-449.92
346947.5276,136.335,-203.13,1001.864,-3666.25,-3640.0,8041.25,62.32,-18.24,-443.84
346947.5776,125.721,-225.578,975.329,-3106.25,-3491.25,5713.75,80.56,-6.08,-430.16
346947.6276,130.54,-208.986,990.274,-1312.5,-3001.25,3631.25,82.08,-13.68,-425.6
346947.6776,143.106,-199.287,982.527,-3605.0,-3823.75,5127.5,83.6,-13.68,-446.88
346947.7276,152.439,-211.67,974.841,-2747.5,-3535.0,6991.25,72.96,-15.2,-433.2
346947.7776,171.41,-226.859,965.752,-5897.5,-3001.25,7866.25,72.96,-10.64,-439.28
346947.8276,179.34,-272.67,968.68,-4926.25,1461.25,4602.5,71.44,0.0,-430.16
346947.8776,155.977,-266.753,983.686,-1828.75,3570.0,1085.0,77.52,12.16,-436.24
346947.9276,146.583,-244.427,994.483,1207.5,4182.5,-813.75,79.04,-13.68,-419.52
346947.9776,137.372,-219.112,984.174,5022.5,1645.0,901.25,79.04,4.56,-424.08
346948.0276,149.755,-198.189,974.17,5582.5,1006.25,1417.5,76.0,-6.08,-421.04
346948.0776,154.33,-207.156,981.978,-420.0,3403.75,2616.25,74.48,0.0,-434.72
346948.1276,149.267,-223.565,977.708,866.25,3333.75,5678.75,77.52,-4.56,-421.04
346948.1776,127.49,-143.106,985.089,-3167.5,1995.0,7236.25,94.24,0.0,-434.72
346948.2276,135.481,-123.403,1036.878,-3508.75,-5468.75,10500.0,77.52,6.08,-421.04
346948.2776,232.471,105.042,1069.879,-17491.25,-2511.25,22286.25,89.68,-6.08,-428.64
346948.3276,153.049,-33.001,957.761,-57443.75,11305.0,31386.25,89.68,19.76,-425.6
346948.3776,117.242,-173.972,816.546,-37257.5,3535.0,25112.5,88.16,38.0,-425.6
346948.4276,166.042,-333.365,926.102,-86721.25,16065.0,28822.5,95.76,48.64,-404.32
346948.4776,153.964,-500.688,894.626,-48492.5,14945.0,27256.25,106.4,72.96,-378.48
346948.5276,48.068,-636.169,765.794,-26626.25,18882.5,25445.0,124.64,97.28,-357.2
346948.5776,-17.202,-514.84,796.721,-33582.5,19985.0,16800.0,129.2,107.92,-352.64
346948.6276,-24.339,-539.423,810.751,-30992.5,13492.5,12398.75,136.8,115.52,-343.52
346948.6776,-41.846,-582.001,814.655,-54652.5,15540.0,12451.25,139.84,121.6,-329.84
346948.7276,-70.882,-716.567,799.771,-44686.25,10526.25,7901.25,150.48,135.28,-319.2
346948.7776,-22.021,-754.326,776.225,-29470.0,1093.75,5363.75,145.92,147.44,-300.96
346948.8276,-3.599,-779.397,788.73,-24885.0,472.5,4471.25,152.0,139.84,-288.8
346948.8776,0.122,-781.715,801.052,-17080.0,-2511.25,1855.0,155.04,144.4,-278.16
346948.9276,-14.091,-784.643,796.05,-11445.0,-3535.0,0.0,153.52,155.04,-267.52
346948.9776,-37.393,-842.593,802.15,3858.75,-5267.5,-656.25,156.56,156.56,-285.76
346949.0276,3.416,-698.389,821.121,16913.75,-10316.25,0.0,145.92,147.44,-288.8
346949.0776,17.263,-577.487,808.494,24456.25,-15566.25,-1085.0,150.48,152.0,-290.32
346949.1276,80.032,-554.124,802.943,14043.75,-15557.5,-2905.0,144.4,139.84,-288.8
346949.1776,131.089,-637.938,806.115,16091.25,-10552.5,-14201.25,136.8,145.92,-310.08
346949.2276,165.005,-582.672,823.744,18558.75,-8163.75,-19328.75,121.6,138.32,-307.04
346949.2777,207.522,-614.453,815.326,26040.0,6527.5,-35761.25,123.12,129.2,-314.64
346949.3276,165.127,-690.215,858.88,22356.25,18366.25,-83011.25,107.92,121.6,-331.36
346949.3776,166.469,-643.916,869.86,38473.75,14402.5,-116567.5,86.64,98.8,-320.72
346949.4276,267.18,-383.019,842.349,39751.25,21603.75,-98673.75,63.84,82.08,-331.36
346949.4776,243.695,-366.0,838.811,23782.5,38701.25,-79397.5,44.08,39.52,-355.68
346949.5276,53.558,-407.968,851.987,13457.5,38657.5,-59220.0,51.68,31.92,-364.8
346949.5776,64.477,-474.519,876.997,16861.25,17071.25,-38885.0,34.96,13.68,-384.56
346949.6276,117.791,-432.978,900.665,23003.75,7542.5,-21113.75,41.04,1.52,-386.08
346949.6776,206.668,-365.817,894.382,21323.75,6851.25,13230.0,30.4,-10.64,-402.8
346949.7276,179.767,-348.188,917.379,18690.0,18698.75,13072.5,33.44,-9.12,-410.4
346949.7776,107.116,-307.806,988.932,34405.0,6195.0,7087.5,44.08,-6.08,-407.36
346949.8276,155.977,-161.589,992.409,28463.75,122.5,4620.0,39.52,-24.32,-414.96
346949.8776,240.767,-291.458,973.865,29653.75,-2065.0,-52.5,44.08,-24.32,-425.6
346949.9276,286.029,-103.334,888.404,37327.5,525.0,-6746.25,41.04,-36.48,-440.8
346949.9776,269.803,-157.38,905.667,31123.75,12250.0,-16940.0,45.6,-38.0,-427.12
346950.0276,221.796,-52.582,952.698,11261.25,12853.75,-27562.5,39.52,-53.2,-433.2
346950.0776,221.979,-212.158,1000.461,21726.25,19670.0,-41387.5,51.68,-66.88,-443.84
346950.1276,118.462,-54.778,1009.184,12582.5,14192.5,-44861.25,42.56,-85.12,-456.0
346950.1776,141.947,-63.989,978.44,-2677.5,17876.25,-27580.0,47.12,-76.0,-457.52
346950.2276,103.517,-74.786,1007.659,-10998.75,20938.75,-17657.5,41.04,-92.72,-449.92
346950.2776,21.167,-179.462,1048.102,-9913.75,20466.25,-17106.25,45.6,-89.68,-454.48
346950.3276,0.915,-90.646,1035.048,13098.75,12311.25,-16152.5,60.8,-107.92,-460.56
346950.3776,23.79,-74.725,988.2,6063.75,14638.75,-10482.5,60.8,-109.44,-463.6
346950.4276,-59.78,-44.652,993.873,7358.75,8881.25,-10911.25,56.24,-101.84,-474.24
346950.4776,-44.835,14.945,995.825,3780.0,2467.5,-5267.5,63.84,-117.04,-474.24
346950.5276,52.704,-27.816,1012.661,3596.25,-7647.5,4786.25,62.32,-114.0,-451.44
346950.5776,76.433,46.848,986.126,-2546.25,-4375.0,3850.0,59.28,-114.0,-462.08
346950.6276,118.767,-68.747,996.069,-21595.0,-7980.0,12092.5,48.64,-109.44,-468.16
346950.6776,173.911,-147.498,1011.075,-28341.25,-8032.5,13300.0,59.28,-80.56,-443.84
346950.7276,166.53,-237.717,1018.212,-33766.25,-9283.75,14778.75,48.64,-76.0,-449.92
346950.7776,173.118,-311.344,957.456,-22137.5,-10631.25,19442.5,34.96,-71.44,-430.16
346950.8276,131.394,-323.727,983.503,-7105.0,-12040.0,34273.75,57.76,-56.24,-431.68
