TimeStamp,ch1,ch2,ch3,ch5,ch6
347840.1638,-346422.76,-348682.78,-59503.66,-62057.74,-38423.26
347840.1678,-347456.97,-349752.13,-59064.49,-72947.37,-44332.7
347840.1718,-358867.83,-368278.02,-59266.91,-123665.78,-51846.46
347840.1758,-370207.4,-387022.16,-60273.61,-166429.78,-53106.03
347840.1798,-359961.27,-370913.98,-60658.18,-116366.21,-41823.96
347840.1838,-346201.7,-348571.68,-59507.9,-61692.15,-38433.13
347840.1878,-347206.54,-349676.08,-59049.33,-72571.0,-44358.07
347840.1918,-358741.71,-368091.1,-59246.83,-123651.85,-51912.93
347840.1958,-370303.15,-386770.96,-60267.98,-167147.85,-53203.68
347840.1998,-358852.52,-368698.59,-60681.68,-113784.9,-41412.31
347840.2038,-344005.53,-344813.24,-59453.11,-56078.39,-37925.53
347840.2078,-345803.87,-347234.58,-58978.52,-69230.61,-44338.8
347840.2118,-358371.01,-367137.52,-59233.96,-123262.61,-52130.37
347840.2158,-369876.29,-385434.1,-60296.02,-166558.95,-53235.39
347840.2198,-358325.24,-367281.19,-60696.75,-112807.1,-41427.86
347840.2238,-343647.71,-343848.13,-59508.86,-55477.39,-37949.76
347840.2281,-345642.66,-346525.33,-58991.82,-69174.01,-44414.05
347840.2321,-358710.71,-367043.3,-59238.15,-124587.17,-52366.5
347840.2361,-370451.78,-385552.88,-60312.76,-168699.0,-53438.53
347840.2401,-358575.72,-366946.07,-60690.98,-114167.18,-41463.9
347840.2441,-343750.47,-343343.11,-59456.16,-56395.3,-37959.01
347840.2481,-345775.26,-345906.49,-58989.34,-70063.93,-44428.16
347840.2521,-358908.89,-366275.64,-59258.33,-125531.35,-52379.09
347840.2561,-370769.12,-384801.96,-60330.73,-169848.18,-53492.79
347840.2601,-358902.02,-366238.3,-60717.4,-115353.98,-41507.77
347840.2641,-344019.22,-342567.53,-59473.81,-57472.05,-37994.01
347840.2681,-346019.55,-345070.12,-58991.44,-71125.94,-44467.98
347840.2721,-359173.53,-365482.33,-59250.6,-126661.17,-52422.58
347840.2761,-371064.8,-384174.73,-60342.32,-171136.92,-53551.92
347840.2801,-359212.25,-365778.78,-60741.24,-116786.21,-41574.58
347840.2841,-344244.85,-342115.3,-59481.44,-58766.18,-38025.15
347840.2881,-346194.64,-344678.54,-58984.19,-72340.78,-44503.31
347840.2917,-359337.42,-365245.05,-59238.54,-127881.49,-52468.97
347840.2957,-371276.38,-384189.13,-60339.27,-172550.51,-53623.97
347840.2997,-359419.1,-365811.11,-60724.65,-118334.88,-41635.8
347840.3037,-344386.19,-341899.25,-59480.82,-60135.71,-38047.37
347840.3077,-346315.47,-344320.0,-58995.92,-73546.7,-44519.0
347840.3117,-359491.11,-364973.11,-59237.25,-129043.4,-52483.28
347840.3157,-371503.73,-384143.49,-60330.02,-173839.88,-53673.56
347840.3197,-359740.4,-365698.33,-60726.13,-119799.25,-41703.04
347840.3237,-344701.43,-341385.5,-59490.16,-61473.66,-38077.74
347840.3277,-346606.06,-343624.2,-58996.45,-74711.76,-44510.18
347840.3317,-359773.15,-364420.93,-59243.3,-130082.0,-52475.6
347840.3357,-371814.44,-383941.27,-60329.87,-174931.02,-53691.58
347840.3397,-360077.14,-365360.59,-60746.72,-120951.29,-41725.07
347840.3437,-345001.36,-340563.91,-59505.57,-62358.2,-38075.45
347840.3477,-346859.21,-342614.88,-58993.3,-75376.09,-44514.18
347840.3517,-360019.3,-363651.18,-59244.02,-130685.3,-52488.48
347840.3557,-372109.17,-383661.84,-60327.87,-175742.03,-53741.6
347840.3597,-360764.83,-365541.6,-60729.7,-122841.66,-41921.62
347840.3637,-346335.98,-341402.38,-59540.04,-66038.0,-38389.02
347840.3677,-347743.98,-342643.97,-59086.04,-77782.35,-44505.41
347840.3717,-359488.63,-361640.21,-59285.36,-129208.44,-52070.34
347840.3757,-371349.43,-381925.34,-60298.5,-173578.09,-53541.81
347840.3797,-361559.24,-366499.09,-60728.6,-124912.37,-42287.74
347840.3837,-347590.77,-342640.63,-59565.17,-69243.01,-38622.05
347840.3877,-348438.5,-342734.38,-59090.86,-79434.83,-44477.33
347840.3917,-359967.7,-361630.91,-59272.53,-130281.61,-52036.39
347840.3957,-371871.28,-382545.8,-60270.79,-174982.9,-53577.24
347840.3997,-362182.18,-367120.17,-60715.25,-126715.2,-42350.2
347840.4037,-348206.75,-342626.9,-59588.44,-71013.65,-38643.79
347840.4077,-348891.25,-342179.53,-59100.83,-80716.91,-44434.6
347840.4117,-360224.48,-361037.87,-59272.34,-131098.24,-51963.0
347840.4157,-372157.24,-382654.43,-60254.58,-176037.86,-53603.46
347840.4197,-362695.02,-367599.34,-60709.87,-128523.08,-42463.4
347840.4237,-348728.22,-342559.0,-59587.34,-72767.08,-38696.82
347840.4277,-349272.72,-341697.21,-59096.39,-82106.89,-44443.99
347840.4317,-360526.08,-360755.44,-59263.09,-132260.15,-51979.02
347840.4357,-372446.2,-383014.06,-60252.58,-177320.88,-53653.39
347840.4397,-363066.05,-368046.95,-60703.62,-130124.3,-42535.41
347840.4437,-349125.05,-342481.03,-59588.3,-74358.23,-38755.33
347840.4477,-349659.2,-341409.58,-59108.55,-83563.62,-44495.78
347840.4517,-360841.03,-360720.73,-59274.63,-133599.11,-51999.81
347840.4557,-372737.98,-383596.32,-60249.15,-178777.19,-53698.21
347840.4597,-363396.64,-368642.95,-60702.95,-131851.55,-42606.69
347840.4637,-349452.16,-342505.69,-59603.03,-76047.72,-38789.04
347840.4677,-349949.69,-341173.55,-59113.8,-85139.38,-44498.02
347840.4717,-361124.42,-360761.88,-59275.68,-135132.66,-52002.48
347840.4757,-373026.32,-384206.53,-60258.73,-180387.04,-53714.95
347840.4797,-363733.14,-369307.28,-60716.97,-133683.32,-42654.47
347840.4836,-349786.51,-342751.31,-59606.65,-77902.14,-38839.39
347840.4876,-350263.26,-341314.69,-59111.89,-86912.07,-44535.26
347840.4916,-361384.53,-361162.32,-59274.35,-136779.85,-52020.99
347840.4956,-373288.06,-385123.73,-60254.15,-182124.02,-53751.48
347840.4996,-364005.32,-370206.59,-60707.19,-135549.8,-42706.26
347840.5036,-350048.58,-343213.98,-59608.94,-79666.96,-38853.94
347840.5076,-350526.42,-341619.68,-59115.99,-88574.37,-44536.31
