TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
347840.2276,127.978,-179.706,989.603,-2406.25,4506.25,-1391.25,57.76,-85.12,-457.52
347840.2776,123.525,-190.442,986.614,-490.0,4156.25,-245.0,54.72,-97.28,-457.52
347840.3276,124.257,-180.804,993.629,-175.0,3062.5,778.75,74.48,-89.68,-449.92
347840.3776,124.257,-172.996,995.52,647.5,1872.5,-988.75,66.88,-71.44,-466.64
347840.4276,123.769,-156.282,993.263,-568.75,1846.25,-673.75,71.44,-77.52,-446.88
347840.4776,137.555,-165.31,995.276,105.0,1207.5,411.25,63.84,-82.08,-465.12
347840.5278,142.008,-159.942,994.117,-376.25,2030.0,1128.75,59.28,-77.52,-465.12
347840.5776,144.021,-173.423,998.631,1531.25,4077.5,-245.0,66.88,-80.56,-459.04
347840.6277,137.982,-156.892,996.679,1688.75,4340.0,-1023.75,69.92,-82.08,-459.04
347840.6776,132.675,-154.452,994.788,1155.0,3990.0,-761.25,60.8,-94.24,-459.04
347840.7276,123.098,-162.016,993.446,-315.0,4165.0,2117.5,56.24,-83.6,-469.68
347840.7776,125.782,-180.438,987.59,253.75,5652.5,3342.5,63.84,-85.12,-465.12
347840.8276,82.777,-164.09,992.104,4060.0,5398.75,78.75,79.04,-72.96,-463.6
347840.8776,78.019,-130.845,997.777,2152.5,1881.25,-2730.0,72.96,-77.52,-456.0
347840.9276,91.073,-155.184,1003.572,-6501.25,-945.0,-2546.25,62.32,-86.64,-459.04
347840.9776,136.457,-191.479,994.727,1636.25,-3342.5,551.25,66.88,-83.6,-463.6
347841.0276,155.611,-159.088,992.531,1811.25,-3036.25,945.0,45.6,-80.56,-469.68
347841.0776,159.759,-147.132,993.873,-157.5,-26.25,-936.25,48.64,-86.64,-469.68
347841.1276,160.186,-147.498,993.568,-2747.5,131.25,1006.25,66.88,-94.24,-448.4
347841.1776,155.55,-182.39,984.967,-35.0,1478.75,3806.25,66.88,-86.64,-456.0
347841.2276,148.718,-157.929,986.309,2275.0,1732.5,-218.75,53.2,-77.52,-457.52
347841.2776,147.62,-138.409,992.653,2126.25,2450.0,-1618.75,68.4,-86.64,-465.12
347841.3276,158.783,-126.453,1005.707,-3010.0,5416.25,-1907.5,72.96,-91.2,-460.56
347841.3776,127.978,-168.543,984.113,-6072.5,6133.75,-1557.5,59.28,-85.12,-465.12
347841.4276,135.847,-196.42,980.758,-1618.75,7507.5,175.0,54.72,-83.6,-463.6
347841.4776,98.515,-165.615,996.069,840.0,4287.5,-3902.5,63.84,-95.76,-460.56
347841.5276,125.416,-152.256,996.74,-1575.0,3858.75,-4200.0,68.4,-82.08,-457.52
347841.5776,116.388,-177.998,996.862,-2887.5,1487.5,-2686.25,65.36,-79.04,-466.64
347841.6276,138.775,-189.527,989.603,-1522.5,-210.0,463.75,44.08,-80.56,-460.56
347841.6776,156.465,-180.987,994.178,2817.5,1828.75,743.75,74.48,-85.12,-454.48
347841.7276,144.082,-154.452,992.47,927.5,3255.0,-2231.25,53.2,-82.08,-446.88
347841.7776,143.472,-164.273,991.982,735.0,3342.5,-2038.75,65.36,-80.56,-462.08
347841.8276,134.688,-156.953,991.677,1181.25,3368.75,-201.25,77.52,-80.56,-448.4
347841.8776,142.557,-161.833,989.969,533.75,3395.0,-227.5,68.4,-86.64,-449.92
347841.9276,126.209,-161.162,988.383,-2047.5,3780.0,-647.5,56.24,-85.12,-469.68
347841.9776,139.812,-189.344,986.492,-498.75,3885.0,-1093.75,50.16,-83.6,-456.0
347842.0276,133.407,-164.639,995.947,551.25,4497.5,-2213.75,57.76,-89.68,-442.32
347842.0776,123.769,-173.911,994.544,113.75,2843.75,-1513.75,60.8,-79.04,-460.56
347842.1276,132.126,-162.016,992.287,700.0,3298.75,-490.0,44.08,-80.56,-460.56
347842.1776,127.978,-164.883,992.043,-1391.25,2213.75,910.0,60.8,-83.6,-448.4
347842.2276,135.481,-171.41,993.385,-437.5,1855.0,-210.0,53.2,-77.52,-462.08
347842.2776,140.117,-167.445,995.276,-761.25,2327.5,-1146.25,51.68,-74.48,-457.52
347842.3276,140.605,-168.909,990.579,-105.0,3246.25,-813.75,57.76,-82.08,-466.64
347842.3776,134.2,-162.565,989.237,-831.25,3482.5,-1172.5,66.88,-83.6,-452.96
347842.4276,136.884,-171.105,989.481,-936.25,3036.25,-1426.25,53.2,-77.52,-457.52
347842.4776,132.065,-173.545,993.263,-1295.0,2668.75,70.0,60.8,-82.08,-465.12
347842.5276,132.309,-172.691,990.823,-805.0,3246.25,778.75,56.24,-76.0,-460.56
347842.5776,137.189,-185.135,987.041,-761.25,2721.25,-848.75,66.88,-76.0,-460.56
347842.6276,136.274,-179.767,990.762,-96.25,3071.25,-2135.0,53.2,-74.48,-468.16
347842.6776,130.601,-172.752,998.57,-1198.75,3202.5,-1076.25,63.84,-83.6,-465.12
347842.7276,138.775,-176.595,991.616,-306.25,2388.75,-297.5,74.48,-77.52,-460.56
347842.7776,128.893,-176.961,990.335,175.0,3675.0,-1032.5,54.72,-86.64,-468.16
347842.8276,135.359,-169.397,991.311,-1041.25,3018.75,-953.75,51.68,-79.04,-454.48
347842.8776,138.043,-177.998,992.287,-735.0,3342.5,-61.25,63.84,-86.64,-454.48
347842.9276,130.418,-174.521,991.677,-463.75,3360.0,-1181.25,48.64,-82.08,-439.28
347842.9776,133.285,-176.412,986.675,-481.25,3176.25,-1618.75,47.12,-86.64,-452.96
347843.0276,130.479,-176.229,989.725,-1128.75,2931.25,-1461.25,63.84,-79.04,-463.6
347843.0776,135.115,-188.124,989.664,-691.25,2642.5,-743.75,60.8,-76.0,-460.56
347843.1276,141.764,-186.233,988.017,490.0,2913.75,-245.0,59.28,-79.04,-462.08
347843.1776,132.187,-186.233,990.762,533.75,3570.0,-1741.25,59.28,-60.8,-477.28
347843.2276,136.701,-181.048,985.638,78.75,3473.75,-3342.5,68.4,-83.6,-468.16
347843.2776,132.797,-191.54,994.117,-1058.75,2546.25,-1855.0,62.32,-76.0,-460.56
347843.3276,141.581,-177.449,1002.169,3185.0,2887.5,-1505.0,48.64,-69.92,-465.12
347843.3776,125.965,-138.958,990.701,-4112.5,4585.0,1198.75,47.12,-89.68,-466.64
347843.4276,132.98,-173.545,988.627,1610.0,3438.75,-192.5,76.0,-77.52,-451.44
347843.4776,124.135,-157.868,993.08,-3202.5,3788.75,1330.0,56.24,-82.08,-460.56
347843.5276,138.287,-196.908,1019.127,-420.0,3666.25,490.0,48.64,-77.52,-468.16
347843.5776,139.141,-171.654,1008.147,1461.25,3508.75,-472.5,63.84,-71.44,-456.0
347843.6276,129.442,-185.318,990.823,-1898.75,3080.0,-2651.25,57.76,-85.12,-475.76
347843.6779,129.808,-157.258,986.553,-586.25,2056.25,-43.75,57.76,-74.48,-463.6
347843.7276,136.457,-177.449,1001.681,-4016.25,3001.25,1330.0,50.16,-76.0,-460.56
347843.7777,130.601,-189.649,979.477,1058.75,1951.25,-656.25,59.28,-76.0,-452.96
347843.8276,137.799,-181.597,1005.585,-1102.5,3351.25,-857.5,66.88,-82.08,-446.88
347843.8777,130.418,-199.653,987.59,420.0,3123.75,-1933.75,51.68,-77.52,-462.08
347843.9276,140.239,-177.754,993.934,2458.75,2275.0,-962.5,41.04,-68.4,-463.6
347843.9776,139.812,-176.168,994.361,953.75,2607.5,-35.0,39.52,-69.92,-454.48
