TimeStamp,ch1,ch2,ch3,ch5,ch6
347008.7555,-308590.21,-383906.93,-68755.3,-67880.35,-40557.1
347008.7595,-298283.9,-367153.97,-68453.84,-60160.12,-42726.09
347008.7635,-285568.99,-346705.62,-68319.28,-70994.77,-47093.78
347008.7675,-283815.13,-344804.42,-68402.73,-90256.37,-49841.03
347008.7715,-299583.28,-372188.56,-68746.43,-89987.19,-45057.45
347008.7755,-306951.85,-384752.13,-68805.89,-68017.06,-40528.87
347008.7795,-296833.17,-367745.06,-68496.19,-60196.98,-42662.43
347008.7835,-284322.82,-347052.66,-68342.5,-70969.78,-47059.35
347008.7875,-282726.89,-344843.62,-68402.58,-90267.86,-49870.5
347008.7915,-298674.95,-372018.0,-68751.49,-90220.65,-45107.42
347008.7955,-306177.46,-384371.9,-68821.72,-68171.51,-40535.55
347008.7995,-296147.24,-367113.68,-68497.81,-60115.15,-42653.85
347008.8035,-283682.0,-346197.03,-68364.39,-70743.66,-47045.62
347008.8075,-282181.25,-343977.44,-68415.36,-90225.99,-49889.38
347008.8115,-298738.52,-372145.65,-68747.15,-91720.12,-45347.51
347008.8155,-306676.19,-385243.32,-68860.63,-70439.87,-40773.11
347008.8195,-295889.03,-366941.35,-68546.16,-60477.93,-42562.39
347008.8235,-281932.1,-344012.35,-68374.74,-67966.42,-46571.55
347008.8275,-279529.89,-340879.72,-68333.92,-86326.51,-49469.43
347008.8315,-297269.71,-371450.95,-68647.15,-91435.73,-45585.69
347008.8355,-306524.98,-386978.58,-68863.11,-73291.5,-41259.1
347008.8395,-295519.2,-368604.75,-68614.06,-62548.26,-42724.85
347008.8435,-280884.54,-344928.88,-68392.86,-68404.02,-46482.28
347008.8475,-278232.46,-341540.85,-68327.96,-86328.23,-49380.5
347008.8515,-296173.08,-372265.0,-68664.51,-92211.64,-45633.27
347008.8555,-305587.85,-387737.89,-68895.06,-74331.01,-41377.5
347008.8595,-294448.22,-368915.7,-68651.92,-62885.96,-42748.17
347008.8635,-279665.03,-344744.48,-68426.76,-67974.77,-46420.29
347008.8675,-276948.49,-340882.15,-68326.29,-85653.65,-49341.21
347008.8715,-295294.42,-371785.92,-68623.26,-92628.11,-45766.22
347008.8755,-305388.77,-387877.13,-68922.91,-76059.45,-41587.12
347008.8795,-294500.48,-368951.22,-68739.18,-64484.7,-42846.73
347008.8834,-279138.79,-343376.96,-68485.6,-67692.05,-46218.35
347008.8874,-275591.02,-337815.28,-68328.2,-83496.53,-49013.19
347008.8914,-294355.57,-369263.36,-68586.83,-92038.45,-45866.59
347008.8954,-305438.17,-386987.3,-68937.02,-77732.52,-41884.47
347008.8994,-294101.37,-367515.66,-68774.33,-64755.21,-42782.5
347008.9034,-277633.8,-340450.66,-68534.1,-65376.48,-45873.6
347008.9074,-273499.47,-334277.1,-68289.57,-80446.35,-48744.92
347008.9114,-293499.08,-368108.55,-68513.02,-92741.41,-46216.64
347008.9154,-305983.15,-388403.56,-69010.27,-81790.12,-42500.07
347008.9194,-294133.03,-368412.73,-68927.44,-67256.79,-42947.39
347008.9234,-276380.38,-339872.83,-68603.14,-64963.11,-45618.87
347008.9274,-271208.18,-332904.33,-68271.55,-78364.19,-48396.07
347008.9314,-291286.84,-367862.98,-68475.83,-92072.02,-46211.11
347008.9354,-304062.31,-389603.14,-69013.94,-82540.24,-42652.47
347008.9394,-291951.26,-370337.1,-68949.9,-67827.76,-42962.6
347008.9434,-273618.68,-342157.5,-68619.78,-64696.84,-45501.52
347008.9473,-267838.18,-335140.84,-68269.64,-77351.48,-48280.1
347008.9513,-287880.69,-370222.23,-68448.5,-91804.37,-46294.03
347008.9553,-300998.49,-392258.07,-69020.47,-83324.73,-42809.59
347008.9593,-288928.83,-372946.12,-69015.32,-68397.58,-43047.1
347008.9633,-270363.08,-344428.01,-68695.65,-64456.09,-45473.91
347008.9673,-264380.2,-336988.54,-68301.78,-76686.25,-48181.35
347008.9713,-284666.43,-371878.05,-68455.9,-91847.96,-46299.27
347008.9753,-298274.03,-393858.91,-69050.84,-84001.88,-42905.86
347008.9793,-286400.35,-373962.49,-69034.68,-68604.19,-43025.5
347008.9833,-267989.95,-344929.93,-68685.4,-63905.2,-45335.63
347008.9873,-261908.9,-337098.73,-68298.06,-75680.98,-48057.8
347008.9913,-282634.2,-372618.05,-68425.9,-91616.4,-46335.85
347008.9953,-296762.79,-395343.59,-69076.88,-84460.65,-42946.73
347008.9993,-284584.65,-375170.13,-69121.42,-68671.28,-42979.87
347009.0033,-265287.38,-345055.1,-68734.8,-63262.33,-45269.88
347009.0073,-258800.39,-336349.1,-68279.27,-74691.97,-47979.6
347009.0113,-280030.19,-372145.32,-68427.14,-91356.0,-46394.88
347009.0153,-294806.04,-395438.48,-69102.68,-84953.27,-43138.32
347009.0193,-282593.62,-375017.02,-69103.11,-68839.22,-43054.3
347009.0233,-263004.91,-344434.78,-68713.67,-62679.78,-45165.64
347009.0273,-256249.08,-335355.75,-68272.65,-73521.58,-47822.72
347009.0313,-277868.4,-371768.14,-68414.51,-90984.69,-46458.73
347009.0353,-293218.84,-395832.06,-69125.85,-85518.7,-43259.01
347009.0393,-280996.45,-375242.13,-69149.55,-69139.49,-43045.38
347009.0433,-261027.89,-343888.04,-68712.1,-62273.89,-45014.58
347009.0473,-253994.88,-334101.76,-68273.84,-72735.7,-47680.62
347009.0513,-275979.41,-370821.04,-68447.31,-90684.09,-46454.96
347009.0553,-291970.67,-395481.54,-69183.02,-85719.79,-43301.06
347009.0593,-279692.83,-373966.4,-69210.35,-69152.46,-43015.2
347009.0633,-259220.73,-340534.44,-68790.16,-61970.77,-44957.83
347009.0673,-251917.49,-329758.49,-68288.76,-72299.25,-47653.39
347009.0713,-274522.19,-366041.94,-68436.01,-90682.14,-46588.14
347009.0752,-291221.32,-391195.39,-69219.69,-86148.61,-43453.03
347009.0792,-278812.49,-370533.56,-69229.32,-69497.07,-43066.55
347009.0832,-257787.16,-337895.53,-68781.34,-61937.72,-44874.24
347009.0872,-250219.09,-326921.74,-68251.19,-72001.7,-47507.82
347009.0912,-273796.64,-364330.53,-68434.15,-90726.86,-46522.48
347009.0952,-291546.24,-390591.52,-69252.02,-86583.91,-43466.57
347009.0992,-278807.01,-369452.85,-69249.4,-69714.65,-43043.57
347009.1032,-256755.29,-335747.09,-68781.24,-61823.33,-44800.05
347009.1072,-248609.14,-324197.38,-68280.9,-71753.22,-47468.1
347009.1112,-272993.45,-362818.0,-68462.71,-90897.19,-46603.54
347009.1152,-291250.22,-390086.75,-69285.45,-87044.15,-43547.97
347009.1192,-277888.86,-368617.86,-69281.01,-69988.4,-43030.22
347009.1232,-255029.09,-334322.59,-68775.9,-61801.87,-44721.56
347009.1272,-246409.73,-322831.86,-68238.84,-71580.85,-47431.05
347009.1312,-271102.27,-362688.06,-68468.15,-91050.16,-46629.2
347009.1352,-289721.09,-391343.31,-69333.85,-87499.72,-43575.72
347009.1392,-276039.68,-370330.66,-69321.93,-70274.65,-43036.8
347009.1432,-252648.34,-336205.62,-68786.2,-61813.74,-44696.19
347009.1472,-243692.38,-325034.51,-68223.06,-71431.5,-47349.55
347009.1512,-268776.73,-365733.24,-68439.11,-91166.75,-46644.41
347009.1552,-287806.16,-394675.87,-69350.06,-87814.2,-43613.49
347009.1592,-273704.66,-373516.99,-69317.64,-70431.91,-42973.57
347009.1632,-249478.47,-339672.8,-68764.55,-61736.78,-44585.47
347009.1672,-239915.49,-328924.93,-68215.62,-71239.29,-47280.7
347009.1712,-265330.92,-370066.26,-68467.01,-91221.15,-46664.39
347009.1752,-284839.14,-398790.07,-69380.72,-88098.97,-43680.96
347009.1792,-270568.5,-376560.92,-69353.59,-70595.32,-42980.58
347009.1832,-246066.41,-341343.01,-68797.74,-61727.72,-44537.36
347009.1872,-236532.95,-329116.48,-68219.05,-71136.05,-47263.72
347009.1912,-261999.5,-369600.15,-68474.49,-91281.04,-46724.13
347009.1952,-280359.97,-398191.74,-69409.0,-88253.56,-43698.94
347009.1992,-263746.34,-374958.18,-69394.22,-70625.03,-42998.75
347009.2031,-237107.88,-338135.14,-68832.6,-61592.35,-44613.7
347009.2071,-226545.22,-324912.3,-68265.16,-70912.66,-47325.95
347009.2111,-252357.94,-366672.37,-68485.84,-91147.48,-46770.39
347009.2151,-271181.47,-396850.3,-69413.15,-88204.63,-43764.88
347009.2191,-254466.33,-373011.2,-69416.25,-70464.67,-43017.2
347009.2231,-227767.35,-334508.75,-68857.77,-61328.13,-44577.46
347009.2271,-217598.23,-320345.34,-68239.55,-70621.83,-47291.9
347009.2311,-244916.71,-363751.55,-68470.68,-91072.62,-46776.16
347009.2351,-264908.58,-395653.39,-69435.84,-88353.12,-43770.56
347009.2391,-248128.49,-371311.18,-69449.67,-70637.0,-43033.7
347009.2431,-221038.42,-331524.75,-68871.84,-61424.74,-44571.41
347009.2471,-210822.8,-316713.28,-68258.44,-70636.52,-47245.13
347009.2511,-238787.82,-360923.76,-68483.89,-91078.01,-46759.94
347009.2551,-259133.56,-393439.67,-69448.77,-88345.2,-43770.41
347009.2591,-241974.43,-368738.46,-69455.58,-70547.92,-43009.33
347009.2631,-214591.29,-328539.46,-68882.9,-61259.23,-44530.25
347009.267,-204360.46,-313494.91,-68261.2,-70401.96,-47212.08
347009.271,-232554.61,-357720.04,-68474.73,-90901.24,-46717.22
347009.275,-253101.67,-390688.61,-69426.45,-88194.05,-43712.34
347009.279,-236197.45,-366571.8,-69440.33,-70349.89,-42930.18
347009.283,-209172.04,-326800.24,-68858.35,-61047.99,-44442.99
347009.287,-199280.29,-311898.22,-68230.11,-70225.77,-47151.05
347009.291,-227754.95,-356084.68,-68485.6,-90782.41,-46748.17
347009.295,-248630.41,-389298.91,-69468.08,-88079.13,-43787.58
347009.299,-232100.94,-365433.26,-69479.43,-70214.09,-42978.82
347009.303,-205512.17,-325735.51,-68869.98,-60991.82,-44456.39
347009.307,-195952.06,-310814.89,-68244.51,-70268.21,-47152.81
347009.311,-224478.41,-354819.2,-68538.86,-90824.71,-46735.96
347009.315,-245390.64,-388085.22,-69500.26,-88064.68,-43801.12
347009.319,-229055.29,-364507.77,-69491.3,-70212.75,-42982.87
347009.323,-202915.79,-325196.11,-68888.15,-61053.38,-44429.12
347009.327,-193975.9,-310505.14,-68249.52,-70357.95,-47133.17
347009.331,-221207.45,-354072.09,-68537.58,-90948.02,-46824.37
347009.335,-239164.67,-387009.0,-69526.97,-88250.7,-43868.4
347009.339,-221391.51,-363883.92,-69473.23,-70378.79,-43024.83
347009.343,-195954.68,-325411.69,-68858.44,-61153.75,-44465.55
347009.347,-188114.43,-311137.9,-68235.45,-70376.93,-47170.74
347009.351,-215576.39,-353863.62,-68521.13,-91045.82,-46825.61
347009.355,-233794.76,-386379.34,-69510.75,-88427.03,-43832.07
347009.359,-216904.67,-364181.85,-69473.7,-70483.88,-42984.54
347009.363,-192371.49,-326941.43,-68874.32,-61156.14,-44424.44
347009.367,-185022.9,-313314.33,-68285.66,-70319.95,-47168.31
347009.371,-212431.79,-355510.47,-68580.54,-91063.94,-46883.87
347009.375,-230915.43,-387495.37,-69562.16,-88524.4,-43892.48
347009.379,-214824.94,-365352.01,-69529.11,-70532.09,-42965.89
347009.383,-191014.36,-328238.48,-68881.57,-61203.15,-44393.4
347009.387,-183985.45,-314325.99,-68270.64,-70382.27,-47143.89
347009.391,-211267.02,-355999.8,-68587.12,-91154.63,-46893.22
347009.3949,-229564.31,-387839.84,-69580.18,-88645.23,-43915.85
347009.3989,-213395.33,-365850.44,-69537.55,-70673.19,-42994.41
347009.4029,-189653.99,-328915.06,-68883.86,-61365.13,-44389.68
347009.4069,-182630.42,-315118.4,-68265.02,-70548.4,-47170.22
347009.4109,-209600.9,-356623.26,-68586.31,-91341.32,-46954.73
347009.4149,-227707.84,-388329.65,-69597.78,-88885.41,-43961.34
347009.4189,-211771.32,-366562.93,-69538.65,-70877.23,-42968.8
347009.4229,-188556.41,-330185.55,-68877.75,-61498.12,-44372.85
347009.4269,-181621.14,-316963.42,-68276.56,-70574.44,-47165.88
347009.4309,-208200.34,-358592.31,-68608.39,-91396.01,-46953.3
347009.4349,-226033.05,-390389.3,-69585.19,-89018.55,-43970.4
347009.4389,-210047.99,-369005.2,-69516.71,-70957.1,-43008.43
