TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
347008.7776,183.488,-395.89,920.856,-848.75,4086.25,1076.25,63.84,4.56,-358.72
347008.8276,162.199,-404.979,919.148,-1032.5,4987.5,376.25,47.12,-9.12,-364.8
347008.8776,176.717,-400.282,912.621,1881.25,3578.75,-1995.0,60.8,-10.64,-346.56
347008.9276,165.188,-373.503,904.142,2651.25,6230.0,-5556.25,68.4,-15.2,-355.68
347008.9776,152.378,-388.326,941.779,-3412.5,1373.75,-2143.75,56.24,-6.08,-363.28
347009.0276,157.197,-411.262,892.003,4130.0,6921.25,-9362.5,48.64,-7.6,-355.68
347009.0776,130.845,-343.064,945.256,4235.0,4602.5,-11952.5,34.96,-7.6,-354.16
347009.1276,181.963,-378.566,916.281,1198.75,4847.5,-7708.75,47.12,-9.12,-361.76
347009.1776,134.871,-413.946,935.252,-5573.75,656.25,-4340.0,65.36,-9.12,-360.24
347009.2276,242.719,-390.583,904.264,5328.75,393.75,-5328.75,50.16,-9.12,-348.08
347009.2776,202.459,-395.28,878.583,507.5,11138.75,-8706.25,44.08,-25.84,-345.04
347009.3276,127.612,-335.805,934.642,227.5,13002.5,-17675.0,38.0,-16.72,-366.32
347009.3776,196.908,-414.129,914.939,6116.25,-822.5,-4637.5,42.56,-16.72,-375.44
347009.4276,176.168,-312.198,948.062,533.75,1942.5,-2161.25,50.16,-22.8,-352.64
347009.4776,182.146,-425.963,917.013,3115.0,1155.0,2983.75,53.2,-22.8,-349.6
347009.5276,182.878,-340.014,950.563,-4891.25,2852.5,3185.0,57.76,-25.84,-342.0
347009.5776,184.83,-434.564,916.525,-11401.25,5635.0,5950.0,56.24,-25.84,-351.12
347009.6276,117.791,-403.027,918.782,7910.0,-2371.25,5503.75,44.08,-7.6,-355.68
347009.6776,161.101,-349.164,925.065,2117.5,-5670.0,4287.5,51.68,-10.64,-363.28
347009.7276,207.156,-400.16,907.436,-507.5,-1128.75,5355.0,51.68,-22.8,-358.72
347009.7776,190.198,-373.137,912.011,-796.25,3027.5,-735.0,51.68,-15.2,-349.6
347009.8276,195.566,-399.245,922.076,350.0,3596.25,-953.75,44.08,-21.28,-351.12
347009.8776,168.787,-393.877,928.359,1496.25,2843.75,385.0,47.12,-7.6,-369.36
347009.9276,183.122,-376.187,932.141,1575.0,1198.75,901.25,54.72,-24.32,-370.88
347009.9776,196.176,-395.036,918.538,761.25,2668.75,-805.0,45.6,-13.68,-349.6
347010.0276,185.745,-357.643,909.571,-1688.75,4882.5,-2161.25,47.12,-13.68,-352.64
347010.0776,173.24,-393.999,921.405,-411.25,4576.25,-1461.25,54.72,-21.28,-355.68
347010.1276,176.9,-382.531,911.767,-3097.5,3736.25,-1295.0,47.12,-18.24,-360.24
347010.1776,198.494,-402.478,914.268,568.75,4777.5,1828.75,50.16,-4.56,-354.16
347010.2276,174.826,-420.778,930.067,3036.25,6125.0,-341.25,53.2,-13.68,-367.84
347010.2776,151.524,-337.086,923.357,1058.75,7183.75,1627.5,62.32,-10.64,-361.76
347010.3276,143.777,-387.899,932.141,-262.5,3692.5,341.25,59.28,-16.72,-354.16
347010.3776,167.689,-379.115,922.503,8.75,3438.75,971.25,54.72,-7.6,-354.16
347010.4276,163.663,-376.187,929.396,-481.25,2345.0,840.0,59.28,-9.12,-357.2
347010.4776,171.166,-389.18,928.481,1723.75,1697.5,-280.0,59.28,-19.76,-363.28
347010.5276,174.46,-365.634,930.86,-1942.5,2948.75,1443.75,50.16,-15.2,-363.28
347010.5776,177.693,-371.429,921.466,78.75,2388.75,-227.5,63.84,-13.68,-354.16
347010.6276,162.321,-385.581,924.15,533.75,3045.0,175.0,59.28,-9.12,-342.0
347010.6777,171.715,-359.046,918.111,-2266.25,4733.75,3902.5,60.8,-12.16,-360.24
347010.7276,140.3,-363.926,928.359,1723.75,1863.75,2668.75,54.72,-21.28,-364.8
347010.7776,167.811,-410.408,919.27,-3552.5,901.25,-1155.0,56.24,-9.12,-346.56
347010.8276,178.852,-382.287,924.882,761.25,1303.75,-2170.0,65.36,-6.08,-361.76
347010.8776,167.323,-381.799,928.359,1566.25,2721.25,-1470.0,60.8,-21.28,-349.6
347010.9276,165.737,-387.777,915.976,-1706.25,3202.5,1618.75,65.36,-16.72,-355.68
347010.9776,165.249,-362.523,925.248,665.0,1828.75,-770.0,59.28,-13.68,-349.6
347011.0276,163.48,-386.801,925.614,-892.5,2030.0,-1128.75,48.64,-25.84,-348.08
347011.0776,169.031,-371.795,921.527,-3158.75,1680.0,945.0,60.8,-18.24,-364.8
347011.1276,173.423,-390.888,922.198,-621.25,2073.75,-218.75,60.8,-12.16,-363.28
347011.1776,171.654,-396.561,923.418,-175.0,2318.75,-1680.0,51.68,-25.84,-345.04
