TimeStamp,ch1,ch2,ch3,ch5,ch6
349002.7801,-379909.08,-381668.18,-12737.47,-77593.38,-50906.14
349002.7841,-370426.22,-370491.17,-29568.48,-71793.61,-62979.9
349002.7881,-361768.15,-361550.52,-32772.02,-73277.58,-66754.3
349002.7921,-363493.53,-364382.64,-24372.2,-77123.37,-61066.92
349002.7961,-374162.81,-376187.32,-11581.52,-80296.48,-51445.87
349002.8001,-382825.85,-384442.66,-11023.71,-77550.28,-49479.59
349002.8041,-370514.53,-370627.54,-30131.01,-71470.22,-63293.89
349002.8081,-358975.5,-359060.81,-34449.53,-73251.59,-68145.57
349002.8121,-361984.11,-363058.8,-24569.47,-77386.48,-61369.47
349002.8161,-374748.8,-376791.71,-10771.23,-80412.87,-50822.26
349002.8201,-382818.08,-384534.45,-10946.56,-77495.87,-49350.79
349002.8241,-369912.72,-370096.68,-30399.76,-71484.62,-63460.74
349002.8281,-358256.24,-358358.81,-34725.1,-73295.22,-68339.21
349002.8321,-361303.32,-362422.75,-24751.86,-77444.9,-61506.14
349002.8361,-374084.8,-376235.1,-10884.24,-80460.7,-50914.25
349002.8401,-382336.09,-384177.92,-10927.54,-77564.53,-49367.0
349002.844,-369778.82,-369975.23,-30253.56,-71541.56,-63377.67
349002.848,-358342.07,-358371.49,-34566.84,-73330.98,-68207.99
349002.852,-361433.5,-362476.25,-24578.43,-77443.42,-61346.25
349002.856,-374203.58,-376306.91,-10738.66,-80445.35,-50773.29
349002.86,-382589.2,-384385.06,-10701.23,-77575.65,-49155.15
349002.864,-370509.76,-370572.23,-29837.95,-71559.15,-62995.49
349002.868,-359366.13,-359183.31,-34124.71,-73274.43,-67794.52
349002.872,-362431.33,-363258.17,-24260.71,-77375.28,-61026.87
349002.876,-374948.88,-376862.71,-10558.03,-80375.06,-50572.97
349002.88,-383294.25,-384898.76,-10417.75,-77541.46,-48915.92
349002.884,-371611.35,-371432.06,-29327.49,-71502.31,-62564.09
349002.888,-360676.19,-360219.24,-33651.17,-73160.7,-67385.4
349002.892,-363485.86,-364029.74,-24009.33,-77231.23,-60786.21
349002.896,-375482.7,-377111.34,-10577.63,-80259.67,-50568.3
349002.9,-383661.65,-384985.35,-10369.54,-77513.42,-48883.06
349002.904,-372454.31,-371995.11,-28993.42,-71472.08,-62271.13
349002.908,-361692.04,-360962.39,-33353.71,-73061.05,-67079.36
349002.912,-363994.02,-364293.33,-24102.98,-77131.14,-60806.09
349002.916,-375039.1,-376462.55,-11120.03,-80207.93,-50962.07
349002.92,-382939.29,-384078.64,-10822.87,-77565.3,-49235.92
349002.924,-372490.4,-371847.15,-28952.75,-71515.76,-62220.63
349002.928,-362087.63,-361176.96,-33281.85,-73010.93,-66973.17
349002.932,-364021.87,-364138.27,-24280.12,-77039.39,-60917.0
349002.936,-374653.15,-375872.28,-11489.73,-80159.15,-51291.33
349002.94,-382399.03,-383347.99,-11151.98,-77589.33,-49571.47
349002.944,-372871.54,-372028.49,-28661.4,-71579.27,-62046.01
349002.948,-363718.41,-362513.87,-32521.25,-72947.22,-66324.29
349002.952,-364330.53,-364305.4,-24681.05,-76843.51,-61141.31
349002.956,-372286.03,-373664.23,-13249.59,-80073.89,-52687.13
349002.96,-379608.49,-380803.96,-12534.24,-77816.45,-50790.79
349002.964,-372567.75,-371728.32,-28397.09,-71840.01,-61914.93
349002.968,-364662.98,-363261.12,-32028.15,-72965.2,-65894.18
349002.972,-365130.28,-364844.99,-24546.39,-76754.25,-60972.75
349002.976,-372656.34,-373839.09,-13404.56,-79996.93,-52748.92
349002.98,-379858.73,-380960.46,-12568.24,-77790.7,-50790.98
349002.984,-373218.44,-372207.88,-28189.81,-71814.55,-61718.61
349002.988,-365350.81,-363754.27,-31903.75,-72878.37,-65759.95
349002.992,-365529.2,-365169.04,-24606.52,-76669.75,-60998.49
349002.996,-372825.71,-374112.27,-13494.4,-79937.09,-52804.86
349003.0,-380112.03,-381453.04,-12520.31,-77790.7,-50727.33
349003.004,-373594.38,-372783.8,-28043.56,-71819.17,-61577.66
349003.008,-365692.04,-364258.38,-31807.19,-72868.79,-65678.46
