TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
349002.8276,64.782,-141.886,971.73,5433.75,2021.25,1697.5,80.56,-136.8,-483.36
349002.8776,47.641,-126.392,1019.676,1391.25,4331.25,393.75,48.64,-135.28,-484.88
349002.9276,45.933,-159.759,1102.941,-9686.25,1531.25,2887.5,66.88,-138.32,-480.32
349002.9776,71.675,-219.295,1092.449,-11891.25,2493.75,3990.0,69.92,-127.68,-474.24
349003.0276,90.585,-230.153,1035.353,7743.75,5792.5,3115.0,59.28,-133.76,-477.28
349003.0776,48.434,-126.087,992.226,12398.75,12031.25,691.25,69.92,-129.2,-478.8
349003.1276,27.938,-72.285,997.838,14087.5,11252.5,-3176.25,80.56,-130.72,-474.24
349003.1776,5.551,-40.687,1018.09,7525.0,10675.0,-6230.0,72.96,-147.44,-487.92
349003.2276,7.503,-48.861,1027.789,7630.0,10106.25,-6256.25,80.56,-139.84,-500.08
349003.2776,-7.198,-24.095,1025.105,11156.25,7997.5,-6527.5,82.08,-148.96,-500.08
349003.3276,11.895,-3.599,1008.391,7682.5,4130.0,-7708.75,74.48,-148.96,-484.88
349003.3776,29.219,6.161,1004.792,4838.75,4103.75,-8846.25,79.04,-148.96,-501.6
349003.4276,46.055,-4.514,1003.511,-8.75,4803.75,-8312.5,91.2,-155.04,-484.88
349003.4776,43.371,-5.124,1004.182,-1181.25,3508.75,-6562.5,89.68,-165.68,-490.96
349003.5276,44.469,-27.816,1008.94,-7770.0,3893.75,-4620.0,79.04,-156.56,-500.08
349003.5776,35.99,-63.44,1009.062,-4445.0,-183.75,-5731.25,91.2,-148.96,-490.96
349003.6277,38.43,-39.65,1015.223,-5223.75,603.75,-8907.5,83.6,-167.2,-484.88
349003.6776,45.079,-22.326,1015.162,-6011.25,-3097.5,-8898.75,86.64,-171.76,-489.44
349003.7277,53.436,-67.527,1012.661,-13728.75,-192.5,-7892.5,74.48,-152.0,-497.04
349003.7776,71.126,-140.3,1008.086,-10272.5,393.75,-2607.5,74.48,-152.0,-481.84
349003.8276,67.588,-148.474,1012.783,1067.5,1636.25,-761.25,69.92,-159.6,-475.76
349003.8776,51.057,-83.997,1019.676,3036.25,7630.0,-437.5,68.4,-158.08,-481.84
349003.9277,25.437,-83.143,1005.89,630.0,6711.25,2213.75,71.44,-155.04,-495.52
349003.9776,23.973,-69.662,1004.853,-586.25,5976.25,1076.25,94.24,-153.52,-477.28
349004.0276,-2.623,-105.469,1019.615,-7122.5,4900.0,-2082.5,82.08,-142.88,-500.08
349004.0776,19.154,-137.738,1017.907,-5425.0,2590.0,-2388.75,83.6,-145.92,-480.32
349004.1276,23.424,-92.354,1022.116,1575.0,-490.0,-4978.75,74.48,-158.08,-484.88
349004.1776,52.521,-68.381,1007.354,-490.0,-1225.0,-875.0,71.44,-144.4,-489.44
349004.2276,67.039,-63.501,994.849,962.5,-656.25,3543.75,74.48,-148.96,-497.04
349004.2776,57.523,-52.582,984.296,-2073.75,5573.75,6615.0,92.72,-155.04,-471.2
349004.3276,25.681,-67.71,1003.572,-7525.0,6291.25,7262.5,76.0,-150.48,-478.8
349004.3776,20.313,-133.407,1020.652,-7376.25,4200.0,7341.25,69.92,-138.32,-487.92
349004.4276,26.23,-145.363,1031.266,-3132.5,1478.75,6798.75,82.08,-139.84,-472.72
349004.4776,38.674,-142.069,1031.693,1050.0,1190.0,6002.5,91.2,-124.64,-483.36
349004.5276,33.855,-110.532,1019.737,4252.5,1723.75,3797.5,74.48,-130.72,-494.0
349004.5776,34.709,-91.012,1007.903,5066.25,2003.75,1960.0,72.96,-132.24,-489.44
349004.6276,30.317,-83.57,1000.705,647.5,621.25,2012.5,85.12,-139.84,-478.8
349004.6776,60.268,-102.358,1004.304,-472.5,-568.75,2143.75,94.24,-141.36,-489.44
349004.7276,68.015,-91.5,1015.223,2450.0,2178.75,236.25,74.48,-138.32,-487.92
349004.7776,57.767,-57.95,1009.977,1916.25,6457.5,-1163.75,86.64,-144.4,-483.36
349004.8276,32.391,-66.978,1004.182,-463.75,7236.25,-2607.5,69.92,-139.84,-481.84
349004.8776,9.272,-88.084,1001.132,-3570.0,4068.75,-3640.0,74.48,-135.28,-494.0
349004.9276,21.899,-113.765,1011.258,-5311.25,953.75,-3115.0,79.04,-132.24,-487.92
349004.9776,29.768,-130.723,1016.321,-5818.75,1120.0,-1566.25,80.56,-142.88,-483.36
349005.0276,44.774,-138.104,1024.983,-761.25,490.0,218.75,77.52,-139.84,-472.72
349005.0776,50.63,-130.601,1021.506,1041.25,778.75,813.75,74.48,-133.76,-477.28
349005.1276,54.046,-116.449,1002.23,2117.5,2161.25,-17.5,77.52,-135.28,-490.96
349005.1776,42.517,-103.151,1001.132,805.0,3246.25,-1435.0,85.12,-141.36,-474.24
349005.2276,34.465,-104.615,1005.158,-210.0,3088.75,866.25,50.16,-129.2,-483.36
349005.2776,27.145,-105.408,1012.051,-848.75,1163.75,2800.0,74.48,-126.16,-487.92
349005.3276,43.066,-111.569,1010.831,542.5,953.75,2485.0,91.2,-141.36,-480.32
349005.3776,49.898,-105.103,1010.831,-402.5,1268.75,516.25,80.56,-135.28,-480.32
349005.4276,70.15,-102.968,1009.611,-726.25,1968.75,-507.5,77.52,-133.76,-500.08
349005.4776,66.49,-92.049,1007.232,-4357.5,8400.0,-166.25,89.68,-121.6,-478.8
349005.5276,24.522,-127.063,1011.746,-2257.5,8155.0,-297.5,88.16,-138.32,-471.2
349005.5776,15.189,-120.048,1009.977,-402.5,4550.0,-1986.25,79.04,-133.76,-480.32
349005.6276,35.929,-112.606,1007.11,-542.5,1680.0,-4733.75,68.4,-130.72,-492.48
349005.6776,46.055,-110.715,1007.964,-1251.25,2651.25,-5503.75,82.08,-133.76,-477.28
