TimeStamp,ch1,ch2,ch3,ch5,ch6
348763.8188,-375670.53,-378211.4,-34306.24,-119721.24,-76765.98
348763.8228,-377809.28,-379424.05,-45644.81,-111630.88,-81201.99
348763.8268,-366397.95,-366452.59,-64741.95,-100314.58,-96160.95
348763.8308,-361342.76,-361633.92,-61364.94,-103552.93,-96620.95
348763.8348,-364089.29,-365632.24,-49710.09,-111460.03,-89034.85
348763.8388,-375457.52,-378095.24,-34350.49,-119692.2,-76806.65
348763.8428,-377667.76,-379399.3,-45529.28,-111673.89,-81130.66
348763.8468,-366262.38,-366442.29,-64735.23,-100305.0,-96166.57
348763.8508,-361182.02,-361596.2,-61401.8,-103511.06,-96680.27
348763.8548,-363907.91,-365578.22,-49757.82,-111427.84,-89094.6
348763.8588,-375263.93,-378019.09,-34382.4,-119682.23,-76854.43
348763.8628,-377567.77,-379416.8,-45435.91,-111743.18,-81102.24
348763.8668,-366181.27,-366485.59,-64691.89,-100324.74,-96148.45
348763.8708,-361078.97,-361617.8,-61439.81,-103488.65,-96693.38
348763.8748,-363764.62,-365550.66,-49848.99,-111372.2,-89148.44
348763.8788,-375109.29,-377963.83,-34453.4,-119661.77,-76927.62
348763.8828,-377509.69,-379460.9,-45326.76,-111823.19,-81028.57
348763.8868,-366129.82,-366548.44,-64678.25,-100359.02,-96092.86
348763.8908,-360945.79,-361594.91,-61505.9,-103453.46,-96704.54
348763.8948,-363587.66,-365467.59,-49957.0,-111320.22,-89211.81
348763.8988,-374941.82,-377867.41,-34499.55,-119646.28,-76969.35
348763.9028,-377460.72,-379479.26,-45200.02,-111899.15,-80943.21
348763.9068,-366088.91,-366581.05,-64598.62,-100373.14,-96025.14
348763.9108,-360891.0,-361607.31,-61519.06,-103422.84,-96726.72
348763.9148,-363496.73,-365428.11,-50043.02,-111257.57,-89282.71
348763.9188,-374825.95,-377787.16,-34569.55,-119612.52,-77047.55
348763.9228,-377452.75,-379508.3,-45087.44,-111958.9,-80892.52
348763.9268,-366111.47,-366644.95,-64583.83,-100383.82,-96001.97
348763.9308,-360863.87,-361607.88,-61596.59,-103381.22,-96756.23
348763.9348,-363396.74,-365342.61,-50201.76,-111195.96,-89381.56
348763.9388,-374679.32,-377637.15,-34676.75,-119575.8,-77160.08
348763.9428,-377468.92,-379529.95,-44956.07,-112056.84,-80827.91
348763.9467,-366220.9,-366755.48,-64469.77,-100445.71,-95884.53
348763.9507,-360906.6,-361642.17,-61647.37,-103364.1,-96782.55
348763.9547,-363257.88,-365189.64,-50400.02,-111098.49,-89539.25
348763.9587,-374465.08,-377401.16,-34881.88,-119507.04,-77340.47
348763.9627,-377463.24,-379503.15,-44845.97,-112140.1,-80783.57
348763.9667,-366350.07,-366866.11,-64340.31,-100509.75,-95802.89
348763.9707,-360939.02,-361648.08,-61696.68,-103316.46,-96807.11
348763.9747,-363071.53,-364978.69,-50704.87,-110974.9,-89769.66
348763.9787,-374068.16,-376985.93,-35268.36,-119392.03,-77670.92
348763.9827,-377328.92,-379351.95,-44816.69,-112247.43,-80817.28
348763.9867,-366490.93,-366977.83,-64157.11,-100627.58,-95636.67
348763.9907,-361045.88,-361718.51,-61694.82,-103326.86,-96768.49
348763.9947,-363086.27,-364951.51,-50800.66,-110935.99,-89819.25
348763.9987,-374150.89,-377022.41,-35234.36,-119424.45,-77652.75
348764.0027,-377542.87,-379525.66,-44595.53,-112352.24,-80640.37
348764.0067,-366706.27,-367150.21,-64060.5,-100657.09,-95535.1
348764.0107,-361169.67,-361791.65,-61716.95,-103280.99,-96770.2
348764.0147,-363088.27,-364906.45,-50951.01,-110857.74,-89913.38
348764.0187,-373957.25,-376792.86,-35443.02,-119336.19,-77817.88
348764.0227,-377474.11,-379432.34,-44532.45,-112411.94,-80646.33
348764.0267,-366873.88,-367278.48,-63857.04,-100741.68,-95406.97
348764.0307,-361335.94,-361906.67,-61661.3,-103282.94,-96725.14
348764.0347,-363044.4,-364809.13,-51114.9,-110759.32,-90026.72
348764.0387,-373853.25,-376644.56,-35573.25,-119286.12,-77945.58
348764.0427,-377623.79,-379539.06,-44305.76,-112515.65,-80508.58
348764.0467,-367172.86,-367507.5,-63647.42,-100798.57,-95211.14
348764.0507,-361564.77,-362048.29,-61611.61,-103230.2,-96638.26
348764.0547,-363141.53,-364825.34,-51209.79,-110653.6,-90062.06
348764.0587,-373842.43,-376570.08,-35672.0,-119198.81,-78028.31
348764.0627,-377753.16,-379615.78,-44160.37,-112576.55,-80419.5
348764.0667,-367416.19,-367679.74,-63493.55,-100826.23,-95068.18
348764.0707,-361764.28,-362156.86,-61586.39,-103191.82,-96591.82
348764.0747,-363218.11,-364805.6,-51290.95,-110573.59,-90101.21
348764.0787,-373839.9,-376490.07,-35778.81,-119167.72,-78110.32
348764.0827,-377847.29,-379642.2,-44049.22,-112652.79,-80340.82
348764.0867,-367596.77,-367764.42,-63364.8,-100873.91,-94953.45
348764.0907,-361915.44,-362191.43,-61558.44,-103156.87,-96563.16
348764.0947,-363275.29,-364749.76,-51372.63,-110500.63,-90178.07
348764.0987,-373798.22,-376358.94,-35826.54,-119104.45,-78182.56
348764.1027,-377970.93,-379698.75,-43856.44,-112738.43,-80229.43
348764.1067,-367818.64,-367903.75,-63229.09,-100906.1,-94830.38
348764.1107,-362062.31,-362245.79,-61567.6,-103111.8,-96540.75
348764.1147,-363308.71,-364695.35,-51458.08,-110414.8,-90206.82
348764.1187,-373765.8,-376269.05,-35886.96,-119044.56,-78234.87
348764.1227,-378052.66,-379745.81,-43677.62,-112792.79,-80122.67
348764.1267,-367998.41,-368029.59,-63086.42,-100939.33,-94703.59
348764.1307,-362187.52,-362306.02,-61550.77,-103063.4,-96512.62
348764.1347,-363329.26,-364661.07,-51554.88,-110332.6,-90286.84
348764.1386,-373685.79,-376163.48,-35975.46,-118992.77,-78321.51
348764.1426,-378105.88,-379796.93,-43551.55,-112883.63,-80052.96
348764.1466,-368102.07,-368118.9,-62971.69,-100979.01,-94597.64
348764.1506,-362240.55,-362332.24,-61579.81,-103021.2,-96502.17
348764.1546,-363260.12,-364577.53,-51684.29,-110239.61,-90363.23
348764.1586,-373533.58,-376029.01,-36110.74,-118933.5,-78438.29
348764.1626,-378103.35,-379832.36,-43407.06,-112966.84,-79968.41
348764.1666,-368266.2,-368307.06,-62833.17,-101053.44,-94471.08
348764.1706,-362333.1,-362443.87,-61575.32,-103004.04,-96461.4
348764.1746,-363195.75,-364547.11,-51828.1,-110184.54,-90450.15
348764.1786,-373341.22,-375894.4,-36270.96,-118883.0,-78573.09
348764.1826,-378068.06,-379874.13,-43285.23,-113063.44,-79911.72
348764.1866,-368385.6,-368492.69,-62640.48,-101138.6,-94316.68
348764.1906,-362405.15,-362583.06,-61543.81,-102990.12,-96431.6
348764.1946,-363092.75,-364530.42,-51955.9,-110092.18,-90553.68
348764.1986,-373131.61,-375786.92,-36396.46,-118819.82,-78705.65
348764.2026,-378022.05,-379939.08,-43114.38,-113138.55,-79831.32
348764.2066,-368487.69,-368705.13,-62473.78,-101196.49,-94184.55
348764.2106,-362436.43,-362719.01,-61513.96,-102962.27,-96387.35
348764.2146,-362992.76,-364536.14,-52070.24,-110007.82,-90608.89
348764.2186,-372932.91,-375694.51,-36533.36,-118742.72,-78806.74
348764.2226,-377981.9,-380009.6,-42980.63,-113208.93,-79746.49
348764.2266,-368580.81,-368901.68,-62279.95,-101235.93,-94011.94
348764.2306,-362524.89,-362905.21,-61454.64,-102931.37,-96300.42
348764.2346,-362918.71,-364556.69,-52174.91,-109923.85,-90659.2
348764.2386,-372705.6,-375554.89,-36680.04,-118680.68,-78927.76
348764.2426,-377930.78,-380038.45,-42836.96,-113300.48,-79652.75
348764.2466,-368758.77,-369136.43,-62059.84,-101334.68,-93810.24
348764.2506,-362646.53,-363064.0,-61393.17,-102911.1,-96210.25
348764.2546,-362843.75,-364517.21,-52326.11,-109824.34,-90756.38
348764.2586,-372500.08,-375383.18,-36867.34,-118596.57,-79099.57
348764.2626,-377951.67,-380090.81,-42682.18,-113393.46,-79587.33
348764.2666,-368978.07,-369370.84,-61822.61,-101417.6,-93625.99
348764.2706,-362806.03,-363223.21,-61367.09,-102903.24,-96185.79
348764.2746,-362651.39,-364325.38,-52622.42,-109676.23,-90992.27
348764.2786,-371938.23,-374831.67,-37377.93,-118408.26,-79546.65
348764.2826,-377707.29,-379849.34,-42641.12,-113463.94,-79675.78
348764.2866,-369403.98,-369767.38,-61271.63,-101647.63,-93228.02
348764.2906,-363270.09,-363644.45,-61077.17,-102935.52,-95874.65
348764.2946,-362619.3,-364275.02,-52939.76,-109479.06,-91164.55
348764.2986,-371438.17,-374344.2,-37961.06,-118163.7,-80022.11
348764.3026,-377470.25,-379637.57,-42672.69,-113511.86,-79790.65
348764.3066,-369892.21,-370240.68,-60679.16,-101883.28,-92800.72
348764.3106,-363984.77,-364314.93,-60593.42,-103059.59,-95453.08
348764.3146,-362955.28,-364570.95,-52970.03,-109378.06,-91111.34
348764.3186,-371196.03,-374091.29,-38450.39,-117947.54,-80367.62
348764.3226,-377219.77,-379393.48,-42834.95,-113504.14,-79965.74
348764.3266,-370120.04,-370444.06,-60413.89,-102023.8,-92608.27
348764.3305,-364342.21,-364622.49,-60402.11,-103100.03,-95260.11
348764.3345,-363111.49,-364675.71,-53074.89,-109307.83,-91139.52
348764.3385,-371064.42,-373930.17,-38678.27,-117830.62,-80570.33
348764.3425,-377126.83,-379295.68,-42806.11,-113537.42,-80025.25
348764.3465,-370365.23,-370677.71,-60106.05,-102147.78,-92394.79
348764.3505,-364705.08,-364962.53,-60164.08,-103154.1,-95065.56
348764.3545,-363200.95,-364758.49,-53150.23,-109211.03,-91186.96
348764.3585,-370856.66,-373737.48,-38982.59,-117704.45,-80807.03
348764.3625,-377069.85,-379271.41,-42764.62,-113604.7,-80021.72
348764.3665,-370603.51,-370938.97,-59851.61,-102273.14,-92175.26
348764.3705,-364949.89,-365224.55,-60047.2,-103179.56,-94894.71
348764.3745,-363261.12,-364843.75,-53262.29,-109140.98,-91197.55
348764.3785,-370659.97,-373582.88,-39238.31,-117585.48,-80993.14
348764.3825,-376944.87,-379204.18,-42765.62,-113652.0,-80089.15
348764.3865,-370719.19,-371098.04,-59650.76,-102367.13,-92064.68
348764.3905,-365104.0,-365414.57,-59946.21,-103184.33,-94838.44
348764.3945,-363261.79,-364884.94,-53355.37,-109061.35,-91275.66
348764.3985,-370446.96,-373423.95,-39495.09,-117490.5,-81209.05
348764.4025,-376768.2,-379090.55,-42770.49,-113685.34,-80119.57
348764.4065,-370779.46,-371213.72,-59491.98,-102441.8,-91923.49
348764.4105,-365205.52,-365555.43,-59883.65,-103170.84,-94742.31
348764.4145,-363226.98,-364891.33,-53473.91,-108971.47,-91328.2
348764.4185,-370224.95,-373247.57,-39698.32,-117369.62,-81368.36
348764.4225,-376694.39,-379074.48,-42696.19,-113741.32,-80123.15
348764.4265,-370925.18,-371419.38,-59285.08,-102532.54,-91776.43
348764.4305,-365299.41,-365703.96,-59842.4,-103166.54,-94709.98
348764.4345,-363118.88,-364836.31,-53620.44,-108881.53,-91464.2
348764.4385,-369935.75,-373010.11,-39932.26,-117272.77,-81599.58
348764.4425,-376607.99,-379027.22,-42594.25,-113806.12,-80101.5
