TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
348763.8776,5.002,-147.315,1005.89,-1478.75,2808.75,-297.5,98.8,-86.64,-487.92
348763.9276,13.054,-154.757,1004.426,-533.75,2756.25,113.75,103.36,-77.52,-484.88
348763.9776,14.274,-149.328,1008.513,1015.0,3246.25,-988.75,106.4,-88.16,-468.16
348764.0276,11.956,-136.396,1002.23,1146.25,3097.5,-1741.25,92.72,-83.6,-481.84
348764.0776,15.494,-136.823,1008.818,113.75,3867.5,-1723.75,97.28,-76.0,-484.88
348764.1276,8.235,-140.056,1009.855,-857.5,3928.75,-1443.75,104.88,-86.64,-481.84
348764.1776,3.721,-140.91,1003.328,1085.0,2975.0,-2703.75,97.28,-80.56,-477.28
348764.2276,3.843,-141.52,1005.646,-332.5,3141.25,-3106.25,95.76,-80.56,-494.0
348764.2776,8.54,-138.775,1005.89,-262.5,2765.0,-2406.25,107.92,-77.52,-497.04
348764.3276,12.871,-138.409,1010.221,-1846.25,2450.0,-971.25,112.48,-85.12,-477.28
348764.3776,16.653,-156.343,1004.243,-1120.0,3333.75,-971.25,110.96,-79.04,-480.32
348764.4276,11.285,-156.587,1001.071,-376.25,3045.0,-1032.5,92.72,-91.2,-471.2
348764.4776,11.529,-140.117,1000.339,1023.75,3115.0,-2808.75,95.76,-79.04,-500.08
348764.5276,9.15,-137.677,1001.62,-761.25,3150.0,-3106.25,104.88,-91.2,-466.64
348764.5776,6.161,-146.705,1009.428,-1496.25,3272.5,-2922.5,100.32,-95.76,-489.44
348764.6276,4.087,-157.197,1010.465,-1137.5,2773.75,-3141.25,88.16,-82.08,-494.0
348764.6776,12.261,-153.537,1008.635,603.75,1977.5,-3167.5,110.96,-89.68,-489.44
348764.7276,18.91,-148.535,1007.171,1058.75,2870.0,-3071.25,92.72,-86.64,-478.8
348764.7776,11.59,-142.923,1003.816,787.5,3622.5,-2730.0,92.72,-98.8,-486.4
348764.8276,10.431,-138.348,1005.28,192.5,4611.25,-4077.5,94.24,-89.68,-472.72
348764.8776,7.259,-147.498,1003.938,883.75,4243.75,-4856.25,101.84,-88.16,-454.48
348764.9276,-0.671,-138.531,1009.123,218.75,3972.5,-7026.25,88.16,-97.28,-478.8
348764.9776,0.793,-157.746,1007.537,1198.75,3150.0,-7560.0,97.28,-83.6,-494.0
348765.0276,8.906,-142.74,1005.463,2791.25,3036.25,-9432.5,104.88,-92.72,-477.28
348765.0776,15.433,-152.805,1006.378,5215.0,4313.75,-9861.25,92.72,-92.72,-480.32
348765.1276,7.747,-114.314,1015.406,3963.75,3850.0,-8671.25,71.44,-92.72,-478.8
348765.1776,12.383,-156.587,1013.698,3010.0,3360.0,-4681.25,104.88,-104.88,-477.28
348765.2276,13.115,-146.4,1011.319,5398.75,3141.25,-4156.25,100.32,-98.8,-478.8
348765.2776,20.862,-124.623,1002.474,5827.5,2528.75,-1986.25,88.16,-97.28,-497.04
348765.3276,15.494,-102.541,1002.047,8268.75,2056.25,-5390.0,100.32,-101.84,-495.52
348765.3776,14.152,-75.152,1010.16,5232.5,1531.25,-7595.0,83.6,-103.36,-472.72
348765.4276,27.206,-103.395,989.298,-2161.25,4480.0,-3360.0,86.64,-112.48,-494.0
348765.4776,-9.211,-98.637,1005.951,3858.75,4935.0,-7638.75,79.04,-114.0,-490.96
348765.5276,-5.612,-101.138,1009.489,-6991.25,4331.25,-7735.0,104.88,-114.0,-486.4
348765.5776,20.069,-123.525,1009.977,-4217.5,437.5,-1487.5,95.76,-95.76,-483.36
348765.6276,26.413,-130.967,1007.293,-3053.75,2012.5,2283.75,85.12,-107.92,-497.04
348765.6776,27.511,-124.501,1007.537,-2301.25,3622.5,4996.25,91.2,-103.36,-490.96
348765.7276,16.714,-130.418,1009.428,-1750.0,3211.25,4856.25,92.72,-98.8,-486.4
348765.7776,20.008,-126.514,1010.16,-1662.5,3141.25,2870.0,95.76,-101.84,-490.96
348765.8276,20.496,-136.884,1007.537,-2345.0,2310.0,1111.25,100.32,-92.72,-484.88
348765.8777,17.69,-134.078,1006.927,-1435.0,1863.75,-848.75,89.68,-98.8,-469.68
348765.9276,21.472,-139.934,1007.72,-1198.75,1750.0,-1312.5,80.56,-98.8,-500.08
348765.9777,21.655,-133.346,1006.561,-472.5,2467.5,-17.5,85.12,-92.72,-483.36
348766.0276,15.372,-128.771,1003.023,-875.0,3080.0,2021.25,95.76,-95.76,-489.44
348766.0776,14.457,-121.695,1005.28,-1435.0,2660.0,2310.0,89.68,-95.76,-487.92
348766.1276,19.825,-126.392,1006.134,-2187.5,3045.0,2318.75,76.0,-104.88,-489.44
348766.1776,22.204,-141.703,1009.428,-2738.75,3088.75,1566.25,100.32,-98.8,-475.76
348766.2276,22.753,-143.655,1007.415,-1435.0,3500.0,805.0,97.28,-92.72,-478.8
348766.2776,15.311,-143.106,1009.306,-1505.0,3850.0,-971.25,92.72,-91.2,-495.52
348766.3276,11.712,-141.825,1006.317,-997.5,3193.75,-1680.0,100.32,-92.72,-484.88
348766.3776,14.457,-145.546,1006.561,-988.75,3596.25,-183.75,92.72,-91.2,-477.28
348766.4276,9.516,-144.997,1005.158,-822.5,4418.75,498.75,83.6,-88.16,-487.92
348766.4776,0.915,-142.984,1009.428,-927.5,3167.5,-490.0,94.24,-91.2,-487.92
348766.5276,13.115,-151.158,1005.28,-1618.75,2765.0,-455.0,101.84,-95.76,-483.36
348766.5776,11.651,-150.67,1005.28,-638.75,3386.25,-700.0,92.72,-92.72,-475.76
348766.6276,11.529,-148.474,1003.511,-70.0,2703.75,-446.25,86.64,-94.24,-487.92
348766.6776,15.189,-148.047,1007.598,-1198.75,3386.25,192.5,94.24,-79.04,-495.52
348766.7276,16.287,-160.674,1004.06,-350.0,3561.25,131.25,98.8,-101.84,-480.32
348766.7776,12.444,-151.89,1003.511,253.75,3281.25,-1015.0,92.72,-86.64,-484.88
348766.8276,11.895,-151.524,1004.792,665.0,3237.5,-1190.0,88.16,-91.2,-481.84
348766.8776,8.662,-144.204,1005.463,743.75,3508.75,-1041.25,104.88,-91.2,-477.28
348766.9276,7.808,-141.947,1006.134,481.25,3333.75,-586.25,83.6,-94.24,-474.24
348766.9776,1.464,-143.045,1005.585,525.0,3053.75,-481.25,92.72,-88.16,-495.52
348767.0276,10.187,-148.291,1007.415,-52.5,2922.5,192.5,95.76,-107.92,-483.36
348767.0776,11.834,-141.947,1004.121,542.5,3167.5,113.75,91.2,-88.16,-472.72
348767.1276,8.357,-142.984,1006.317,-218.75,3491.25,-761.25,91.2,-92.72,-497.04
348767.1776,5.063,-142.557,1004.182,122.5,2668.75,-1233.75,95.76,-91.2,-472.72
