TimeStamp,ch1,ch2,ch3,ch5,ch6
348680.2856,-381768.75,-382917.35,-85279.05,-199359.06,-108121.26
348680.2896,-364154.62,-364331.43,-132224.29,-159428.19,-143328.06
348680.2936,-353771.44,-354864.69,-127932.61,-155448.41,-149918.0
348680.2976,-357121.32,-359652.42,-99693.12,-176527.0,-133428.64
348680.3016,-375933.12,-378732.58,-61422.12,-209894.87,-103243.98
348680.3056,-381772.75,-382997.42,-84877.98,-199560.76,-107886.76
348680.3096,-364181.85,-364444.73,-132062.4,-159521.22,-143154.97
348680.3136,-353729.15,-354914.99,-128019.63,-155339.07,-149982.04
348680.3176,-357001.68,-359625.43,-99870.31,-176324.96,-133589.9
348680.3216,-375777.0,-378655.86,-61553.49,-209723.93,-103399.48
348680.3256,-381798.6,-383089.68,-84556.64,-199739.77,-107700.89
348680.3296,-364262.91,-364589.4,-131884.21,-159659.69,-142972.92
348680.3336,-353722.57,-354966.02,-128109.04,-155261.39,-149971.69
348680.3376,-356902.5,-359573.12,-100106.59,-176115.72,-133696.62
348680.3416,-375659.94,-378561.64,-61642.03,-209552.93,-103474.2
348680.3456,-381870.74,-383175.47,-84210.74,-199907.95,-107482.64
348680.3496,-364337.73,-364692.11,-131745.93,-159734.22,-142817.09
348680.3536,-353718.47,-354991.29,-128195.87,-155170.22,-150016.56
348680.3576,-356812.81,-359501.02,-100296.84,-175911.16,-133844.73
348680.3616,-375545.31,-378440.09,-61723.67,-209397.48,-103604.09
348680.3656,-381936.5,-383225.77,-83889.92,-200068.83,-107295.62
348680.3696,-364429.14,-364774.56,-131627.96,-159818.62,-142677.61
348680.3736,-353740.83,-354997.58,-128250.61,-155055.83,-150015.23
348680.3776,-356810.14,-359465.69,-100450.58,-175715.28,-133948.39
348680.3816,-375515.36,-378372.33,-61809.64,-209226.44,-103726.21
348680.3856,-382026.29,-383286.0,-83590.23,-200207.92,-107153.91
348680.3896,-364547.82,-364859.2,-131433.12,-159915.8,-142478.67
348680.3936,-353801.63,-355008.74,-128314.94,-154951.54,-149989.67
348680.3976,-356794.88,-359389.4,-100639.55,-175486.39,-134014.62
348680.4016,-375446.75,-378257.56,-61910.83,-209022.88,-103817.76
348680.4056,-382149.17,-383367.77,-83167.28,-200398.09,-106897.41
348680.4096,-364756.53,-365002.63,-131236.33,-160035.77,-142263.67
348680.4135,-353929.9,-355055.57,-128335.59,-154852.5,-149963.06
348680.4175,-356809.13,-359332.84,-100835.96,-175252.17,-134139.27
348680.4215,-375339.12,-378111.36,-62028.46,-208792.76,-103964.29
348680.4255,-382226.37,-383419.99,-82773.36,-200573.04,-106702.91
348680.4295,-364968.15,-365156.41,-130907.22,-160226.32,-141993.78
348680.4335,-354059.74,-355106.68,-128362.81,-154783.22,-149932.93
348680.4375,-356762.31,-359216.07,-101123.77,-174961.92,-134292.33
348680.4415,-375216.72,-377956.01,-62273.89,-208500.84,-104157.98
348680.4455,-382366.42,-383535.57,-82328.62,-200763.82,-106433.21
348680.4495,-365231.89,-365364.74,-130573.24,-160425.49,-141684.64
348680.4535,-354188.91,-355171.1,-128410.4,-154693.15,-149889.63
348680.4575,-356692.5,-359102.96,-101474.11,-174644.35,-134518.4
348680.4615,-374991.08,-377722.59,-62627.23,-208122.61,-104481.52
348680.4655,-382392.26,-383556.03,-82049.33,-200858.09,-106325.07
348680.4695,-365533.16,-365617.65,-130124.63,-160716.36,-141277.9
348680.4735,-354343.55,-355264.85,-128479.88,-154644.79,-149807.66
348680.4775,-356547.49,-358914.8,-101966.11,-174246.52,-134817.23
348680.4815,-374754.76,-377475.97,-62934.74,-207788.64,-104804.62
348680.4855,-382446.62,-383600.14,-81592.05,-201059.17,-106102.19
348680.4895,-365685.79,-365738.48,-129843.68,-160909.39,-141035.19
348680.4935,-354414.79,-355299.37,-128507.39,-154597.01,-149799.7
348680.4975,-356485.08,-358837.69,-102174.72,-174037.62,-134983.89
348680.5015,-374625.16,-377366.3,-63024.81,-207594.04,-104921.78
348680.5055,-382656.33,-383844.85,-80992.04,-201391.96,-105742.18
348680.5095,-366145.32,-366209.26,-129174.53,-161380.17,-140471.76
348680.5135,-354691.31,-355592.15,-128402.53,-154710.74,-149584.98
348680.5175,-356373.45,-358771.75,-102635.63,-173711.13,-135209.15
348680.5215,-374293.28,-377101.9,-63499.79,-207166.98,-105326.95
348680.5255,-382640.5,-383874.7,-80643.66,-201524.09,-105605.71
348680.5295,-366325.95,-366412.44,-128834.88,-161617.16,-140184.47
348680.5335,-354703.09,-355629.39,-128508.3,-154618.14,-149602.96
348680.5375,-356174.13,-358607.33,-103051.05,-173371.43,-135484.28
348680.5414,-374001.12,-376851.94,-63815.17,-206824.9,-105623.59
348680.5454,-382624.05,-383902.21,-80294.33,-201684.12,-105478.59
348680.5494,-366420.17,-366547.34,-128558.32,-161802.12,-139934.27
348680.5534,-354682.3,-355654.14,-128600.8,-154532.16,-149580.12
348680.5574,-356033.42,-358517.17,-103344.55,-173103.78,-135644.17
