TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
348680.3276,33.123,-129.503,1005.036,-420.0,2721.25,-1050.0,86.64,-83.6,-475.76
348680.3777,38.003,-133.224,1004.914,-752.5,2555.0,-778.75,95.76,-85.12,-475.76
348680.4276,39.223,-138.897,1007.415,-140.0,2712.5,-752.5,88.16,-83.6,-472.72
348680.4777,39.955,-136.701,1004.914,857.5,3036.25,-980.0,100.32,-88.16,-474.24
348680.5276,35.99,-128.893,1004.731,656.25,2651.25,-1251.25,101.84,-91.2,-477.28
348680.5776,38.491,-132.004,1007.11,-560.0,2992.5,-840.0,86.64,-91.2,-469.68
348680.6276,42.029,-136.091,1005.707,-1190.0,3106.25,-673.75,82.08,-80.56,-486.4
348680.6776,43.066,-136.457,1004.975,735.0,2730.0,-630.0,92.72,-86.64,-475.76
348680.7276,35.014,-130.052,1010.404,-446.25,3473.75,-962.5,88.16,-94.24,-468.16
348680.7776,32.391,-144.692,1006.378,-813.75,2747.5,-1286.25,76.0,-82.08,-475.76
348680.8276,38.125,-142.069,1004.67,-166.25,3018.75,-1207.5,86.64,-86.64,-459.04
348680.8776,33.855,-140.544,1006.988,87.5,2975.0,-962.5,94.24,-92.72,-474.24
348680.9276,36.844,-141.398,1007.781,17.5,2231.25,-1015.0,80.56,-80.56,-472.72
348680.9776,47.092,-133.041,1003.999,1286.25,2843.75,-752.5,82.08,-88.16,-484.88
348681.0276,37.637,-135.115,1005.829,-1391.25,2940.0,-875.0,103.36,-82.08,-466.64
348681.0776,40.687,-142.679,1005.158,-1128.75,3018.75,-630.0,85.12,-89.68,-474.24
348681.1276,44.957,-144.326,1006.988,192.5,3351.25,-210.0,86.64,-88.16,-481.84
348681.1776,34.282,-140.483,1004.914,656.25,3062.5,-271.25,89.68,-86.64,-471.2
348681.2276,35.319,-133.59,1005.097,927.5,2660.0,-1041.25,91.2,-85.12,-465.12
348681.2776,46.482,-136.518,1003.267,-420.0,2336.25,-271.25,74.48,-88.16,-481.84
348681.3276,36.173,-144.814,1005.768,-498.75,3403.75,96.25,97.28,-76.0,-474.24
348681.3776,40.077,-134.566,1004.609,927.5,3036.25,-376.25,92.72,-83.6,-469.68
348681.4276,34.404,-140.178,1004.792,-1251.25,2896.25,-883.75,85.12,-89.68,-475.76
348681.4776,38.43,-142.008,1002.718,8.75,2712.5,-1400.0,89.68,-83.6,-490.96
348681.5276,39.711,-148.901,1007.476,157.5,3255.0,-1146.25,94.24,-86.64,-465.12
348681.5776,36.844,-136.274,1007.049,997.5,3202.5,-1076.25,76.0,-83.6,-468.16
348681.6276,35.014,-137.799,1004.304,796.25,3071.25,-498.75,100.32,-76.0,-492.48
