TimeStamp,ch1,ch2,ch3,ch5,ch6
348930.3111,-361121.41,-361673.49,-43533.43,-77265.61,-78534.23
348930.3151,-356158.73,-357350.77,-37442.64,-81267.8,-76291.9
348930.3191,-365831.08,-367164.51,-17958.17,-83266.36,-61611.66
348930.3231,-381903.84,-382809.97,171.8,-82250.56,-46124.18
348930.3271,-379227.54,-379523.85,-18812.85,-77183.83,-57887.61
348930.3311,-360091.78,-360608.29,-44879.97,-77134.67,-79599.63
348930.3351,-355288.79,-356417.08,-37916.38,-81337.7,-76776.23
348930.3391,-365368.84,-366620.82,-18122.77,-83302.84,-61767.3
348930.3431,-381529.0,-382400.42,99.85,-82283.75,-46192.37
348930.3471,-378970.38,-379246.71,-18747.76,-77219.5,-57838.54
348930.3511,-359889.65,-360346.26,-44924.12,-77119.79,-79587.09
348930.3551,-355066.2,-356128.35,-38040.5,-81332.41,-76840.79
348930.3591,-365089.32,-366308.69,-18256.09,-83299.55,-61866.24
348930.3631,-381187.1,-382081.6,0.43,-82306.59,-46294.74
348930.3671,-378779.98,-379086.73,-18613.34,-77247.96,-57741.79
348930.3711,-359826.94,-360279.84,-44844.82,-77103.91,-79485.04
348930.3751,-354927.77,-355986.49,-38092.62,-81295.74,-76881.75
348930.3791,-364829.2,-366076.94,-18436.39,-83289.97,-62012.78
348930.3831,-380821.99,-381786.92,-139.05,-82325.8,-46423.3
348930.3871,-378581.81,-378955.22,-18488.41,-77276.05,-57694.49
348930.3911,-359705.3,-360200.02,-44803.58,-77076.4,-79482.47
348930.3951,-354718.82,-355826.56,-38208.87,-81269.94,-76964.44
348930.3991,-364499.18,-365820.98,-18613.2,-83268.37,-62129.12
348930.4031,-380545.04,-381603.1,-189.64,-82353.22,-46456.1
348930.4071,-378490.45,-378956.94,-18372.63,-77305.52,-57553.16
348930.4111,-359604.12,-360185.48,-44819.22,-77077.83,-79451.43
348930.4151,-354482.12,-355686.09,-38358.17,-81271.56,-77051.31
348930.4191,-364153.0,-365589.23,-18821.62,-83292.07,-62270.74
348930.4231,-380148.46,-381358.05,-263.45,-82407.01,-46552.09
348930.4271,-378312.59,-378928.13,-18168.5,-77354.96,-57447.01
348930.4311,-359498.64,-360195.54,-44716.79,-77069.05,-79371.27
348930.4351,-353942.01,-355304.76,-38762.86,-81268.89,-77364.74
348930.4391,-361856.12,-363704.49,-20682.72,-83388.15,-63761.34
348930.4431,-376051.9,-377951.24,-3144.46,-82816.23,-48968.13
348930.4471,-375391.15,-376567.93,-19248.77,-77960.79,-58567.86
348930.4511,-359647.27,-360476.49,-43521.6,-77367.51,-78527.79
348930.4551,-355064.39,-356410.26,-37734.8,-81206.38,-76468.57
348930.4591,-362384.74,-364287.32,-20535.33,-83296.88,-63577.52
348930.4631,-376155.76,-378163.95,-3179.93,-82807.5,-49017.77
348930.4671,-376022.38,-377250.76,-18668.46,-77988.35,-58145.77
348930.4711,-360888.52,-361684.7,-42695.34,-77279.2,-77805.15
348930.4751,-356195.59,-357519.53,-37312.61,-81065.86,-76014.38
348930.4791,-362987.13,-364939.16,-20600.94,-83185.4,-63513.05
348930.4831,-376325.6,-378439.28,-3411.63,-82786.28,-49152.9
348930.4871,-376415.82,-377732.56,-18380.12,-78005.28,-57931.81
348930.4911,-361740.49,-362563.03,-42135.01,-77215.01,-77354.15
348930.4951,-356911.18,-358265.49,-37083.96,-80946.84,-75808.25
348930.4991,-363267.89,-365299.46,-20748.86,-83109.91,-63638.5
348930.503,-376405.33,-378611.66,-3549.48,-82779.8,-49286.51
348930.507,-376842.11,-378213.98,-18057.21,-78023.63,-57694.49
348930.511,-362367.39,-363228.65,-41747.72,-77141.87,-76999.48
348930.515,-357382.44,-358793.4,-36957.94,-80852.38,-75645.88
348930.519,-363456.67,-365567.16,-20881.23,-83036.1,-63675.51
348930.523,-376458.74,-378736.59,-3668.4,-82756.58,-49375.4
348930.527,-377127.5,-378548.62,-17784.88,-78014.34,-57506.04
348930.531,-362885.42,-363784.93,-41424.09,-77097.14,-76742.04
348930.535,-357745.55,-359206.77,-36903.96,-80789.53,-75594.96
348930.539,-363547.42,-365729.66,-21034.58,-82997.57,-63805.68
348930.543,-376411.29,-378757.47,-3814.75,-82767.59,-49502.81
348930.547,-377362.87,-378820.04,-17555.24,-78049.91,-57310.4
348930.551,-363319.87,-364241.07,-41135.65,-77053.99,-76447.69
348930.555,-358046.72,-359551.52,-36839.58,-80721.58,-75471.74
348930.559,-363592.62,-365827.46,-21193.13,-82949.84,-63897.57
348930.563,-376326.51,-378713.37,-3955.08,-82761.87,-49649.82
348930.567,-377585.79,-379042.86,-17249.73,-78048.48,-57122.33
348930.571,-363902.95,-364778.32,-40717.37,-76988.56,-76110.71
348930.575,-358426.04,-359875.82,-36787.09,-80615.86,-75377.28
348930.579,-363030.62,-365316.58,-21999.08,-82901.58,-64462.29
348930.583,-374146.36,-376819.13,-5811.26,-82923.37,-51144.7
348930.587,-375608.63,-377365.73,-18226.58,-78426.47,-58086.16
348930.591,-364121.29,-364971.01,-39915.42,-77178.15,-75575.79
348930.595,-359713.45,-360947.75,-35910.42,-80535.95,-74634.42
348930.599,-363597.63,-365728.09,-22100.02,-82787.86,-64489.8
348930.603,-374067.78,-376649.28,-6241.61,-82938.59,-51484.92
348930.607,-376158.0,-377734.13,-17784.74,-78490.03,-57763.34
348930.611,-365856.36,-366330.81,-38751.8,-77092.47,-74612.48
348930.615,-361363.98,-362190.86,-35296.78,-80323.18,-74055.16
348930.619,-364062.21,-365943.48,-22562.55,-82648.57,-64797.74
348930.623,-373427.77,-375938.03,-7226.71,-82975.59,-52309.04
348930.627,-375886.91,-377370.97,-17956.55,-78647.38,-58023.84
348930.6309,-366646.29,-366852.04,-38177.64,-77119.31,-74184.09
348930.6349,-362439.01,-362936.44,-34877.4,-80243.07,-73634.97
348930.6389,-364757.44,-366360.14,-22554.69,-82554.97,-64690.36
348930.6429,-373591.9,-375927.25,-7479.72,-82956.18,-52469.83
348930.6469,-376193.81,-377523.04,-17766.76,-78665.6,-57897.53
348930.6509,-367511.75,-367479.32,-37665.66,-77055.65,-73755.08
348930.6549,-363345.95,-363589.66,-34547.86,-80102.64,-73334.04
348930.6589,-365160.41,-366599.32,-22712.47,-82433.9,-64817.34
348930.6629,-373398.68,-375690.55,-7949.54,-82932.58,-52895.5
348930.6669,-376273.2,-377563.47,-17667.58,-78735.03,-57898.05
348930.6709,-368300.43,-368134.11,-37063.17,-77024.56,-73291.41
348930.6749,-364110.47,-364224.53,-34275.39,-79996.07,-73071.2
348930.6789,-365359.3,-366753.96,-22959.57,-82361.33,-64945.8
348930.6829,-373178.38,-375515.08,-8315.61,-82958.42,-53167.4
348930.6869,-376307.77,-377635.09,-17545.56,-78790.39,-57803.83
348930.6909,-368770.02,-368573.8,-36740.26,-77003.68,-73002.78
348930.6949,-364481.83,-364558.93,-34211.12,-79937.28,-72990.52
348930.6989,-365375.66,-366775.27,-23207.33,-82344.49,-65120.08
348930.7029,-372894.71,-375271.27,-8634.04,-82991.09,-53419.74
348930.7069,-376308.68,-377652.26,-17407.99,-78855.19,-57725.01
348930.7109,-369188.78,-368933.82,-36395.7,-76982.41,-72715.67
348930.7149,-364824.67,-364835.35,-34138.06,-79872.71,-72880.23
348930.7189,-365352.48,-366732.74,-23423.77,-82295.71,-65295.99
348930.7229,-372612.95,-375022.22,-8937.79,-83022.03,-53723.06
348930.7269,-376284.83,-377638.96,-17308.05,-78923.0,-57695.06
348930.7309,-369572.54,-369255.92,-36088.04,-76973.5,-72468.29
348930.7349,-365142.72,-365084.17,-34042.41,-79812.01,-72801.74
