TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
348930.3776,55.937,-8.479,1014.186,-1566.25,2362.5,0.0,74.48,-193.04,-498.56
348930.4276,51.362,-11.956,1017.419,463.75,2283.75,-673.75,76.0,-190.0,-504.64
348930.4776,50.996,-2.44,1016.87,446.25,2563.75,-1566.25,59.28,-183.92,-495.52
348930.5276,51.24,0.549,1016.992,148.75,2913.75,-2301.25,65.36,-205.2,-498.56
348930.5776,49.044,-2.928,1015.406,227.5,2555.0,-2441.25,79.04,-188.48,-494.0
348930.6276,45.628,6.466,1016.626,-1487.5,3622.5,-2966.25,77.52,-206.72,-500.08
348930.6776,44.042,-7.015,1013.332,-1793.75,3631.25,-2668.75,59.28,-188.48,-484.88
348930.7276,42.761,-8.296,1014.125,-2161.25,2905.0,-2327.5,47.12,-188.48,-492.48
348930.7776,47.58,-16.714,1015.223,-402.5,2318.75,-1986.25,82.08,-190.0,-504.64
348930.8276,50.935,-9.394,1016.992,-1566.25,2660.0,-796.25,66.88,-191.52,-498.56
348930.8776,49.654,-13.969,1014.918,-280.0,2590.0,-1041.25,59.28,-196.08,-481.84
348930.9276,47.153,-1.159,1013.149,253.75,1960.0,-1111.25,74.48,-197.6,-492.48
348930.9776,58.926,-10.431,1011.014,-1627.5,2493.75,463.75,63.84,-186.96,-483.36
348931.0276,57.767,-13.237,1015.711,-560.0,2590.0,901.25,65.36,-186.96,-489.44
348931.0776,62.952,-21.045,1017.053,-481.25,3692.5,971.25,63.84,-200.64,-494.0
348931.1276,59.109,-23.973,1017.297,341.25,4173.75,-288.75,66.88,-200.64,-497.04
348931.1776,52.765,-16.287,1016.809,1750.0,4410.0,-1697.5,77.52,-196.08,-484.88
348931.2276,45.323,-11.407,1011.868,2161.25,4383.75,-2196.25,65.36,-193.04,-486.4
348931.2776,43.066,-7.442,1012.478,1706.25,4480.0,-1933.75,65.36,-190.0,-498.56
348931.3276,39.711,-0.671,1015.04,822.5,3447.5,-1303.75,69.92,-196.08,-504.64
348931.3776,45.75,-1.525,1013.881,1128.75,3176.25,-1338.75,69.92,-194.56,-500.08
348931.4276,47.519,-4.026,1013.942,1408.75,3412.5,-1408.75,69.92,-196.08,-498.56
348931.4776,36.844,2.989,1014.308,262.5,3613.75,-1645.0,72.96,-202.16,-494.0
348931.5276,41.236,-5.246,1014.064,306.25,3421.25,-1181.25,66.88,-188.48,-497.04
348931.5776,40.199,-2.928,1016.809,-665.0,3158.75,-892.5,79.04,-190.0,-504.64
348931.6276,38.735,-9.577,1016.382,-490.0,2931.25,-393.75,69.92,-197.6,-507.68
348931.6776,35.746,-0.183,1018.212,892.5,2283.75,52.5,71.44,-199.12,-494.0
348931.7276,43.432,2.562,1012.112,-866.25,2257.5,481.25,60.8,-196.08,-490.96
348931.7776,45.384,-6.222,1014.369,630.0,1601.25,17.5,71.44,-186.96,-509.2
348931.8276,47.58,1.891,1013.637,-1592.5,2275.0,-236.25,74.48,-194.56,-486.4
348931.8776,47.885,-8.967,1016.199,-1610.0,2450.0,-498.75,80.56,-203.68,-489.44
348931.9276,45.262,-9.272,1015.711,-1408.75,2642.5,-603.75,63.84,-191.52,-495.52
348931.9776,45.689,-8.601,1014.552,-210.0,2310.0,-630.0,63.84,-194.56,-512.24
348932.0276,48.068,-5.368,1013.942,-393.75,1907.5,-131.25,80.56,-199.12,-492.48
348932.0776,51.24,-6.649,1013.576,-148.75,1828.75,367.5,69.92,-199.12,-481.84
348932.1276,52.216,-7.93,1014.857,-1058.75,1863.75,253.75,57.76,-182.4,-501.6
348932.1776,54.107,-16.104,1014.918,-341.25,2170.0,-210.0,77.52,-199.12,-490.96
348932.2276,52.216,-15.921,1014.186,-385.0,2870.0,-560.0,69.92,-196.08,-486.4
348932.2776,45.75,-16.47,1016.199,2126.25,2388.75,280.0,69.92,-186.96,-498.56
348932.3276,43.066,-8.723,1016.87,-463.75,1478.75,1645.0,79.04,-197.6,-500.08
348932.3776,52.155,-15.189,1012.661,778.75,962.5,2616.25,68.4,-199.12,-489.44
348932.4276,56.791,-7.503,1013.393,140.0,1181.25,2380.0,74.48,-194.56,-498.56
348932.4776,61.732,-11.163,1014.125,262.5,2030.0,2073.75,66.88,-190.0,-504.64
348932.5276,56.242,-6.039,1014.491,1120.0,2205.0,428.75,68.4,-188.48,-506.16
348932.5776,61.122,0.305,1011.868,1041.25,3202.5,-1093.75,74.48,-194.56,-489.44
348932.6276,53.741,-2.44,1016.504,-682.5,2975.0,-735.0,66.88,-183.92,-490.96
348932.6776,59.536,-10.248,1014.918,17.5,2817.5,-262.5,56.24,-191.52,-506.16
348932.7276,64.294,-11.346,1013.942,-306.25,3386.25,-175.0,79.04,-186.96,-503.12
348932.7776,59.78,-8.113,1016.992,1085.0,2765.0,-1198.75,65.36,-199.12,-490.96
348932.8276,53.192,-4.087,1015.894,297.5,3053.75,-980.0,62.32,-196.08,-492.48
348932.8778,54.229,-6.954,1014.43,568.75,2336.25,-743.75,76.0,-191.52,-494.0
348932.9276,61.366,-1.464,1011.38,901.25,2546.25,-253.75,68.4,-190.0,-495.52
348932.9777,59.109,1.281,1010.77,708.75,2581.25,-175.0,68.4,-185.44,-489.44
348933.0276,61.854,-3.05,1016.26,-26.25,2126.25,-656.25,62.32,-202.16,-512.24
348933.0777,67.832,-2.867,1014.735,61.25,3552.5,-857.5,56.24,-194.56,-494.0
348933.1276,61.671,0.122,1013.942,717.5,3771.25,-245.0,68.4,-196.08,-472.72
348933.1776,50.264,11.834,1016.199,-726.25,3010.0,-918.75,60.8,-196.08,-498.56
348933.2276,57.767,-6.466,1011.685,-1540.0,2642.5,-245.0,72.96,-194.56,-507.68
348933.2776,57.889,-3.904,1011.136,-1557.5,3158.75,498.75,80.56,-191.52,-497.04
348933.3276,63.318,-11.529,1014.552,-770.0,3867.5,1566.25,60.8,-185.44,-498.56
348933.3776,49.959,-7.503,1013.027,-630.0,4497.5,1662.5,59.28,-185.44,-497.04
348933.4276,46.299,-5.185,1014.552,-551.25,2695.0,385.0,79.04,-193.04,-497.04
348933.4776,52.948,-4.758,1015.65,-1163.75,1715.0,-568.75,56.24,-190.0,-486.4
348933.5276,64.05,-12.2,1015.955,-1531.25,2108.75,-621.25,72.96,-194.56,-489.44
348933.5776,61.183,-15.433,1018.517,-1233.75,3088.75,-752.5,56.24,-186.96,-503.12
348933.6276,53.985,-16.47,1018.456,-175.0,3255.0,-1583.75,59.28,-190.0,-486.4
348933.6776,38.674,1.159,1008.757,-1671.25,2397.5,-2406.25,83.6,-183.92,-484.88
348933.7276,45.445,-13.542,1013.942,-2117.5,691.25,-1120.0,63.84,-190.0,-471.2
348933.7776,61.793,-15.372,1013.393,-1513.75,26.25,-192.5,62.32,-180.88,-494.0
348933.8276,73.871,-17.629,1012.356,-796.25,857.5,595.0,69.92,-179.36,-500.08
348933.8776,73.017,-20.13,1014.613,-1435.0,2493.75,1268.75,56.24,-188.48,-492.48
348933.9276,68.442,-18.544,1013.759,-621.25,2607.5,218.75,57.76,-182.4,-494.0
348933.9776,68.015,-21.899,1014.796,-61.25,2520.0,-358.75,65.36,-183.92,-471.2
348934.0276,66.612,-11.285,1013.942,-341.25,3395.0,-918.75,69.92,-182.4,-486.4
348934.0776,61.305,-14.457,1014.857,-1697.5,3001.25,-577.5,69.92,-188.48,-477.28
348934.1276,65.27,-23.729,1012.661,-1365.0,2677.5,-218.75,59.28,-186.96,-503.12
348934.1776,68.015,-30.378,1014.857,-1452.5,2896.25,166.25,59.28,-188.48,-492.48
348934.2276,68.808,-30.317,1017.846,-210.0,3220.0,61.25,59.28,-179.36,-480.32
348934.2776,72.102,-24.705,1009.611,0.0,3316.25,-183.75,60.8,-185.44,-490.96
348934.3276,65.514,-19.215,1012.844,140.0,3955.0,-551.25,63.84,-185.44,-507.68
348934.3776,60.573,-19.154,1007.415,-122.5,3631.25,-875.0,89.68,-186.96,-490.96
348934.4276,67.222,-20.435,1016.809,-752.5,4086.25,-1111.25,68.4,-191.52,-487.92
348934.4776,58.438,-29.402,1015.04,-787.5,4506.25,-1513.75,62.32,-185.44,-484.88
348934.5276,54.9,-23.912,1011.929,-402.5,3018.75,-1863.75,85.12,-176.32,-490.96
348934.5776,52.948,-19.093,1012.661,-586.25,2371.25,-1793.75,68.4,-173.28,-484.88
348934.6276,64.782,-22.692,1014.43,-988.75,2476.25,-323.75,65.36,-179.36,-494.0
348934.6776,64.599,-24.949,1014.552,-1242.5,2931.25,-70.0,71.44,-186.96,-494.0
348934.7276,63.318,-29.463,1014.979,-1601.25,2581.25,-350.0,62.32,-180.88,-492.48
348934.7776,65.27,-34.465,1013.393,-735.0,2948.75,-1093.75,71.44,-182.4,-490.96
348934.8276,62.403,-34.282,1013.088,-455.0,3263.75,-1041.25,62.32,-177.84,-490.96
348934.8776,63.074,-23.058,1012.478,-577.5,3780.0,-1478.75,62.32,-186.96,-494.0
348934.9276,61.0,-29.036,1012.051,-1400.0,2931.25,-393.75,62.32,-188.48,-480.32
348934.9776,61.793,-35.563,1011.685,-997.5,3115.0,78.75,59.28,-182.4,-497.04
348935.0276,60.756,-36.966,1014.613,-603.75,2913.75,-393.75,60.8,-186.96,-490.96
348935.0776,61.183,-35.075,1015.833,-236.25,3185.0,-988.75,74.48,-186.96,-486.4
348935.1276,65.575,-32.025,1014.491,280.0,2686.25,-1198.75,60.8,-177.84,-487.92
348935.1776,63.379,-32.025,1014.491,-192.5,3482.5,-962.5,80.56,-183.92,-487.92
348935.2276,57.95,-29.585,1011.746,280.0,2870.0,-525.0,66.88,-182.4,-509.2
348935.2776,64.599,-31.476,1011.99,-1155.0,3185.0,-122.5,68.4,-182.4,-492.48
348935.3276,61.549,-35.502,1015.406,-796.25,3307.5,-621.25,53.2,-174.8,-483.36
