TimeStamp,ch1,ch2,ch3,ch5,ch6
348849.7832,-365584.13,-361985.06,-38133.44,-87688.79,-78081.57
348849.7872,-366611.72,-365201.99,-28174.4,-93806.75,-70811.23
348849.7912,-377709.53,-377579.45,-17639.11,-96303.24,-61512.1
348849.7952,-379907.51,-377663.85,-29488.42,-87290.15,-69044.07
348849.7992,-371010.63,-366916.56,-41179.38,-83145.39,-79249.68
348849.8032,-365046.16,-362045.52,-38094.05,-87736.04,-78090.06
348849.8072,-366321.7,-365643.31,-27897.5,-93883.1,-70615.25
348849.8112,-377825.73,-378605.32,-17020.99,-96440.9,-61015.8
348849.8152,-379267.55,-378029.49,-29577.78,-87232.79,-69070.4
348849.8192,-369027.04,-365996.21,-42161.8,-82992.23,-80054.63
348849.8232,-362977.69,-361115.93,-38737.59,-87785.73,-78685.91
348849.8272,-364942.17,-365484.57,-27948.43,-94040.64,-70696.79
348849.8312,-376708.08,-378766.92,-16925.77,-96593.39,-60927.83
348849.8352,-378242.35,-378310.82,-29454.28,-87384.0,-68939.31
348849.8392,-367914.91,-366248.32,-42166.19,-83049.97,-80031.21
348849.8432,-361792.18,-361387.73,-38789.85,-87825.36,-78726.87
348849.8472,-363706.44,-365744.97,-28022.1,-94065.15,-70751.72
348849.8512,-375525.61,-378993.27,-16944.32,-96666.54,-60963.21
348849.8552,-377122.73,-378548.52,-29407.98,-87472.4,-68913.66
348849.8592,-366738.46,-366502.57,-42239.38,-83090.12,-80070.17
348849.8632,-360550.64,-361635.59,-38874.06,-87850.1,-78774.56
348849.8672,-362444.97,-365929.98,-28134.54,-94079.6,-70860.54
348849.8712,-374414.39,-379113.58,-16966.49,-96714.13,-61038.69
348849.8752,-376220.03,-378783.6,-29347.23,-87567.96,-68913.32
348849.8792,-365651.7,-366648.38,-42364.32,-83109.72,-80198.63
348849.8832,-359200.52,-361569.54,-39163.69,-87862.36,-79038.25
348849.8872,-361171.62,-365837.43,-28346.11,-94116.79,-71028.1
348849.8912,-373746.15,-379313.08,-16829.16,-96838.58,-60897.17
348849.8952,-375839.52,-379134.18,-29104.43,-87670.91,-68682.54
348849.8992,-364845.84,-366658.92,-42518.95,-83100.66,-80293.47
348849.9032,-358175.61,-361355.06,-39411.64,-87858.69,-79207.95
348849.9072,-360167.26,-365511.89,-28637.79,-94123.66,-71235.95
348849.9111,-372627.68,-378651.14,-17229.27,-96868.81,-61234.34
348849.9151,-375645.25,-379239.08,-28742.17,-87926.3,-68427.67
348849.9191,-365917.82,-367937.7,-41473.25,-83324.97,-79422.82
348849.9231,-359103.01,-362453.27,-38900.0,-87820.49,-78741.94
348849.9271,-359867.33,-365363.26,-29092.74,-93916.9,-71604.07
348849.9311,-371921.87,-377955.72,-17722.13,-96815.6,-61711.41
348849.9351,-375333.5,-378849.17,-28824.52,-88005.22,-68536.1
348849.9391,-365744.49,-367680.4,-41594.56,-83349.81,-79508.36
348849.9431,-358798.59,-362038.7,-39145.81,-87803.42,-78946.36
348849.9471,-359382.05,-364705.37,-29479.36,-93889.44,-71938.05
348849.9511,-371560.47,-377305.03,-17958.45,-96869.19,-61935.29
348849.9551,-375491.62,-378649.38,-28690.29,-88142.21,-68454.75
348849.9591,-366181.23,-367726.7,-41420.8,-83405.7,-79370.13
348849.9631,-359202.62,-362014.38,-39105.66,-87797.8,-78910.79
348849.9671,-359665.77,-364513.63,-29553.75,-93841.42,-71995.55
348849.9711,-371877.67,-377101.08,-17970.56,-96866.0,-61955.03
348849.9751,-376022.72,-378651.0,-28516.73,-88197.0,-68296.82
348849.9791,-366879.13,-367870.04,-41258.53,-83422.48,-79191.55
348849.9831,-359820.36,-362048.38,-39079.53,-87748.2,-78851.76
348849.9871,-360046.38,-364304.44,-29731.56,-93757.88,-72117.38
348849.9911,-372170.83,-376828.33,-18074.18,-96845.59,-62045.39
348849.9951,-376641.75,-378705.36,-28318.79,-88252.08,-68142.99
348849.9991,-367639.97,-368019.72,-41101.94,-83388.2,-79025.99
348850.0031,-360454.55,-362044.62,-39103.37,-87665.43,-78816.71
348850.0071,-360480.49,-364105.94,-29877.33,-93654.02,-72207.55
348850.0111,-372562.17,-376649.47,-18140.99,-96822.7,-62110.38
348850.0151,-377274.03,-378809.07,-28132.49,-88308.77,-68006.52
348850.0191,-368438.62,-368259.33,-40953.02,-83371.55,-78897.53
348850.0231,-361143.97,-362160.96,-39097.5,-87584.55,-78798.88
348850.0271,-360941.12,-364023.25,-30028.3,-93560.99,-72310.41
348850.0311,-372900.39,-376528.64,-18203.55,-96799.67,-62165.84
348850.0351,-377890.82,-378993.89,-27918.01,-88360.99,-67827.19
348850.039,-369221.16,-368563.84,-40754.13,-83328.11,-78715.1
348850.043,-361800.9,-362331.29,-39082.87,-87489.85,-78804.07
348850.047,-361125.13,-363776.68,-30312.78,-93412.51,-72570.81
348850.051,-372479.91,-375831.36,-18693.31,-96710.07,-62617.6
348850.055,-377790.54,-378664.63,-27947.91,-88439.43,-67888.46
348850.059,-370001.22,-368995.85,-40378.48,-83402.36,-78362.14
348850.063,-362776.89,-362890.38,-38806.97,-87432.73,-78499.85
348850.067,-361662.67,-363929.03,-30442.48,-93276.46,-72622.16
348850.071,-372695.11,-375764.37,-18821.81,-96677.03,-62713.34
348850.075,-378381.06,-378990.31,-27677.44,-88539.8,-67668.26
348850.079,-370894.57,-369561.86,-40061.72,-83410.08,-78068.65
348850.083,-363476.08,-363260.88,-38769.11,-87344.37,-78412.64
348850.087,-361909.24,-363903.28,-30665.74,-93150.01,-72763.31
348850.091,-372710.94,-375611.49,-18979.65,-96652.61,-62845.09
348850.095,-378731.44,-379212.23,-27454.19,-88619.77,-67494.73
348850.099,-371518.85,-370001.6,-39848.38,-83394.68,-77869.28
348850.103,-363838.33,-363424.06,-38828.66,-87230.5,-78451.6
348850.107,-361658.57,-363509.17,-31121.45,-93022.69,-73167.05
348850.111,-372096.92,-374954.84,-19363.45,-96647.66,-63229.66
348850.115,-378905.53,-379322.62,-27109.01,-88790.47,-67253.45
348850.119,-372503.18,-370810.22,-39198.12,-83475.79,-77310.0
348850.123,-364629.31,-364019.58,-38569.26,-87155.54,-78187.57
348850.127,-361791.22,-363494.96,-31321.24,-92864.1,-73276.72
348850.131,-371728.42,-374547.1,-19702.72,-96581.95,-63522.44
348850.135,-378831.29,-379245.37,-27034.33,-88884.75,-67246.78
348850.139,-373014.21,-371251.1,-38872.44,-83543.22,-77031.43
348850.143,-365058.61,-364355.08,-38472.75,-87107.81,-78050.15
348850.147,-361675.07,-363322.92,-31618.12,-92759.1,-73467.12
348850.151,-371236.42,-374091.29,-20019.87,-96565.21,-63750.42
348850.155,-378758.33,-379240.08,-26874.64,-89014.64,-67094.38
348850.159,-373298.31,-371562.86,-38616.04,-83590.71,-76785.96
348850.163,-365192.03,-364509.63,-38458.49,-87058.6,-78027.69
348850.167,-361460.59,-363159.51,-31826.36,-92677.13,-73657.57
348850.171,-370819.04,-373796.03,-20210.79,-96573.56,-63956.98
348850.175,-378592.25,-379230.97,-26737.03,-89117.63,-67011.89
348850.179,-373366.45,-371759.98,-38457.02,-83620.27,-76635.56
348850.183,-365117.93,-364558.88,-38489.3,-87014.92,-78004.46
348850.187,-361101.0,-362953.42,-32042.75,-92615.23,-73797.04
348850.191,-370296.05,-373489.85,-20362.43,-96576.51,-64087.68
348850.195,-378368.52,-379254.67,-26603.56,-89227.16,-66924.44
348850.199,-373315.33,-371939.56,-38331.56,-83669.05,-76517.3
348850.203,-364923.28,-364600.75,-38532.4,-87011.4,-78020.53
348850.207,-360645.05,-362777.94,-32232.0,-92586.62,-73935.33
348850.211,-369730.71,-373263.98,-20501.66,-96611.32,-64215.95
348850.215,-378038.79,-379290.2,-26485.3,-89337.79,-66833.22
348850.219,-373128.55,-372109.84,-38250.59,-83712.06,-76432.52
348850.223,-364573.05,-364635.37,-38583.76,-86993.28,-78060.83
348850.227,-360064.31,-362621.06,-32420.35,-92556.44,-74095.45
348850.2309,-369051.07,-373034.76,-20638.28,-96642.6,-64334.92
348850.2349,-377639.91,-379323.91,-26387.69,-89455.04,-66751.44
348850.2389,-372857.47,-372254.37,-38144.31,-83765.71,-76322.37
348850.2429,-364153.29,-364664.07,-38628.77,-86991.23,-78073.56
348850.2469,-359391.3,-362449.88,-32612.04,-92527.21,-74240.84
348850.2509,-368318.74,-372801.21,-20792.15,-96669.73,-64485.75
348850.2549,-377232.17,-379364.63,-26267.58,-89540.49,-66664.61
348850.2589,-372711.56,-372528.45,-38032.49,-83798.66,-76199.49
348850.2629,-363882.97,-364841.79,-38677.55,-86975.63,-78063.45
348850.2669,-358844.04,-362386.7,-32824.0,-92496.74,-74377.35
348850.2709,-367683.79,-372612.85,-20958.71,-96687.38,-64610.11
348850.2749,-376935.15,-379433.96,-26183.56,-89634.29,-66597.14
348850.2789,-372613.71,-372754.48,-37930.92,-83823.17,-76117.52
348850.2829,-363670.87,-364962.24,-38700.78,-86958.37,-78115.47
348850.2869,-358387.47,-362281.51,-32964.66,-92464.84,-74534.09
348850.2909,-367212.43,-372435.33,-21053.89,-96703.97,-64732.65
348850.2949,-376774.45,-379479.36,-26057.06,-89703.0,-66514.88
348850.2989,-372641.66,-372947.07,-37842.28,-83839.19,-76013.86
348850.3029,-363567.11,-365030.28,-38729.0,-86927.14,-78091.25
348850.3069,-358097.21,-362169.12,-33110.19,-92429.17,-74623.45
348850.3109,-366909.07,-372252.32,-21143.77,-96713.65,-64829.12
348850.3149,-376770.26,-379515.65,-25957.68,-89767.56,-66456.33
348850.3189,-372801.35,-373094.22,-37767.75,-83824.69,-75942.76
348850.3229,-363699.53,-365144.82,-38761.86,-86883.36,-78089.53
348850.3269,-358078.95,-362138.36,-33223.68,-92378.72,-74682.15
348850.3309,-366846.94,-372140.07,-21220.02,-96717.23,-64869.65
348850.3349,-376935.72,-379563.0,-25852.06,-89815.39,-66354.71
348850.3389,-373134.13,-373253.96,-37678.87,-83807.1,-75843.06
348850.3429,-363974.66,-365230.13,-38741.45,-86828.58,-78074.13
348850.3469,-358205.31,-362071.65,-33303.55,-92333.61,-74768.6
348850.3509,-366907.93,-371987.15,-21264.41,-96720.75,-64924.1
348850.3549,-377242.94,-379617.78,-25719.6,-89863.22,-66250.48
348850.3588,-373605.68,-373428.1,-37593.89,-83778.2,-75744.02
