TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
348849.8276,104.676,-69.906,1010.099,-2485.0,4130.0,-253.75,34.96,-159.6,-481.84
348849.8776,105.042,-78.263,1012.173,-1636.25,4506.25,-245.0,50.16,-168.72,-478.8
348849.9276,97.966,-71.126,1015.345,35.0,5792.5,-1540.0,33.44,-158.08,-463.6
348849.9776,92.842,-72.041,1009.062,-52.5,5433.75,-3150.0,51.68,-164.16,-487.92
348850.0276,91.378,-69.235,1007.11,-350.0,4900.0,-5512.5,59.28,-168.72,-475.76
348850.0776,92.598,-69.174,1010.77,-376.25,5608.75,-6510.0,60.8,-161.12,-472.72
348850.1276,79.056,-69.662,1007.659,-1102.5,6247.5,-6903.75,44.08,-168.72,-484.88
348850.1776,77.897,-69.906,1010.099,-236.25,5328.75,-7953.75,45.6,-164.16,-474.24
348850.2276,76.616,-66.673,1009.672,-770.0,4602.5,-8102.5,60.8,-173.28,-489.44
348850.2776,85.339,-69.784,1006.744,-1837.5,3692.5,-6833.75,48.64,-177.84,-480.32
348850.3276,93.757,-76.677,1009.672,-1330.0,4060.0,-6475.0,38.0,-171.76,-480.32
348850.3776,85.888,-73.078,1012.722,-1312.5,5320.0,-6431.25,44.08,-174.8,-471.2
348850.4276,77.47,-68.015,1007.842,-1461.25,4838.75,-5696.25,65.36,-173.28,-466.64
348850.4776,84.363,-71.248,1009.123,-2598.75,4707.5,-5118.75,53.2,-173.28,-481.84
348850.5276,83.204,-78.507,1011.746,-1373.75,5652.5,-3613.75,50.16,-179.36,-489.44
348850.5776,77.714,-80.215,1017.419,-1155.0,5617.5,-2651.25,66.88,-180.88,-477.28
348850.6276,77.592,-81.679,1011.807,-1531.25,6352.5,-3491.25,51.68,-179.36,-497.04
348850.6776,70.211,-76.372,1012.356,236.25,6623.75,-3806.25,62.32,-177.84,-486.4
348850.7276,71.614,-77.653,1010.282,428.75,8076.25,-4602.5,68.4,-180.88,-490.96
348850.7776,52.46,-70.15,1004.609,1225.0,7988.75,-7096.25,68.4,-180.88,-484.88
348850.8276,52.216,-69.296,1010.343,131.25,7070.0,-7455.0,66.88,-180.88,-494.0
348850.8776,70.882,-70.821,1013.515,1741.25,6378.75,-6291.25,48.64,-171.76,-486.4
348850.9276,54.107,-89.914,1012.905,-1890.0,12582.5,-9213.75,71.44,-179.36,-484.88
348850.9776,15.067,-108.824,1015.101,-3578.75,11655.0,-8925.0,69.92,-177.84,-497.04
348851.0276,-5.185,-84.241,1018.273,5897.5,5425.0,-8408.75,79.04,-188.48,-498.56
348851.0776,15.189,-61.61,1019.188,2257.5,971.25,-3298.75,72.96,-180.88,-481.84
348851.1276,51.667,-61.0,1010.831,1898.75,428.75,2590.0,69.92,-194.56,-495.52
348851.1776,60.451,-65.941,1013.881,2038.75,1706.25,4935.0,60.8,-185.44,-490.96
348851.2276,48.129,-70.577,1010.099,4681.25,3185.0,1925.0,77.52,-188.48,-492.48
348851.2776,40.809,-39.284,1018.395,4165.0,148.75,-1076.25,77.52,-183.92,-486.4
348851.3276,52.765,-46.909,1015.406,2730.0,-175.0,87.5,62.32,-203.68,-504.64
348851.3776,71.797,-93.147,980.88,-1137.5,8496.25,-1522.5,66.88,-194.56,-484.88
348851.4276,-13.115,1.403,1021.75,3850.0,6886.25,-9485.0,72.96,-190.0,-487.92
348851.4776,18.727,-68.32,1020.713,-8207.5,-2380.0,-3132.5,65.36,-185.44,-497.04
348851.5276,76.067,-68.625,1003.267,3710.0,-1662.5,1846.25,63.84,-186.96,-504.64
348851.5776,73.627,-33.916,1007.903,1172.5,1933.75,2738.75,66.88,-199.12,-475.76
348851.6276,70.638,-53.619,1014.064,-1837.5,3622.5,4453.75,69.92,-185.44,-478.8
348851.6776,64.416,-62.891,1019.432,-1111.25,3815.0,4287.5,69.92,-179.36,-489.44
348851.7276,64.416,-70.089,1017.419,-498.75,3587.5,4707.5,60.8,-191.52,-490.96
348851.7776,52.399,-63.928,1011.319,2668.75,3176.25,2607.5,69.92,-186.96,-484.88
348851.8276,45.689,-44.652,1011.807,1706.25,2493.75,1155.0,71.44,-191.52,-490.96
348851.8776,54.534,-43.676,1010.099,306.25,1540.0,945.0,59.28,-182.4,-498.56
348851.9276,58.072,-48.617,1010.831,-761.25,2257.5,253.75,68.4,-185.44,-484.88
348851.9776,57.584,-52.887,1011.502,-717.5,3815.0,-1085.0,72.96,-190.0,-477.28
348852.0276,51.545,-55.083,1010.465,-1365.0,3841.25,-1802.5,62.32,-180.88,-503.12
348852.0776,49.776,-63.44,1016.077,-1015.0,3998.75,-2353.75,68.4,-182.4,-498.56
348852.1276,44.591,-58.743,1014.552,-761.25,4095.0,-2992.5,66.88,-185.44,-492.48
348852.1776,39.406,-62.281,1016.26,-1085.0,3937.5,-2826.25,65.36,-176.32,-478.8
348852.2276,42.883,-59.292,1012.661,-997.5,3981.25,-2773.75,76.0,-182.4,-492.48
