TimeStamp,ch1,ch2,ch3,ch5,ch6
347779.6586,-356746.48,-347022.1,-59763.68,-204750.37,-49437.58
347779.6626,-349998.23,-318939.72,-59914.21,-229489.93,-53457.5
347779.6666,-359304.33,-341947.17,-59928.14,-237563.11,-50208.81
347779.6706,-369788.64,-381699.27,-59940.2,-211461.43,-44358.12
347779.6746,-363028.76,-367974.42,-59800.49,-193751.26,-45223.38
347779.6786,-355955.4,-344069.71,-59710.08,-202811.46,-49347.41
347779.6826,-350799.22,-318136.35,-59866.05,-229756.0,-53631.07
347779.6866,-360015.96,-341575.38,-59994.28,-238021.07,-50248.72
347779.6906,-367086.07,-375700.85,-60021.46,-206775.31,-43785.86
347779.6946,-359732.48,-361082.45,-59745.18,-187487.62,-44783.93
347779.6986,-354716.2,-341750.04,-59638.27,-199288.34,-49393.47
347779.7026,-351203.25,-319016.26,-59875.64,-228619.17,-53853.61
347779.7066,-360228.82,-343222.42,-60032.47,-236923.77,-50340.85
347779.7106,-366801.11,-378172.73,-60027.18,-205077.34,-43789.2
347779.7146,-359694.09,-364006.56,-59748.08,-186070.27,-44832.33
347779.7186,-354978.51,-344685.02,-59654.34,-198252.03,-49424.99
347779.7226,-351702.78,-321305.89,-59873.35,-227824.62,-53888.14
347779.7266,-360775.04,-346178.29,-60027.89,-236420.47,-50401.03
347779.7306,-367257.02,-382167.15,-60049.16,-204699.06,-43811.61
347779.7346,-360164.64,-367593.76,-59775.36,-185652.23,-44808.77
347779.7386,-355525.49,-347937.82,-59669.84,-197855.21,-49390.66
347779.7426,-352313.99,-323709.0,-59876.4,-227475.77,-53898.53
347779.7466,-361288.54,-348683.49,-60016.69,-236237.36,-50443.32
347779.7506,-367712.26,-385538.96,-60030.66,-204562.26,-43837.93
347779.7546,-360590.79,-370548.63,-59753.14,-185465.74,-44840.91
347779.7586,-355949.87,-350386.23,-59658.34,-197584.41,-49420.79
347779.7626,-352732.56,-325318.42,-59890.85,-227194.43,-53902.73
347779.7666,-361728.23,-350657.12,-60019.17,-236198.36,-50474.32
347779.7706,-368250.89,-388361.12,-60042.25,-204727.44,-43845.94
347779.7746,-361019.7,-372313.5,-59761.48,-185398.31,-44786.32
347779.7786,-355903.95,-350020.16,-59657.29,-196819.09,-49329.05
347779.7826,-350933.55,-319019.64,-59893.47,-223708.08,-53583.25
347779.7865,-360407.73,-345460.46,-59894.43,-233379.06,-50453.0
347779.7905,-370738.6,-393965.43,-59933.53,-208014.85,-44474.23
347779.7945,-364789.62,-380729.43,-59816.75,-191374.94,-45342.45
347779.7985,-357509.23,-351837.3,-59786.71,-199795.37,-49302.87
347779.8025,-350827.4,-315356.48,-59954.08,-223999.72,-53334.34
347779.8065,-360637.66,-342714.4,-59884.17,-234232.88,-50436.6
347779.8105,-371807.86,-394226.41,-59897.53,-210165.48,-44618.33
347779.8145,-365782.59,-380842.59,-59826.38,-193512.27,-45383.94
347779.8185,-357584.85,-349282.4,-59819.66,-200622.53,-49159.39
347779.8225,-349811.93,-309403.17,-59954.56,-223256.28,-53141.22
347779.8265,-359853.88,-337477.77,-59837.83,-233888.8,-50397.59
347779.8305,-371966.69,-392411.04,-59875.07,-211094.17,-44666.92
347779.8345,-365943.9,-379625.03,-59815.75,-194397.76,-45385.84
347779.8385,-357450.1,-347337.57,-59809.41,-201147.44,-49131.35
347779.8425,-349618.33,-307228.08,-59937.82,-223841.03,-53119.62
347779.8465,-359853.22,-335932.63,-59827.33,-234891.3,-50447.71
347779.8505,-372259.28,-392062.28,-59873.02,-212410.19,-44741.83
347779.8545,-366292.62,-379729.41,-59832.77,-195763.13,-45422.85
347779.8585,-357529.3,-346866.84,-59812.98,-202187.8,-49141.37
347779.8625,-349312.92,-305780.92,-59951.17,-224334.22,-53104.79
347779.8665,-359185.12,-333492.13,-59828.62,-234777.0,-50409.04
347779.8705,-371730.04,-390198.94,-59868.72,-212486.86,-44780.78
347779.8745,-365818.59,-378269.05,-59853.94,-195979.86,-45478.92
347779.8785,-357056.61,-345425.03,-59837.83,-202351.21,-49149.61
347779.8825,-348805.42,-304436.15,-59968.57,-224242.43,-53054.63
347779.8865,-358806.46,-332758.51,-59833.63,-234751.4,-50380.47
347779.8905,-371644.3,-390429.64,-59881.17,-212942.91,-44782.88
347779.8945,-365733.86,-378538.84,-59848.65,-196471.19,-45454.79
347779.8985,-356717.68,-345034.16,-59841.02,-202391.7,-49074.46
347779.9025,-348097.32,-302995.19,-59967.67,-223636.65,-52931.17
347779.9065,-358282.89,-331725.16,-59802.21,-234526.04,-50371.13
347779.9105,-371997.26,-391838.64,-59832.87,-214105.11,-44918.88
347779.9145,-366189.62,-380185.22,-59853.61,-197821.59,-45527.94
347779.9185,-356391.66,-344451.95,-59871.87,-202545.29,-48983.06
347779.9225,-346541.64,-298701.85,-60010.06,-221910.88,-52703.01
347779.9265,-357015.99,-327936.26,-59784.09,-233186.75,-50336.03
347779.9305,-373073.19,-394776.2,-59798.39,-216179.11,-45216.42
347779.9345,-368067.98,-385183.19,-59903.68,-201258.25,-45770.94
347779.9385,-356451.27,-344144.15,-59969.81,-203489.85,-48865.23
347779.9425,-343409.91,-288660.51,-60072.48,-218148.78,-52208.62
347779.9465,-354592.56,-319167.7,-59634.64,-230485.61,-50346.33
347779.9505,-376052.71,-400000.05,-59658.49,-221587.4,-46040.11
347779.9545,-372016.33,-392835.14,-59971.15,-208626.63,-46279.29
347779.9585,-357226.03,-342715.26,-60112.82,-206358.74,-48673.92
347779.9625,-340104.62,-275423.27,-60160.41,-214830.47,-51519.97
347779.9665,-350493.38,-302749.29,-59568.75,-225916.84,-49946.12
347779.9705,-375819.78,-395696.83,-59519.63,-222469.88,-46365.46
347779.9745,-374444.62,-396097.18,-59955.7,-213426.04,-46731.38
347779.9784,-358350.18,-342879.15,-60199.12,-209421.14,-48697.29
347779.9824,-337125.53,-264200.77,-60302.36,-211916.09,-50972.66
347779.9864,-345828.72,-285872.21,-59524.59,-220636.82,-49526.27
347779.9904,-374631.5,-388445.71,-59423.26,-222036.25,-46596.25
347779.9944,-374785.32,-394432.69,-59978.68,-215090.87,-46966.84
347779.9984,-357725.47,-339450.26,-60259.64,-209603.33,-48641.16
347780.0024,-334815.59,-256998.28,-60321.48,-209501.86,-50686.65
347780.0064,-343395.89,-277846.42,-59461.12,-218186.79,-49454.31
347780.0104,-374043.99,-384443.95,-59352.6,-222371.32,-46835.95
347780.0144,-374722.53,-392356.11,-59961.04,-216072.16,-47107.27
347780.0184,-356800.36,-335963.72,-60255.68,-209096.22,-48569.64
347780.0224,-333317.37,-253421.91,-60275.61,-207844.04,-50569.02
347780.0264,-342679.35,-276395.4,-59419.31,-217757.35,-49562.51
347780.0304,-374918.98,-385311.7,-59354.98,-224584.8,-47183.57
347780.0344,-377209.28,-396968.6,-59974.39,-220794.27,-47544.96
347780.0384,-359624.14,-342655.79,-60317.38,-214458.3,-48803.14
347780.0424,-331934.4,-250904.35,-60447.27,-207216.14,-50009.83
347780.0464,-337029.31,-261487.23,-59420.74,-211024.98,-48804.0
347780.0504,-371758.08,-374427.46,-59184.89,-221109.37,-47200.49
347780.0544,-376971.67,-394590.76,-59935.34,-221282.22,-47807.41
347780.0584,-359240.96,-341731.54,-60350.14,-214587.38,-48800.57
347780.0624,-330798.05,-251057.42,-60466.2,-206021.19,-49849.52
347780.0664,-335299.53,-260146.32,-59425.07,-209185.2,-48716.12
347780.0704,-371078.63,-372143.03,-59150.94,-220992.69,-47400.05
347780.0744,-378218.03,-396471.64,-59911.54,-223902.35,-48150.16
347780.0784,-361284.87,-347571.22,-60384.33,-218379.38,-49056.01
347780.0824,-331842.61,-258328.47,-60523.37,-208391.45,-49813.23
347780.0864,-334699.96,-263503.2,-59468.8,-209373.55,-48562.39
347780.0904,-370407.39,-371024.84,-59186.27,-221087.1,-47351.56
347780.0944,-377757.02,-394733.62,-59917.27,-224106.43,-48084.69
347780.0984,-360568.38,-347051.19,-60354.57,-218039.11,-48962.69
347780.1024,-330700.53,-260655.72,-60489.71,-207377.51,-49694.07
347780.1063,-333473.25,-265789.68,-59448.44,-208413.2,-48523.15
347780.1103,-369768.85,-370120.38,-59162.1,-220955.83,-47451.5
347780.1143,-377345.94,-393141.32,-59893.57,-224152.07,-48167.19
347780.1183,-360015.77,-347019.19,-60325.06,-217680.96,-48905.81
347780.1223,-329963.48,-264207.3,-60456.09,-206603.36,-49573.38
347780.1263,-332725.99,-269528.99,-59470.37,-207830.02,-48497.49
347780.1303,-369330.97,-369940.61,-59213.6,-220938.85,-47498.18
347780.1343,-377093.79,-391920.33,-59930.19,-224231.17,-48147.11
347780.1383,-359650.8,-347304.48,-60338.17,-217385.65,-48824.13
347780.1423,-329440.11,-267966.16,-60446.7,-205957.34,-49476.72
347780.1463,-332209.34,-273391.33,-59450.54,-207397.72,-48511.22
347780.1503,-369171.0,-370094.34,-59219.18,-221124.68,-47591.26
347780.1543,-377089.83,-391247.89,-59933.53,-224479.8,-48195.8
347780.1583,-359491.34,-348057.55,-60338.55,-217248.8,-48810.39
347780.1623,-329077.81,-271900.35,-60429.06,-205432.58,-49443.16
347780.1663,-331816.19,-277321.32,-59460.41,-207091.93,-48555.57
347780.1703,-369068.76,-370491.41,-59260.42,-221438.15,-47667.37
347780.1743,-377118.68,-390826.32,-59951.98,-224881.77,-48229.89
347780.1783,-359338.99,-348929.54,-60319.53,-217226.34,-48761.09
347780.1823,-328798.67,-275792.68,-60408.93,-204985.02,-49337.15
347780.1863,-331593.79,-281216.08,-59477.91,-206820.08,-48560.72
347780.1903,-369091.79,-370787.86,-59291.75,-221831.59,-47796.11
347780.1943,-377202.89,-390140.77,-59985.41,-225382.12,-48274.86
347780.1983,-359289.5,-349365.32,-60359.2,-217344.5,-48711.21
347780.2023,-328610.41,-278835.62,-60415.37,-204568.32,-49232.01
347780.2063,-331369.96,-284055.31,-59455.97,-206518.63,-48543.27
347780.2103,-369084.35,-370620.39,-59258.9,-222242.57,-47879.61
347780.2143,-377314.18,-389467.1,-59954.94,-225935.34,-48326.69
347780.2183,-359302.9,-349781.75,-60305.79,-217496.13,-48683.27
347780.2223,-328530.78,-281230.72,-60374.12,-204168.63,-49151.0
347780.2263,-331180.04,-285863.0,-59472.28,-206140.59,-48560.48
347780.2303,-369004.1,-369939.23,-59296.52,-222606.97,-48005.78
347780.2343,-377363.58,-388660.33,-60019.55,-226508.5,-48385.39
347780.2383,-359343.09,-349863.62,-60389.1,-217718.91,-48656.47
347780.2423,-328591.96,-282792.08,-60413.18,-203802.42,-49074.99
347780.2463,-331188.43,-286984.53,-59480.48,-205795.6,-48549.75
347780.2503,-368939.83,-369199.51,-59314.07,-222927.17,-48052.84
347780.2543,-377335.97,-387830.92,-60012.49,-227029.11,-48411.61
347780.2583,-359377.28,-349701.83,-60353.43,-217986.99,-48643.12
347780.2623,-328953.4,-284011.02,-60366.26,-203721.12,-49057.82
347780.2663,-331520.45,-287958.37,-59454.26,-205716.87,-48585.66
347780.2703,-368815.42,-368498.32,-59315.02,-223228.67,-48116.07
347780.2743,-377081.39,-386939.29,-60018.64,-227406.81,-48412.28
347780.2783,-359353.78,-349296.66,-60351.57,-218214.97,-48608.36
347780.2823,-329575.91,-284545.07,-60363.97,-203762.51,-49026.26
347780.2863,-332128.18,-288299.79,-59450.59,-205743.67,-48577.98
347780.2903,-368653.87,-368289.13,-59315.78,-223392.13,-48149.54
347780.2943,-376748.08,-386868.86,-60039.72,-227594.36,-48467.5
347780.2982,-359359.45,-349050.9,-60367.4,-218315.34,-48637.3
347780.3022,-330378.14,-283647.48,-60380.75,-203840.09,-49007.23
347780.3062,-332952.11,-287197.48,-59455.88,-205816.06,-48547.8
347780.3102,-368663.16,-368857.28,-59302.43,-223461.23,-48084.03
347780.3142,-376612.85,-388239.1,-60015.26,-227681.23,-48394.97
347780.3182,-359510.7,-348920.82,-60362.06,-218406.75,-48584.28
347780.3222,-331001.42,-279690.16,-60371.55,-203709.1,-48960.6
347780.3262,-333483.64,-282315.1,-59434.8,-205523.18,-48514.09
347780.3302,-368915.94,-369488.57,-59270.1,-223578.58,-48100.81
347780.3342,-376890.66,-390782.26,-60012.63,-228021.84,-48402.98
347780.3382,-359796.42,-348418.13,-60387.71,-218485.67,-48554.24
347780.3422,-331338.25,-272499.69,-60427.53,-203262.78,-48940.24
347780.3462,-333786.19,-274453.58,-59447.01,-204941.39,-48535.35
347780.3502,-369250.91,-370037.93,-59268.1,-223450.07,-48148.3
347780.3542,-377228.16,-393795.63,-60028.42,-228046.44,-48472.51
347780.3582,-360047.72,-347814.17,-60414.89,-218376.61,-48621.66
347780.3622,-331485.02,-264512.33,-60468.01,-202889.28,-48943.95
347780.3662,-333882.09,-265807.95,-59435.57,-204512.14,-48501.31
347780.3702,-369497.15,-370354.89,-59194.19,-223239.16,-48093.75
347780.3742,-377557.32,-396705.44,-59990.27,-227940.44,-48430.54
347780.3782,-360309.55,-347340.24,-60415.7,-218221.31,-48606.83
347780.3822,-331536.9,-256797.34,-60499.15,-202630.83,-48942.71
347780.3862,-333851.47,-257187.78,-59423.02,-204216.46,-48454.77
347780.3902,-369847.48,-370068.26,-59177.02,-223123.67,-48048.26
347780.3942,-378082.18,-398909.71,-60009.3,-227919.89,-48420.29
347780.3982,-360744.52,-346412.46,-60437.88,-218202.81,-48591.1
347780.4022,-331704.56,-249291.02,-60509.12,-202569.84,-48923.12
347780.4062,-334027.95,-248821.34,-59380.87,-204161.62,-48446.85
347780.4102,-370513.58,-369263.26,-59104.4,-223190.95,-48040.44
347780.4142,-378851.46,-400000.05,-59976.78,-228066.42,-48414.67
347780.4182,-361245.1,-344816.68,-60463.39,-218303.04,-48614.6
347780.4222,-331759.78,-241845.3,-60556.32,-202586.15,-48962.07
347780.4261,-334021.7,-240659.07,-59381.3,-204117.27,-48444.8
347780.4301,-371094.46,-367665.67,-59079.32,-223264.1,-48027.52
347780.4341,-379506.11,-400000.05,-59966.19,-228173.38,-48428.78
347780.4381,-361595.63,-343226.43,-60480.13,-218359.35,-48628.67
347780.4421,-331498.14,-235580.76,-60597.14,-202496.84,-48983.91
347780.4461,-333521.84,-233411.15,-59410.05,-203938.03,-48448.09
347780.4501,-371193.98,-366012.71,-59090.91,-223207.17,-47986.94
347780.4541,-379750.39,-400000.05,-60008.29,-228184.16,-48382.96
347780.4581,-361504.07,-341641.99,-60496.67,-218296.84,-48611.41
347780.4621,-330740.68,-229379.63,-60601.15,-202290.99,-48980.67
347780.4661,-332577.75,-225858.29,-59365.33,-203662.94,-48410.66
347780.4701,-370982.26,-363122.65,-59037.45,-223112.61,-47972.45
347780.4741,-379792.26,-400000.05,-59993.13,-228194.79,-48396.88
347780.4781,-361165.42,-338704.1,-60535.34,-218267.8,-48595.2
347780.4821,-329597.04,-221913.27,-60656.84,-202111.7,-48932.84
347780.4861,-331118.72,-216756.32,-59384.02,-203441.36,-48410.61
347780.4901,-370178.84,-358105.8,-59019.52,-223090.39,-47993.76
347780.4941,-379236.89,-397556.4,-59983.31,-228303.56,-48420.05
347780.4981,-360326.52,-335136.98,-60515.94,-218343.43,-48639.83
347780.5021,-328189.51,-215631.08,-60644.49,-202078.08,-48984.82
347780.5061,-329551.31,-209793.74,-59348.26,-203357.1,-48407.37
347780.5101,-369251.72,-354183.76,-58980.9,-223186.23,-47973.64
347780.5141,-378628.06,-395519.49,-59957.99,-228500.92,-48414.67
347780.5181,-359530.35,-332370.75,-60513.6,-218512.99,-48626.91
347780.5221,-326883.45,-210946.44,-60666.95,-202101.78,-48982.91
347780.5261,-328063.81,-204464.89,-59368.9,-203290.82,-48429.78
347780.5301,-368397.85,-351248.97,-58989.39,-223270.01,-47985.51
347780.5341,-378136.39,-394312.67,-60002.0,-228683.12,-48411.38
347780.5381,-358870.93,-330948.96,-60550.65,-218622.04,-48598.06
347780.5421,-325587.45,-207522.61,-60684.21,-201999.02,-48951.01
347780.5461,-326485.29,-199929.55,-59372.38,-203050.21,-48416.57
347780.5501,-367495.58,-348537.44,-58977.61,-223193.53,-47988.75
347780.554,-377636.43,-393125.06,-59981.02,-228669.24,-48428.64
347780.558,-358229.97,-329544.25,-60549.22,-218532.35,-48625.38
347780.562,-324309.2,-204586.96,-60695.75,-201688.17,-48952.54
347780.566,-324934.47,-196187.14,-59348.73,-202621.34,-48431.74
347780.57,-366691.73,-346654.12,-58953.91,-222966.6,-48008.4
347780.574,-377235.93,-392304.85,-59972.44,-228556.61,-48423.25
347780.578,-357653.71,-328460.06,-60551.51,-218353.58,-48590.0
347780.582,-323130.17,-202365.61,-60727.7,-201348.42,-48918.4
347780.586,-323556.32,-193563.63,-59379.63,-202228.14,-48407.27
347780.59,-366087.15,-345365.04,-58954.82,-222832.94,-48016.65
347780.594,-377090.45,-392025.09,-59965.33,-228578.88,-48460.49
347780.598,-357420.53,-328497.21,-60528.57,-218360.55,-48647.7
347780.602,-322413.29,-202316.69,-60725.41,-201214.43,-48950.96
347780.606,-322590.44,-192862.58,-59390.27,-202045.27,-48396.07
347780.61,-365731.81,-344967.45,-58967.98,-222883.92,-47983.75
347780.614,-377134.08,-392172.34,-59996.8,-228799.18,-48398.83
347780.618,-357367.18,-329103.6,-60571.01,-218547.89,-48593.72
347780.622,-321892.59,-203133.42,-60726.51,-201270.94,-48928.79
347780.626,-321848.72,-193300.7,-59357.17,-202040.98,-48396.45
347780.63,-365585.99,-345322.51,-58925.68,-223099.12,-48024.33
347780.634,-377298.69,-392640.21,-59949.74,-229123.91,-48447.19
347780.638,-357379.91,-329751.96,-60532.48,-218828.85,-48605.92
347780.642,-321370.45,-204018.81,-60714.59,-201368.21,-48873.05
347780.646,-321051.97,-193529.68,-59355.93,-202050.42,-48333.46
347780.65,-365357.87,-344945.33,-58907.85,-223273.97,-47990.28
347780.654,-377455.95,-392490.86,-59942.3,-229408.24,-48418.48
347780.658,-357425.4,-330315.3,-60505.97,-219042.57,-48638.3
347780.662,-321050.3,-206004.45,-60700.33,-201423.62,-48920.11
347780.666,-320571.27,-195496.39,-59368.95,-201998.93,-48407.75
347780.67,-365388.72,-345339.29,-58936.17,-223369.72,-48068.34
347780.674,-377764.94,-392454.24,-59982.55,-229577.85,-48474.27
347780.678,-357640.74,-331139.65,-60546.07,-219151.0,-48584.13
347780.682,-320974.63,-208914.73,-60707.43,-201371.26,-48869.19
347780.686,-320327.8,-198398.42,-59386.31,-201855.02,-48384.1
347780.69,-365471.22,-345835.39,-58948.86,-223326.57,-48027.09
347780.694,-378066.39,-392313.15,-59975.68,-229582.38,-48450.43
347780.698,-357938.81,-332263.13,-60548.12,-219097.26,-48594.05
347780.702,-321042.77,-212259.65,-60695.18,-201180.77,-48847.78
347780.706,-320132.53,-201423.76,-59368.67,-201528.95,-48349.34
347780.71,-365472.31,-345880.36,-58924.63,-223089.67,-48044.02
347780.714,-378349.3,-392042.02,-59993.13,-229445.06,-48490.01
347780.718,-358198.64,-333501.52,-60564.24,-218931.41,-48597.44
347780.722,-321148.48,-216476.28,-60713.11,-200949.65,-48814.16
347780.726,-320061.2,-205967.5,-59397.56,-201255.97,-48368.65
347780.73,-365575.12,-347325.8,-58968.69,-222915.15,-48111.49
347780.734,-378601.93,-392232.42,-59980.11,-229383.21,-48499.26
347780.738,-358402.63,-334863.75,-60526.19,-218909.34,-48596.72
347780.742,-321171.66,-220664.0,-60675.91,-200952.12,-48854.21
347780.7459,-319863.12,-210382.77,-59382.97,-201230.98,-48413.04
347780.7499,-365609.16,-348600.57,-58979.18,-223001.46,-48121.51
347780.7539,-378836.68,-392451.71,-59978.92,-229573.66,-48479.42
347780.7579,-358633.61,-336314.81,-60515.12,-219142.7,-48586.28
347780.7619,-321164.5,-224647.17,-60657.94,-201144.67,-48839.19
347780.7659,-319570.58,-214053.13,-59386.26,-201348.52,-48434.6
347780.7699,-365500.06,-348946.8,-58984.57,-223119.38,-48179.73
347780.7739,-379005.0,-392035.15,-59988.93,-229751.09,-48515.23
347780.7779,-358817.95,-337371.39,-60520.66,-219297.29,-48567.59
347780.7819,-321037.43,-228093.94,-60655.41,-201203.94,-48823.7
347780.7859,-319039.86,-217055.3,-59387.69,-201217.15,-48430.31
347780.7899,-365289.49,-349169.73,-58977.42,-222972.13,-48165.85
347780.7939,-379018.73,-391485.83,-59995.42,-229595.55,-48500.59
347780.7979,-358711.76,-337747.33,-60547.88,-219080.33,-48526.82
347780.8019,-320618.05,-230633.95,-60672.2,-200884.51,-48740.15
347780.8059,-318408.38,-219631.84,-59397.32,-200805.97,-48390.3
347780.8099,-364923.9,-349130.53,-58995.06,-222581.79,-48157.41
347780.8139,-378954.65,-390901.52,-59985.5,-229319.08,-48493.82
347780.8179,-358575.24,-338005.77,-60490.42,-218804.0,-48553.76
347780.8219,-320295.99,-232816.2,-60644.44,-200608.04,-48766.86
347780.8259,-317937.08,-221879.89,-59403.14,-200510.0,-48400.17
347780.8299,-364737.17,-349335.57,-59005.32,-222407.32,-48177.39
347780.8339,-378938.82,-390410.28,-59986.79,-229235.25,-48518.38
347780.8379,-358554.36,-338227.84,-60515.6,-218777.73,-48543.84
347780.8419,-320119.61,-234477.36,-60674.58,-200575.52,-48738.63
347780.8459,-317575.78,-223357.99,-59434.56,-200452.97,-48401.7
347780.8499,-364656.44,-349497.41,-59022.24,-222443.7,-48227.98
347780.8539,-379155.63,-390567.02,-59999.0,-229384.88,-48566.78
347780.8579,-358749.38,-338883.49,-60516.27,-218931.37,-48541.93
347780.8619,-320057.72,-235512.81,-60661.7,-200677.42,-48721.27
347780.8659,-317247.95,-223723.77,-59420.93,-200466.66,-48381.19
347780.8699,-364568.04,-349249.5,-59009.56,-222545.36,-48192.17
347780.8738,-379332.4,-390688.61,-59977.35,-229588.58,-48528.53
