TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
347779.7276,38.857,-412.848,931.592,-2423.75,4716.25,-1225.0,142.88,33.44,-381.52
347779.7776,27.084,-410.896,925.492,-1006.25,2625.0,-2948.75,130.72,31.92,-393.68
347779.8276,67.283,-403.454,934.581,271.25,1960.0,-1146.25,135.28,44.08,-399.76
347779.8776,54.9,-407.48,931.226,-1321.25,4602.5,-1303.75,136.8,33.44,-380.0
347779.9276,52.643,-425.292,927.505,936.25,2922.5,-691.25,124.64,28.88,-383.04
347779.9776,52.704,-419.253,924.272,1855.0,4383.75,-1400.0,121.6,18.24,-393.68
347780.0276,30.134,-363.56,926.285,3858.75,9686.25,-12241.25,135.28,33.44,-390.64
347780.0776,-27.267,-366.488,938.424,1951.25,4252.5,-17307.5,141.36,27.36,-390.64
347780.1276,29.707,-360.876,948.977,-3876.25,1540.0,-11348.75,121.6,27.36,-387.6
347780.1776,72.529,-426.146,918.904,-1496.25,-2091.25,-2843.75,133.76,33.44,-390.64
347780.2276,109.129,-417.24,926.834,857.5,-1671.25,-96.25,129.2,28.88,-376.96
347780.2776,67.832,-413.58,924.577,1076.25,1330.0,2668.75,121.6,31.92,-376.96
347780.3276,62.647,-406.321,926.163,3771.25,4523.75,560.0,120.08,31.92,-387.6
347780.3776,-16.409,-368.379,923.296,3395.0,-2555.0,-2563.75,118.56,19.76,-395.2
347780.4276,83.753,-356.057,942.633,-2537.5,-6168.75,-1522.5,127.68,25.84,-386.08
347780.4776,108.519,-394.487,934.154,-3736.25,-2738.75,113.75,123.12,28.88,-387.6
347780.5276,77.592,-402.417,919.209,183.75,-1198.75,1382.5,129.2,30.4,-393.68
347780.5776,91.988,-388.143,907.131,1225.0,-1330.0,472.5,127.68,25.84,-381.52
347780.6276,97.905,-392.413,915.61,-1890.0,-2633.75,1120.0,110.96,18.24,-369.36
347780.6776,70.089,-424.255,920.368,-5652.5,4200.0,-350.0,110.96,31.92,-384.56
347780.7276,47.275,-449.509,936.594,761.25,-551.25,-3797.5,110.96,27.36,-384.56
347780.7776,58.682,-416.935,946.964,927.5,1120.0,-6623.75,120.08,34.96,-375.44
347780.8276,64.355,-401.685,943.121,227.5,-1776.25,-4077.5,114.0,31.92,-373.92
347780.8776,98.82,-412.177,923.052,-1933.75,-1531.25,1268.75,117.04,33.44,-387.6
347780.9276,122.793,-398.025,930.006,-1566.25,-542.5,-183.75,114.0,27.36,-372.4
347780.9776,111.569,-387.716,917.562,-2003.75,1925.0,-1426.25,94.24,28.88,-355.68
347781.0276,113.582,-397.11,910.486,-5083.75,2415.0,-3657.5,117.04,25.84,-373.92
347781.0776,118.462,-413.885,913.719,-4707.5,2178.75,-3036.25,123.12,33.44,-370.88
347781.1276,104.188,-426.634,922.747,-5661.25,4033.75,-2581.25,112.48,34.96,-367.84
347781.1776,106.628,-439.81,914.207,-3412.5,3001.25,-1706.25,103.36,39.52,-361.76
347781.2276,114.863,-442.372,916.159,-1793.75,2887.5,-490.0,101.84,39.52,-366.32
347781.2777,104.127,-432.368,915.366,411.25,4375.0,-148.75,107.92,31.92,-378.48
347781.3276,95.77,-419.192,911.279,472.5,3517.5,-673.75,115.52,41.04,-357.2
347781.3777,98.881,-415.776,917.501,-1085.0,3412.5,-122.5,110.96,27.36,-364.8
347781.4276,102.968,-429.074,915.366,-1260.0,2695.0,-770.0,106.4,25.84,-381.52
347781.4776,106.262,-426.573,912.56,-1137.5,3421.25,-1050.0,118.56,38.0,-355.68
347781.5276,97.478,-429.562,912.438,-131.25,3115.0,-1470.0,107.92,47.12,-372.4
347781.5776,98.82,-421.388,913.353,-997.5,3368.75,-1855.0,100.32,30.4,-383.04
347781.6276,101.138,-430.355,912.682,78.75,2467.5,-1225.0,112.48,31.92,-384.56
347781.6776,105.469,-416.203,916.342,1032.5,3167.5,-1181.25,98.8,28.88,-370.88
347781.7276,94.916,-422.425,915.976,-315.0,3508.75,-883.75,104.88,36.48,-373.92
347781.7776,99.674,-420.107,910.059,-1846.25,2502.5,-271.25,117.04,44.08,-378.48
347781.8276,99.552,-424.804,912.438,-1741.25,1916.25,-647.5,107.92,30.4,-380.0
347781.8776,99.552,-428.403,917.745,-2397.5,2808.75,-875.0,112.48,24.32,-367.84
347781.9276,99.369,-444.568,914.939,-1618.75,2345.0,-236.25,109.44,28.88,-364.8
347781.9776,99.491,-426.695,907.985,-586.25,2213.75,-778.75,118.56,36.48,-381.52
347782.0276,106.445,-434.015,912.56,621.25,2126.25,-1855.0,114.0,24.32,-370.88
347782.0776,110.288,-426.634,905.24,-595.0,2117.5,-770.0,101.84,33.44,-363.28
347782.1276,111.691,-419.192,913.719,-918.75,3123.75,-2502.5,104.88,34.96,-363.28
347782.1776,105.774,-435.723,914.024,-2712.5,3351.25,-2100.0,98.8,36.48,-357.2
347782.2276,106.445,-446.093,906.826,148.75,2651.25,-2651.25,103.36,38.0,-363.28
347782.2776,101.809,-424.499,910.181,682.5,2563.75,-1977.5,101.84,30.4,-354.16
347782.3276,107.726,-422.913,908.717,-1286.25,2117.5,-376.25,101.84,36.48,-358.72
347782.3776,110.532,-437.431,907.619,-901.25,2817.5,-96.25,118.56,34.96,-372.4
347782.4276,114.07,-437.004,907.314,892.5,3228.75,-1251.25,106.4,24.32,-346.56
347782.4776,101.382,-441.945,913.048,-463.75,3727.5,-1137.5,92.72,31.92,-364.8
347782.5276,104.371,-432.551,910.547,638.75,2791.25,-1111.25,106.4,38.0,-373.92
347782.5776,106.262,-439.749,907.558,-131.25,2546.25,-656.25,101.84,33.44,-369.36
347782.6276,114.375,-433.344,910.12,533.75,3683.75,-1776.25,92.72,27.36,-367.84
347782.6776,102.297,-428.403,914.451,-752.5,3115.0,-1592.5,101.84,38.0,-358.72
347782.7276,105.713,-441.579,906.399,-866.25,3228.75,-1321.25,110.96,25.84,-364.8
347782.7776,127.063,-445.117,903.349,2371.25,3710.0,962.5,115.52,41.04,-363.28
347782.8276,113.643,-419.497,909.754,2642.5,6063.75,2380.0,124.64,36.48,-352.64
347782.8776,94.977,-432.185,911.096,306.25,3465.0,-612.5,109.44,36.48,-375.44
347782.9276,98.942,-423.95,912.682,43.75,3430.0,-2056.25,107.92,36.48,-360.24
347782.9776,100.65,-437.797,908.961,-2257.5,2546.25,-1268.75,100.32,33.44,-373.92
347783.0276,111.874,-438.102,909.815,-96.25,3080.0,-1277.5,86.64,33.44,-366.32
347783.0776,99.003,-441.884,909.083,-1531.25,3718.75,-1058.75,114.0,36.48,-361.76
347783.1276,104.432,-436.15,906.826,-2003.75,3447.5,-1242.5,114.0,34.96,-364.8
347783.1776,100.589,-442.616,911.645,218.75,2870.0,-595.0,107.92,39.52,-363.28
347783.2276,102.236,-434.686,910.486,-2108.75,4305.0,-1496.25,98.8,38.0,-361.76
347783.2776,97.722,-446.398,912.438,-621.25,3570.0,-1540.0,109.44,28.88,-364.8
347783.3276,101.992,-434.015,906.46,-481.25,2782.5,-367.5,110.96,41.04,-366.32
347783.3776,104.371,-436.272,903.776,-210.0,2695.0,-122.5,106.4,39.52,-367.84
347783.4276,101.992,-429.867,905.423,-131.25,2178.75,568.75,110.96,41.04,-361.76
347783.4776,104.188,-440.054,910.608,-2187.5,3237.5,-1303.75,117.04,22.8,-369.36
347783.5276,108.153,-447.374,901.092,-892.5,2966.25,-1067.5,106.4,36.48,-366.32
347783.5776,100.284,-447.923,905.301,-682.5,3701.25,-743.75,106.4,42.56,-370.88
347783.6276,102.602,-440.847,906.277,-595.0,3430.0,-1408.75,123.12,30.4,-355.68
347783.6776,97.173,-445.178,902.434,-743.75,3062.5,-1452.5,106.4,39.52,-357.2
347783.7276,97.844,-443.287,908.229,-936.25,3088.75,-1163.75,104.88,42.56,-355.68
347783.7776,101.321,-449.997,906.643,-770.0,2021.25,-735.0,115.52,47.12,-369.36
347783.8276,102.297,-439.688,904.935,-752.5,1758.75,533.75,91.2,39.52,-363.28
347783.8776,105.469,-448.96,903.654,332.5,1636.25,647.5,109.44,39.52,-360.24
347783.9276,111.63,-443.409,902.007,35.0,2476.25,-595.0,107.92,48.64,-376.96
347783.9776,108.641,-451.827,903.288,70.0,3088.75,-918.75,103.36,33.44,-366.32
347784.0276,103.822,-446.093,902.007,218.75,3123.75,-402.5,107.92,41.04,-357.2
347784.0776,100.772,-443.775,905.057,306.25,2345.0,-665.0,101.84,45.6,-370.88
347784.1276,105.591,-450.79,903.776,778.75,2948.75,-428.75,101.84,36.48,-375.44
347784.1776,106.628,-434.564,903.776,778.75,2800.0,-805.0,112.48,36.48,-360.24
347784.2278,100.345,-434.198,906.948,-586.25,1601.25,-166.25,103.36,42.56,-351.12
347784.2776,100.162,-440.237,909.876,-1916.25,1470.0,350.0,120.08,42.56,-361.76
347784.3277,117.425,-450.973,903.105,-420.0,665.0,-166.25,110.96,25.84,-348.08
347784.3776,119.316,-446.398,900.116,183.75,2493.75,-166.25,101.84,42.56,-351.12
347784.4276,108.092,-441.457,899.384,-26.25,3605.0,131.25,112.48,31.92,-357.2
347784.4776,99.674,-452.986,900.97,-140.0,2388.75,-1750.0,97.28,39.52,-349.6
347784.5276,113.46,-449.204,902.19,70.0,3132.5,-1391.25,104.88,41.04,-346.56
347784.5776,108.519,-446.764,905.362,-498.75,3237.5,-323.75,114.0,41.04,-360.24
347784.6276,105.347,-454.389,903.532,236.25,3438.75,-1225.0,107.92,45.6,-358.72
347784.6776,104.493,-437.736,904.386,131.25,3508.75,-936.25,104.88,36.48,-352.64
347784.7276,104.92,-444.69,903.227,-341.25,2406.25,-1163.75,103.36,36.48,-361.76
347784.7776,111.203,-448.167,904.813,-306.25,2738.75,-551.25,109.44,27.36,-361.76
347784.8276,109.556,-450.485,901.946,-192.5,2826.25,-306.25,112.48,34.96,-352.64
347784.8776,109.251,-445.422,900.177,306.25,2966.25,-778.75,106.4,38.0,-355.68
347784.9276,103.09,-442.738,904.02,52.5,3141.25,-1198.75,114.0,39.52,-372.4
347784.9776,103.395,-450.546,901.397,-717.5,2625.0,-1093.75,104.88,38.0,-351.12
347785.0276,111.508,-446.215,901.336,-236.25,2677.5,-87.5,104.88,45.6,-360.24
347785.0776,117.669,-445.605,904.386,-271.25,3430.0,-1522.5,106.4,34.96,-357.2
347785.1276,103.151,-448.594,908.595,-962.5,3430.0,-2100.0,106.4,39.52,-358.72
347785.1776,109.983,-447.374,900.787,-1260.0,3123.75,-638.75,109.44,30.4,-355.68
347785.2276,107.665,-447.191,902.251,-323.75,2520.0,0.0,121.6,38.0,-363.28
347785.2776,108.885,-447.191,901.153,-367.5,2563.75,-166.25,103.36,41.04,-358.72
347785.3276,108.031,-456.89,899.079,-472.5,2441.25,-665.0,106.4,42.56,-357.2
347785.3776,117.364,-447.679,901.946,253.75,3508.75,-35.0,115.52,39.52,-354.16
347785.4276,101.992,-455.304,905.118,52.5,2388.75,-1216.25,85.12,36.48,-360.24
347785.4776,109.861,-458.354,899.506,350.0,3438.75,-472.5,104.88,39.52,-366.32
347785.5276,103.029,-448.655,901.092,910.0,2887.5,-665.0,109.44,36.48,-367.84
347785.5776,110.654,-446.276,900.604,43.75,2948.75,-1190.0,114.0,28.88,-360.24
347785.6276,109.678,-450.119,899.933,-638.75,3325.0,-612.5,103.36,45.6,-364.8
347785.6776,110.227,-446.276,901.458,-166.25,2721.25,-665.0,109.44,53.2,-343.52
347785.7276,108.702,-452.193,899.262,-630.0,3027.5,-175.0,106.4,36.48,-354.16
347785.7776,108.58,-452.62,906.521,-332.5,2940.0,-490.0,92.72,39.52,-360.24
347785.8276,108.824,-453.657,897.31,-297.5,2642.5,-1128.75,115.52,41.04,-360.24
347785.8776,115.717,-449.753,897.554,-638.75,3412.5,-840.0,123.12,33.44,-355.68
