TimeStamp,ch1,ch2,ch3,ch5,ch6
347664.7276,-367860.31,-382345.91,-62330.59,-308994.52,-43143.61
347664.7316,-358920.62,-350548.36,-62183.77,-312880.41,-46574.6
347664.7356,-348314.66,-308000.94,-62297.54,-335604.09,-50855.74
347664.7396,-351668.11,-312884.7,-62299.12,-352323.1,-50081.83
347664.7436,-369177.72,-378282.4,-62354.62,-331168.88,-43832.4
347664.7476,-368218.66,-382402.08,-62325.91,-308142.65,-43064.41
347664.7516,-359586.09,-351236.34,-62192.3,-312362.09,-46525.01
347664.7556,-349234.0,-309319.58,-62323.05,-335407.92,-50889.59
347664.7596,-352418.32,-313674.63,-62330.92,-352098.55,-50139.67
347664.7636,-369794.56,-378470.28,-62372.07,-330835.95,-43876.94
347664.7676,-368948.55,-382832.67,-62322.81,-307802.05,-43119.48
347664.7716,-360408.4,-352107.85,-62185.15,-312043.8,-46590.91
347664.7756,-350070.85,-310817.23,-62316.19,-334991.83,-50856.88
347664.7796,-353209.44,-315198.89,-62325.49,-351778.93,-50084.69
347664.7836,-370522.5,-378991.79,-62365.35,-330699.01,-43835.12
347664.7876,-369610.88,-382896.18,-62333.07,-307573.78,-43063.6
347664.7916,-360933.63,-352220.39,-62192.73,-311562.19,-46515.9
347664.7956,-350599.62,-311807.91,-62314.61,-334337.99,-50802.48
347664.7996,-353672.12,-316185.32,-62325.34,-351243.87,-50096.47
347664.8036,-371090.31,-379219.15,-62364.54,-330485.24,-43878.75
347664.8076,-370252.18,-383195.64,-62346.85,-307330.36,-43093.21
347664.8116,-361437.89,-352829.98,-62199.41,-311020.22,-46499.59
347664.8156,-350897.4,-312773.46,-62332.83,-333524.08,-50743.87
347664.8196,-353963.37,-317155.59,-62339.5,-350753.59,-50092.04
347664.8236,-371555.66,-379336.02,-62369.31,-330550.04,-43927.77
347664.8276,-370672.6,-383137.08,-62339.74,-307253.3,-43070.61
347664.8316,-361407.37,-352479.07,-62196.98,-310249.08,-46426.59
347664.8356,-350666.8,-313172.47,-62278.33,-332410.76,-50701.29
347664.8396,-354101.27,-318745.75,-62290.2,-350365.87,-50160.18
347664.8436,-372150.42,-380492.3,-62364.63,-331007.52,-44034.06
347664.8476,-370979.16,-383189.63,-62354.38,-307392.59,-43072.42
347664.8516,-361100.57,-351886.51,-62214.1,-309605.73,-46328.74
347664.8555,-349821.18,-312722.0,-62289.39,-331032.32,-50535.26
347664.8595,-353389.21,-318908.2,-62275.18,-349345.44,-50151.78
347664.8635,-372231.48,-380766.87,-62372.83,-331302.21,-44169.53
347664.8675,-371310.99,-383776.52,-62377.98,-308037.51,-43131.12
347664.8715,-361081.02,-352757.16,-62216.48,-309761.51,-46289.45
347664.8755,-349517.34,-314542.57,-62277.85,-330905.52,-50524.81
347664.8795,-352944.94,-320408.72,-62288.05,-349371.62,-50183.4
347664.8835,-372051.86,-380645.32,-62383.71,-331739.42,-44254.12
347664.8875,-371237.7,-383657.98,-62387.76,-308552.87,-43216.42
347664.8915,-360895.63,-353590.63,-62238.32,-310099.4,-46341.19
347664.8955,-349052.33,-316358.65,-62316.47,-331011.29,-50512.13
347664.8995,-352313.7,-321868.12,-62319.05,-349479.1,-50180.82
347664.9035,-371696.95,-380627.39,-62406.98,-332008.69,-44239.38
347664.9075,-371049.78,-383666.27,-62408.74,-308898.68,-43171.17
347664.9115,-360597.94,-354240.17,-62243.04,-310457.27,-46291.26
347664.9155,-348589.65,-317948.95,-62287.53,-331372.35,-50484.19
347664.9195,-351794.62,-323243.51,-62295.54,-349947.78,-50196.84
347664.9235,-371546.31,-380799.2,-62370.36,-332785.98,-44300.04
347664.9275,-371105.43,-383973.6,-62373.88,-309878.77,-43247.66
347664.9315,-360697.65,-355434.17,-62222.35,-311574.93,-46367.56
347664.9355,-348645.11,-320215.31,-62294.35,-332442.18,-50506.41
347664.9395,-351827.85,-325324.96,-62305.27,-351063.34,-50242.38
347664.9435,-371833.37,-381619.93,-62417.8,-334266.27,-44407.33
347664.9475,-371391.2,-384357.12,-62428.72,-311360.35,-43285.61
347664.9515,-360563.42,-355523.68,-62267.31,-312450.68,-46301.7
347664.9555,-347983.16,-319995.63,-62322.43,-332393.07,-50361.5
347664.9595,-350823.78,-324178.35,-62320.62,-350538.2,-50114.59
347664.9635,-371219.97,-380131.0,-62407.6,-334193.98,-44404.56
347664.9675,-371121.74,-383630.85,-62407.17,-311464.73,-43322.9
347664.9715,-360214.56,-355077.17,-62255.34,-312279.93,-46313.86
347664.9755,-347427.46,-319450.51,-62318.9,-331902.64,-50348.57
347664.9795,-350188.73,-323133.17,-62310.75,-350106.61,-50149.49
347664.9834,-370787.47,-378790.09,-62402.49,-334134.33,-44423.06
347664.9874,-370922.04,-382869.1,-62417.94,-311470.97,-43270.78
347664.9914,-360034.32,-354595.51,-62271.46,-312124.72,-46232.18
347664.9954,-347334.62,-319221.11,-62327.92,-331626.36,-50314.24
347664.9994,-350183.39,-322874.25,-62312.28,-349912.92,-50166.66
347665.0034,-370668.26,-378036.35,-62399.35,-333932.87,-44426.26
347665.0074,-370658.39,-381841.9,-62414.7,-311044.44,-43218.9
347665.0114,-359895.94,-353773.4,-62247.9,-311703.05,-46188.12
347665.0154,-347511.33,-318863.86,-62303.46,-331365.67,-50277.76
347665.0194,-350471.35,-322615.76,-62300.07,-349804.4,-50159.98
347665.0234,-370652.77,-377379.27,-62402.35,-333694.35,-44397.31
347665.0274,-370617.24,-381308.65,-62420.09,-310633.6,-43190.06
347665.0314,-360072.8,-353595.16,-62250.19,-311325.97,-46193.89
347665.0354,-347946.49,-318774.36,-62312.32,-331121.2,-50268.08
347665.0394,-350821.78,-322057.24,-62318.67,-349633.69,-50161.56
347665.0434,-370758.2,-376788.76,-62413.65,-333529.23,-44425.25
347665.0474,-370755.34,-381010.34,-62426.48,-310413.92,-43213.47
347665.0514,-360370.39,-353407.57,-62270.41,-311050.02,-46201.14
347665.0554,-348261.83,-317995.82,-62337.79,-330671.06,-50270.18
347665.0594,-351094.81,-320965.57,-62324.34,-349248.02,-50205.86
347665.0634,-371126.12,-376874.73,-62413.89,-333469.38,-44530.73
347665.0674,-371229.31,-381554.12,-62450.13,-310431.47,-43306.31
347665.0714,-360730.55,-353186.98,-62313.71,-310877.41,-46245.63
347665.0754,-348566.53,-316698.3,-62351.23,-330324.26,-50303.66
347665.0794,-351301.04,-319254.29,-62307.41,-348943.66,-50221.35
347665.0834,-371363.64,-376599.69,-62408.55,-333390.56,-44497.54
347665.0874,-371538.4,-381812.67,-62437.11,-310373.34,-43223.58
347665.0914,-361109.68,-353027.96,-62270.6,-310802.21,-46142.97
347665.0954,-349084.61,-315912.33,-62326.3,-330289.16,-50197.7
347665.0994,-351762.96,-318192.19,-62314.37,-349012.37,-50184.59
347665.1034,-371591.47,-376481.48,-62398.39,-333460.37,-44482.43
347665.1074,-371737.38,-381945.56,-62433.92,-310438.67,-43216.81
347665.1114,-361378.43,-352746.15,-62286.0,-310936.58,-46161.99
347665.1154,-349479.76,-314972.39,-62341.7,-330509.08,-50227.98
347665.1194,-352020.59,-316898.38,-62309.32,-349246.02,-50210.39
347665.1234,-371775.86,-376699.83,-62397.39,-333748.14,-44521.53
347665.1274,-371993.59,-382849.17,-62433.68,-310740.03,-43257.67
347665.1314,-361549.04,-352838.03,-62285.96,-311150.64,-46188.55
