TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
347664.7776,126.88,-348.31,957.212,2170.0,1137.5,1636.25,98.8,16.72,-399.76
347664.8277,127.307,-325.13,947.208,2730.0,3990.0,805.0,101.84,13.68,-399.76
347664.8776,105.469,-305.061,954.65,3193.75,5180.0,-3456.25,95.76,13.68,-378.48
347664.9276,89.975,-292.251,957.395,-2178.75,3885.0,-2511.25,100.32,4.56,-395.2
347664.9776,96.502,-337.025,960.445,-3526.25,1741.25,-1776.25,94.24,3.04,-395.2
347665.0276,111.996,-359.534,952.149,-1855.0,498.75,-2187.5,98.8,15.2,-407.36
347665.0776,130.601,-342.271,949.465,1347.5,551.25,-3360.0,100.32,15.2,-389.12
347665.1276,139.385,-326.96,955.992,3141.25,2695.0,-3762.5,98.8,16.72,-380.0
347665.1776,118.95,-312.869,949.038,3158.75,3351.25,-3570.0,98.8,10.64,-402.8
347665.2276,126.575,-308.477,950.746,1820.0,3167.5,-3552.5,107.92,-4.56,-411.92
347665.2776,116.876,-302.255,950.746,735.0,4471.25,-4926.25,97.28,4.56,-395.2
347665.3276,108.946,-320.555,963.739,-3158.75,2870.0,-3570.0,98.8,4.56,-381.52
347665.3776,129.808,-340.563,965.203,1662.5,1408.75,-1513.75,77.52,4.56,-399.76
347665.4276,128.344,-321.836,963.373,3675.0,3097.5,367.5,88.16,3.04,-407.36
347665.4776,130.357,-304.634,944.402,3228.75,2677.5,-805.0,98.8,3.04,-393.68
347665.5276,129.747,-295.789,938.363,1601.25,3018.75,-1023.75,101.84,10.64,-395.2
347665.5776,134.566,-292.373,944.829,-1426.25,3421.25,148.75,74.48,3.04,-398.24
347665.6276,140.544,-294.935,948.916,-9686.25,5433.75,1715.0,101.84,15.2,-402.8
347665.6776,101.504,-389.79,969.717,271.25,4891.25,393.75,98.8,0.0,-396.72
347665.7276,109.556,-329.766,975.573,3876.25,6650.0,-2887.5,100.32,-4.56,-398.24
347665.7776,103.029,-317.078,970.632,1802.5,5407.5,-3342.5,100.32,13.68,-402.8
347665.8276,108.458,-317.261,961.604,2878.75,2852.5,-3246.25,106.4,3.04,-387.6
347665.8776,117.547,-297.558,961.726,1811.25,3421.25,-2065.0,103.36,6.08,-389.12
347665.9276,110.166,-315.126,952.637,455.0,1846.25,682.5,86.64,4.56,-390.64
347665.9776,122.0,-296.277,960.75,1128.75,2362.5,420.0,92.72,15.2,-399.76
347666.0276,113.155,-317.017,956.175,-752.5,2485.0,656.25,110.96,15.2,-404.32
347666.0776,121.756,-303.475,960.689,2222.5,2047.5,-1172.5,103.36,3.04,-386.08
347666.1276,122.427,-301.279,955.809,936.25,2362.5,-341.25,86.64,7.6,-407.36
347666.1776,110.715,-303.109,968.131,437.5,4453.75,-1015.0,95.76,4.56,-408.88
347666.2276,114.802,-307.135,956.602,-560.0,2896.25,-945.0,94.24,0.0,-392.16
347666.2776,111.325,-299.876,964.044,-656.25,3377.5,-1592.5,103.36,-3.04,-396.72
347666.3276,111.63,-328.729,963.922,-455.0,3036.25,-752.5,95.76,9.12,-402.8
347666.3776,111.447,-310.429,959.896,-376.25,2485.0,218.75,94.24,-15.2,-405.84
347666.4276,115.107,-324.459,960.14,577.5,3158.75,-1365.0,103.36,1.52,-396.72
347666.4776,114.741,-311.405,963.922,822.5,2336.25,-2205.0,100.32,-3.04,-396.72
347666.5276,116.266,-317.261,956.541,1128.75,2152.5,-2896.25,100.32,4.56,-402.8
347666.5776,112.301,-316.773,956.419,2178.75,1356.25,-5188.75,92.72,-4.56,-407.36
347666.6276,117.303,-321.409,955.443,4865.0,1968.75,-7752.5,103.36,0.0,-407.36
347666.6776,116.571,-289.384,964.959,5355.0,-96.25,-8662.5,92.72,-3.04,-404.32
347666.7276,134.2,-278.587,967.155,2327.5,-175.0,-5425.0,86.64,-7.6,-413.44
347666.7776,141.825,-285.907,961.238,560.0,2353.75,1321.25,91.2,-7.6,-401.28
347666.8276,129.808,-290.909,955.138,-691.25,3438.75,2887.5,95.76,-4.56,-392.16
347666.8776,131.455,-304.939,967.826,1050.0,2975.0,70.0,94.24,13.68,-392.16
347666.9276,124.44,-295.728,958.676,-227.5,3815.0,-1085.0,94.24,-10.64,-402.8
347666.9776,125.111,-299.266,967.155,953.75,3692.5,-1496.25,98.8,-21.28,-392.16
347667.0276,126.453,-288.408,958.188,-726.25,2616.25,-271.25,88.16,-9.12,-399.76
347667.0776,124.379,-291.641,960.75,770.0,3640.0,-1050.0,89.68,-3.04,-411.92
347667.1276,128.344,-282.308,956.175,-752.5,3237.5,-542.5,101.84,-4.56,-387.6
347667.1776,118.279,-294.691,972.035,673.75,2625.0,-822.5,100.32,-16.72,-393.68
347667.2276,119.194,-306.83,963.19,-2047.5,2660.0,-1680.0,91.2,-13.68,-404.32
347667.2776,128.466,-303.841,972.279,2205.0,787.5,-11900.0,89.68,-6.08,-407.36
347667.3276,142.069,-274.317,956.541,1015.0,6072.5,1435.0,100.32,-19.76,-401.28
347667.3776,113.094,-269.193,965.447,-61.25,3902.5,3482.5,79.04,1.52,-392.16
347667.4276,129.564,-298.412,958.92,-813.75,2791.25,2021.25,85.12,-13.68,-402.8
347667.4776,126.27,-295.118,965.508,-1680.0,3272.5,-61.25,86.64,-6.08,-404.32
347667.5276,124.196,-307.318,966.667,183.75,3228.75,-700.0,109.44,-6.08,-398.24
347667.5776,123.159,-295.24,969.839,1680.0,2345.0,17.5,97.28,-7.6,-410.4
347667.6276,131.394,-284.138,963.251,787.5,2511.25,612.5,89.68,-9.12,-383.04
347667.6778,126.636,-292.312,968.314,-332.5,4497.5,-752.5,94.24,-7.6,-401.28
347667.7276,116.632,-294.081,963.8,-192.5,3631.25,-1662.5,97.28,-9.12,-395.2
347667.7777,119.682,-292.678,964.227,-560.0,2275.0,-848.75,80.56,-18.24,-405.84
347667.8276,134.017,-295.606,960.689,-131.25,2240.0,-1137.5,95.76,-9.12,-407.36
347667.8776,118.706,-301.584,968.314,1697.5,3876.25,787.5,101.84,-6.08,-386.08
347667.9276,134.688,-283.528,964.105,2170.0,3001.25,-2861.25,103.36,0.0,-393.68
347667.9776,131.211,-273.829,968.375,-35.0,3631.25,-2318.75,94.24,-4.56,-407.36
347668.0276,119.621,-293.349,964.898,-805.0,3123.75,-455.0,85.12,-7.6,-399.76
347668.0776,125.477,-291.58,962.824,166.25,3106.25,-1452.5,104.88,0.0,-390.64
347668.1276,126.941,-289.201,963.19,560.0,3447.5,-945.0,95.76,6.08,-380.0
347668.1782,121.573,-282.369,968.07,78.75,2800.0,-2205.0,85.12,-10.64,-402.8
347668.2276,121.268,-297.924,962.58,-2082.5,2940.0,-4733.75,89.68,-7.6,-410.4
347668.2776,142.679,-296.094,961.482,875.0,2266.25,-5591.25,83.6,-3.04,-414.96
347668.3276,139.934,-294.874,963.373,1557.5,4156.25,-2450.0,94.24,-12.16,-408.88
347668.3776,125.477,-276.269,962.58,927.5,3780.0,-78.75,86.64,-13.68,-398.24
347668.4276,124.806,-288.164,961.787,1041.25,3753.75,612.5,94.24,-10.64,-408.88
347668.4776,129.076,-283.589,968.985,1041.25,4200.0,-315.0,91.2,-16.72,-402.8
347668.5276,113.338,-288.774,966.911,-577.5,3430.0,-516.25,82.08,-10.64,-413.44
347668.5776,117.669,-287.737,967.216,883.75,2721.25,-437.5,82.08,1.52,-399.76
347668.6276,127.063,-281.637,965.508,-227.5,2520.0,-603.75,89.68,-4.56,-401.28
347668.6776,116.998,-299.937,959.652,393.75,4165.0,-1058.75,107.92,-24.32,-401.28
347668.7276,118.462,-281.332,967.582,1995.0,2826.25,-2572.5,100.32,-12.16,-396.72
347668.7776,115.107,-291.031,970.205,-717.5,3316.25,-980.0,88.16,-9.12,-408.88
347668.8276,126.087,-287.31,971.913,577.5,2318.75,-656.25,82.08,-13.68,-404.32
347668.8776,127.917,-294.569,965.813,1347.5,2555.0,-603.75,101.84,-21.28,-402.8
347668.9276,120.353,-278.099,964.471,822.5,3526.25,-892.5,98.8,-22.8,-392.16
347668.9776,118.584,-276.696,964.654,533.75,2607.5,-761.25,83.6,-12.16,-416.48
347669.0276,116.998,-283.772,965.935,-358.75,2843.75,-227.5,83.6,-6.08,-422.56
347669.0776,125.66,-281.027,966.972,-708.75,2730.0,-962.5,101.84,-4.56,-395.2
347669.1276,127.49,-283.711,968.009,621.25,2730.0,-446.25,88.16,-22.8,-404.32
347669.1776,124.562,-282.918,968.924,-638.75,3246.25,227.5,92.72,-10.64,-418.0
347669.2276,120.414,-292.19,965.935,1146.25,2152.5,-735.0,91.2,-7.6,-407.36
347669.2776,125.172,-279.746,963.007,595.0,2808.75,665.0,95.76,-16.72,-399.76
347669.3276,134.932,-278.831,967.887,1898.75,3255.0,105.0,95.76,-16.72,-399.76
347669.3776,113.765,-285.175,968.131,-682.5,3797.5,192.5,92.72,-9.12,-399.76
347669.4276,115.473,-285.541,965.447,341.25,2782.5,-883.75,103.36,-18.24,-411.92
347669.4776,127.551,-289.201,964.471,26.25,2073.75,-1111.25,104.88,-19.76,-404.32
347669.5276,125.294,-277.367,965.02,446.25,3631.25,-988.75,89.68,-21.28,-399.76
347669.5776,126.27,-271.511,967.582,-525.0,2450.0,-288.75,92.72,-12.16,-405.84
347669.6276,117.547,-288.347,971.547,-341.25,2695.0,-586.25,95.76,-4.56,-404.32
347669.6776,126.392,-282.552,970.144,437.5,2520.0,-988.75,109.44,-12.16,-402.8
347669.7276,125.599,-287.676,964.044,-472.5,3018.75,-122.5,92.72,-13.68,-402.8
347669.7776,124.379,-277.916,963.251,542.5,2843.75,-385.0,91.2,-7.6,-404.32
347669.8276,125.172,-282.857,966.667,-603.75,2975.0,-542.5,97.28,-16.72,-408.88
347669.8776,126.026,-280.966,970.51,332.5,2773.75,-1190.0,83.6,-21.28,-395.2
347669.9276,119.987,-278.099,966.728,-752.5,3088.75,-253.75,100.32,-15.2,-401.28
347669.9776,123.769,-289.689,967.826,857.5,2625.0,-105.0,98.8,-3.04,-410.4
347670.0276,127.429,-280.478,970.144,-350.0,2677.5,-988.75,89.68,-16.72,-395.2
347670.0776,122.976,-289.445,965.081,612.5,2633.75,-953.75,94.24,-6.08,-404.32
347670.1276,128.466,-275.72,964.349,113.75,2642.5,-245.0,98.8,-10.64,-419.52
347670.1776,135.786,-274.317,969.778,323.75,4331.25,-1268.75,91.2,0.0,-410.4
347670.2276,118.035,-281.576,968.619,-1715.0,3045.0,-927.5,94.24,-13.68,-398.24
347670.2776,120.414,-290.36,969.046,525.0,2432.5,-306.25,89.68,-9.12,-407.36
347670.3276,125.66,-283.528,967.094,-70.0,2695.0,-402.5,89.68,-7.6,-418.0
347670.3776,119.804,-284.626,965.264,35.0,3228.75,-262.5,89.68,-7.6,-407.36
347670.4276,125.721,-280.234,963.068,463.75,2765.0,-297.5,94.24,-12.16,-396.72
347670.4776,118.096,-277.123,967.948,-603.75,2870.0,-770.0,86.64,-10.64,-398.24
