TimeStamp,ch1,ch2,ch3,ch5,ch6
348523.2568,-360473.1,-357708.07,-71966.56,-323774.81,-143965.12
348523.2608,-365954.06,-367646.36,-69252.55,-352040.67,-159437.01
348523.2648,-374561.07,-381462.09,-69925.6,-385767.84,-175916.5
348523.2688,-369939.85,-372519.25,-76097.21,-358918.8,-159737.65
348523.2728,-361083.74,-357809.01,-75395.31,-320884.7,-140445.06
348523.2768,-360504.24,-357787.22,-71990.02,-323813.76,-143978.95
348523.2808,-365838.05,-367477.99,-69307.24,-351659.24,-159251.38
348523.2848,-374272.77,-381033.7,-69979.01,-385059.74,-175586.77
348523.2888,-369907.47,-372540.14,-75997.22,-359075.88,-159797.54
348523.2928,-361598.2,-358625.98,-75313.39,-322298.28,-140996.85
348523.2968,-361127.99,-358718.25,-72013.2,-325424.09,-144530.17
348523.3008,-366021.53,-367720.31,-69487.77,-352139.66,-159255.71
348523.3048,-373834.65,-380379.34,-70099.46,-384188.94,-174999.93
348523.3088,-369636.48,-372163.1,-75931.89,-358800.17,-159523.7
348523.3128,-361738.06,-358832.69,-75221.36,-322914.11,-141098.95
348523.3168,-361341.33,-359010.45,-72008.52,-326143.88,-144624.63
348523.3208,-366110.89,-367834.28,-69499.88,-352548.21,-159183.0
348523.3248,-373958.78,-380556.91,-70071.75,-384742.35,-175046.56
348523.3288,-369775.1,-372357.84,-75906.48,-359496.21,-159692.07
348523.3328,-361800.09,-358866.64,-75226.75,-323299.64,-141119.35
348523.3368,-361340.04,-358935.02,-72000.13,-326286.21,-144531.31
348523.3408,-366134.73,-367804.0,-69459.73,-352670.57,-159093.97
348523.3448,-374447.49,-381250.62,-69890.03,-386043.17,-175564.41
348523.3488,-370335.91,-373114.96,-75971.9,-360946.6,-160344.76
348523.3528,-361420.1,-358207.89,-75483.86,-322347.06,-140688.01
348523.3568,-360579.82,-357732.1,-72082.86,-324283.59,-143724.46
348523.3608,-365719.7,-367144.01,-69383.3,-351435.99,-158684.56
348523.3648,-374502.42,-381321.76,-69804.3,-386003.87,-175688.57
348523.3688,-370473.38,-373287.25,-75952.73,-361268.9,-160622.52
348523.3728,-361510.46,-358254.05,-75524.29,-322462.07,-140827.53
348523.3768,-360581.97,-357652.99,-72140.03,-324096.81,-143701.19
348523.3808,-365524.57,-366807.65,-69449.96,-350672.19,-158398.5
348523.3847,-374311.35,-381056.69,-69759.57,-385427.52,-175497.84
348523.3887,-370601.56,-373499.77,-75868.04,-361693.28,-160878.68
348523.3927,-361770.86,-358650.77,-75504.55,-323210.61,-141176.24
348523.3967,-360650.3,-357757.94,-72210.61,-324244.2,-143745.39
348523.4007,-365301.6,-366492.32,-69519.58,-349977.63,-158059.9
348523.4047,-374105.07,-380796.1,-69720.9,-384886.17,-175260.99
348523.4087,-370756.67,-373816.49,-75761.33,-362293.95,-161176.03
348523.4127,-362057.35,-359153.41,-75511.89,-324002.83,-141488.62
348523.4167,-360642.81,-357832.57,-72288.66,-324210.83,-143635.15
348523.4207,-364817.38,-365859.89,-69671.45,-348677.25,-157387.23
348523.4247,-373426.29,-379885.05,-69734.3,-383262.78,-174441.88
