TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
348523.2776,49.349,154.757,1007.476,411.25,1548.75,-848.75,66.88,-221.92,-509.2
348523.3276,58.865,156.282,1001.681,-1408.75,2108.75,-1137.5,77.52,-224.96,-503.12
348523.3776,46.36,154.086,1005.036,-971.25,2397.5,2091.25,88.16,-212.8,-515.28
348523.4276,46.787,159.515,1003.328,-787.5,901.25,848.75,66.88,-217.36,-489.44
348523.4776,67.588,150.487,1000.583,-883.75,218.75,8.75,66.88,-215.84,-509.2
348523.5276,69.174,164.029,1004.487,-507.5,1330.0,148.75,63.84,-217.36,-509.2
348523.5776,70.089,161.406,999.302,-2012.5,1697.5,761.25,77.52,-226.48,-504.64
348523.6276,68.991,145.424,1000.156,-2747.5,3071.25,253.75,74.48,-217.36,-503.12
348523.6776,62.83,150.792,1002.535,-3255.0,3858.75,105.0,66.88,-206.72,-503.12
348523.7276,57.584,142.496,1000.583,-4672.5,3718.75,1435.0,76.0,-218.88,-504.64
348523.7776,57.279,129.015,1005.707,-5897.5,4112.5,1181.25,68.4,-211.28,-500.08
348523.8276,47.763,108.153,1009.733,-3543.75,2222.5,253.75,82.08,-208.24,-507.68
348523.8776,64.477,113.216,1007.171,-691.25,481.25,-1338.75,76.0,-206.72,-501.6
348523.9276,68.381,123.952,1006.622,481.25,700.0,-1846.25,69.92,-205.2,-497.04
348523.9776,71.919,135.542,1005.646,-1006.25,1443.75,-1715.0,68.4,-205.2,-512.24
348524.0276,73.505,131.272,1005.829,-2030.0,2747.5,-901.25,68.4,-206.72,-518.32
348524.0776,71.37,129.747,1006.561,-1286.25,2765.0,-560.0,82.08,-203.68,-510.72
348524.1276,68.686,110.227,1005.219,-700.0,2423.75,-1548.75,71.44,-205.2,-495.52
348524.1776,73.749,117.608,1006.073,1076.25,2275.0,-2765.0,62.32,-212.8,-507.68
348524.2276,66.124,121.573,1006.683,761.25,3858.75,-1111.25,74.48,-205.2,-504.64
348524.2776,55.937,130.235,1002.474,306.25,2292.5,-1111.25,72.96,-215.84,-487.92
348524.3276,63.135,129.503,1006.622,-875.0,1715.0,402.5,74.48,-211.28,-500.08
348524.3776,71.187,120.231,1004.609,402.5,1986.25,1207.5,65.36,-209.76,-509.2
348524.4276,95.892,130.052,1012.783,463.75,1610.0,1802.5,71.44,-196.08,-483.36
348524.4776,96.319,85.522,1006.012,-673.75,6991.25,4296.25,74.48,-211.28,-503.12
348524.5276,61.244,94.916,1008.086,4252.5,4908.75,-315.0,59.28,-202.16,-509.2
348524.5776,61.244,134.749,997.655,4812.5,4690.0,-2441.25,77.52,-203.68,-503.12
348524.6276,47.946,147.803,1005.158,1916.25,4025.0,-113.75,69.92,-203.68,-507.68
348524.6776,52.216,152.561,1005.219,1522.5,3438.75,306.25,62.32,-211.28,-509.2
348524.7276,51.667,149.389,1005.646,2021.25,927.5,-2283.75,77.52,-206.72,-512.24
348524.7776,72.346,149.816,1003.755,-52.5,962.5,-2117.5,71.44,-211.28,-503.12
348524.8276,59.963,138.47,1005.097,-78.75,1828.75,507.5,68.4,-215.84,-487.92
348524.8776,68.686,148.962,1005.036,-603.75,1916.25,3797.5,62.32,-215.84,-509.2
348524.9276,67.588,134.749,1003.694,1146.25,2292.5,4278.75,71.44,-208.24,-492.48
348524.9776,69.174,135.054,1008.818,892.5,2100.0,3456.25,69.92,-215.84,-492.48
348525.0276,77.897,128.527,1001.498,2205.0,2073.75,2240.0,62.32,-203.68,-509.2
348525.0776,78.629,144.326,998.814,1653.75,1365.0,-192.5,79.04,-206.72,-510.72
348525.1276,78.69,151.28,994.91,2030.0,787.5,-218.75,77.52,-212.8,-503.12
348525.1776,82.411,175.192,990.823,-1216.25,1592.5,-612.5,63.84,-223.44,-510.72
348525.2278,82.777,134.139,1010.282,-7087.5,2686.25,-647.5,48.64,-212.8,-504.64
348525.2776,75.457,101.809,1018.212,-2826.25,1601.25,-2266.25,69.92,-205.2,-509.2
348525.3277,88.267,114.436,1008.147,2327.5,1968.75,-2537.5,68.4,-209.76,-486.4
348525.3776,75.884,137.616,1000.583,2695.0,1618.75,-1592.5,59.28,-194.56,-503.12
348525.4278,82.899,143.411,1001.986,2047.5,2152.5,-1408.75,69.92,-211.28,-495.52
348525.4776,84.607,150.365,1001.864,3526.25,2152.5,-1846.25,68.4,-212.8,-503.12
348525.5276,86.498,158.417,1000.278,1286.25,3071.25,-2738.75,51.68,-209.76,-503.12
348525.5776,72.468,147.315,1004.365,105.0,2441.25,-2528.75,53.2,-209.76,-510.72
348525.6276,81.13,124.44,1006.012,210.0,717.5,-2511.25,74.48,-208.24,-512.24
348525.6776,100.345,130.601,1001.376,3010.0,2493.75,-1312.5,62.32,-212.8,-503.12
348525.7276,96.807,158.966,998.082,4366.25,4803.75,-96.25,65.36,-228.0,-489.44
348525.7776,74.847,179.645,1001.01,2537.5,4742.5,-323.75,79.04,-208.24,-504.64
348525.8276,78.324,160.674,999.302,78.75,2975.0,-472.5,74.48,-231.04,-507.68
348525.8776,80.154,159.82,1002.535,-122.5,3263.75,-743.75,65.36,-206.72,-506.16
348525.9276,80.764,148.352,1002.413,-1575.0,3307.5,-1295.0,51.68,-212.8,-509.2
348525.9776,73.444,149.267,1007.781,-105.0,2660.0,-2555.0,72.96,-218.88,-495.52
348526.0276,74.481,143.411,1004.182,-1120.0,2065.0,-2056.25,71.44,-220.4,-504.64
348526.0776,80.154,144.753,1004.121,857.5,2248.75,-1855.0,62.32,-211.28,-509.2
348526.1276,78.324,151.402,1003.145,1093.75,2073.75,-1093.75,76.0,-221.92,-500.08
348526.1776,81.679,155.916,995.215,1032.5,1907.5,551.25,68.4,-226.48,-513.76
348526.2276,88.267,150.792,998.875,-1531.25,2660.0,1190.0,48.64,-220.4,-498.56
348526.2776,89.67,140.117,995.825,-2170.0,2966.25,376.25,74.48,-211.28,-497.04
348526.3276,89.67,136.945,1008.757,-61.25,3018.75,-1513.75,77.52,-211.28,-503.12
348526.3776,87.84,142.618,1003.328,542.5,4138.75,-2450.0,72.96,-224.96,-490.96
348526.4276,80.52,154.452,1002.169,1111.25,4068.75,-3290.0,50.16,-205.2,-504.64
348526.4776,84.119,155.489,1003.267,-525.0,2651.25,-1102.5,66.88,-212.8,-512.24
348526.5276,77.531,148.718,1001.193,1076.25,3123.75,157.5,79.04,-237.12,-497.04
348526.5776,81.74,160.857,997.472,-1426.25,2791.25,525.0,71.44,-220.4,-497.04
348526.6276,81.008,151.158,1001.742,-840.0,2493.75,78.75,68.4,-214.32,-495.52
348526.6776,86.254,149.328,1001.437,-218.75,1872.5,-61.25,69.92,-212.8,-504.64
348526.7276,86.01,152.744,999.546,-778.75,3605.0,551.25,48.64,-214.32,-495.52
