TimeStamp,ch1,ch2,ch3,ch5,ch6
348287.1093,-364035.13,-360467.91,-77540.26,-325107.9,-289394.65
348287.1133,-350083.06,-339351.55,-72084.77,-282212.86,-263767.51
348287.1173,-353651.38,-346361.77,-65060.05,-299942.72,-275435.77
348287.1213,-370198.01,-373143.62,-59968.91,-358347.36,-310960.43
348287.1253,-380739.45,-388160.7,-67688.43,-387312.98,-328583.23
348287.1293,-362058.3,-357247.3,-78492.22,-319206.23,-286722.41
348287.1333,-346856.78,-334257.26,-72232.35,-272746.69,-259255.87
348287.1373,-352121.49,-343738.07,-64392.53,-294473.25,-273182.38
348287.1413,-370436.04,-373128.74,-59525.35,-357270.95,-311022.51
348287.1453,-380921.46,-388137.96,-67711.31,-386611.79,-328704.25
348287.1493,-362139.84,-357065.82,-78514.97,-318500.6,-286753.78
348287.1533,-346917.29,-333984.75,-72273.6,-271753.77,-259093.6
348287.1573,-352153.25,-343435.47,-64435.59,-293310.68,-272905.62
348287.1613,-370118.61,-372397.56,-59642.42,-355308.43,-310244.88
348287.1653,-380516.53,-387438.72,-67638.31,-385049.72,-327985.14
348287.1693,-362352.32,-357288.69,-78319.61,-318716.75,-286920.58
348287.1732,-347450.44,-334629.86,-72257.48,-272573.31,-259521.09
348287.1772,-352437.59,-343728.82,-64579.83,-293446.15,-272922.74
348287.1812,-369823.83,-371903.89,-59834.11,-354089.97,-309489.81
348287.1852,-380176.78,-386970.04,-67563.26,-384176.82,-327369.54
348287.1892,-362695.21,-357821.51,-78105.03,-319687.83,-287266.91
348287.1932,-348115.77,-335583.68,-72238.88,-274108.78,-260115.46
348287.1972,-352796.41,-344243.76,-64729.94,-294153.39,-273040.04
348287.2012,-369550.61,-371517.51,-60060.56,-353193.18,-308720.67
348287.2052,-379770.28,-386501.17,-67469.6,-383385.7,-326611.32
348287.2092,-363003.39,-358430.67,-77885.35,-320835.82,-287536.42
348287.2132,-348773.66,-336671.77,-72213.09,-275938.73,-260682.04
348287.2172,-353239.63,-344993.49,-64861.21,-295355.07,-273208.22
348287.2212,-369487.0,-371518.99,-60226.16,-353120.32,-308157.81
348287.2252,-379701.04,-386540.17,-67386.11,-383584.88,-326248.88
348287.2292,-363275.86,-358976.03,-77804.29,-321995.68,-287747.23
348287.2332,-348770.71,-336770.24,-72350.51,-276214.01,-260387.93
348287.2372,-352921.0,-344616.41,-64918.95,-294757.4,-272427.93
348287.2412,-369396.49,-371465.01,-60081.68,-353026.05,-307649.46
348287.2452,-380225.42,-387383.79,-67117.41,-385188.2,-326807.39
348287.2492,-363661.14,-359554.86,-77909.34,-323230.26,-288255.54
348287.2532,-348495.67,-336351.43,-72545.82,-275597.46,-259876.0
348287.2572,-352455.32,-343909.07,-64959.63,-293515.19,-271574.67
348287.2612,-369240.14,-371218.34,-59917.65,-352482.74,-307149.07
348287.2652,-380761.38,-388162.61,-66880.09,-386473.03,-327414.89
348287.2692,-364102.07,-360210.89,-78007.8,-324386.3,-288879.72
348287.2732,-348345.04,-336131.42,-72787.87,-275152.19,-259593.95
348287.2772,-351888.65,-343082.85,-65092.91,-291927.66,-270668.4
348287.2812,-368642.33,-370342.87,-59893.04,-350713.77,-306123.72
348287.2852,-380806.49,-388281.92,-66557.61,-386635.83,-327427.52
348287.2892,-365297.31,-362050.48,-77597.34,-327649.44,-290579.88
