TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
348287.1776,76.433,38.552,1020.713,-1688.75,568.75,1093.75,51.68,-171.76,-495.52
348287.2276,96.563,56.425,1013.576,1916.25,1050.0,-1653.75,60.8,-174.8,-498.56
348287.2776,94.367,81.069,1008.025,665.0,3123.75,-1137.5,77.52,-168.72,-498.56
348287.3276,79.666,77.592,1009.855,-1942.5,2948.75,-516.25,66.88,-167.2,-498.56
348287.3776,84.119,63.318,1009.794,-586.25,2861.25,-481.25,62.32,-161.12,-500.08
348287.4276,86.742,70.638,1012.051,761.25,3071.25,-848.75,82.08,-167.2,-495.52
348287.4776,78.141,68.93,1015.528,-1907.5,3351.25,-1846.25,71.44,-177.84,-490.96
348287.5276,79.544,62.037,1011.929,-1435.0,2712.5,-2765.0,71.44,-167.2,-507.68
348287.5776,74.603,58.804,1008.147,-446.25,2835.0,-1680.0,71.44,-170.24,-504.64
348287.6276,78.568,63.623,1008.086,358.75,2152.5,-463.75,82.08,-168.72,-500.08
348287.6776,82.777,71.797,1006.5,-148.75,2738.75,-140.0,69.92,-161.12,-494.0
348287.7276,79.91,53.192,1013.759,-805.0,2231.25,227.5,63.84,-171.76,-497.04
348287.7776,86.071,56.852,1013.942,-61.25,2257.5,1023.75,71.44,-152.0,-507.68
348287.8276,83.143,51.545,1010.282,498.75,1925.0,507.5,77.52,-162.64,-498.56
348287.8776,97.478,66.063,1008.208,341.25,2275.0,-1715.0,51.68,-171.76,-495.52
348287.9276,91.744,67.71,1008.025,-332.5,3841.25,-770.0,79.04,-159.6,-498.56
348287.9776,72.468,66.185,1011.014,-61.25,2931.25,-1260.0,74.48,-176.32,-489.44
348288.0276,80.459,65.575,1011.563,-638.75,2196.25,-980.0,77.52,-168.72,-487.92
348288.0776,94.916,48.617,1014.186,638.75,2896.25,1032.5,76.0,-176.32,-498.56
348288.1276,86.803,67.832,1011.075,1942.5,3631.25,-525.0,62.32,-159.6,-498.56
348288.1776,86.254,70.272,1011.685,166.25,3158.75,-1076.25,65.36,-165.68,-489.44
348288.2276,83.021,61.122,1009.367,726.25,3333.75,-236.25,72.96,-168.72,-498.56
348288.2776,79.544,68.198,1011.624,140.0,3036.25,-26.25,60.8,-153.52,-501.6
348288.3276,84.18,67.222,1007.781,-175.0,2213.75,-420.0,82.08,-168.72,-490.96
348288.3776,94.184,70.272,1012.661,-288.75,3298.75,-358.75,72.96,-177.84,-484.88
348288.4276,82.106,66.246,1010.16,-367.5,3018.75,-1050.0,80.56,-170.24,-497.04
348288.4776,84.546,61.915,1009.184,-953.75,2808.75,-612.5,69.92,-158.08,-506.16
348288.5276,87.535,55.693,1012.478,1120.0,3053.75,140.0,77.52,-162.64,-489.44
348288.5776,84.241,70.028,1009.123,411.25,3263.75,-157.5,68.4,-168.72,-498.56
348288.6276,84.973,72.041,1007.354,-551.25,3753.75,-717.5,57.76,-167.2,-501.6
348288.6776,84.363,61.793,1010.77,-297.5,2940.0,-1207.5,68.4,-162.64,-481.84
348288.7276,85.095,56.547,1010.953,-288.75,3106.25,210.0,69.92,-158.08,-490.96
348288.7776,81.435,60.939,1010.038,595.0,3246.25,638.75,69.92,-158.08,-503.12
348288.8276,87.23,69.418,1014.613,1120.0,2992.5,-297.5,72.96,-161.12,-507.68
348288.8776,81.618,68.686,1010.709,437.5,3325.0,-586.25,79.04,-167.2,-494.0
348288.9276,82.472,65.026,1007.171,-227.5,2782.5,-1032.5,59.28,-156.56,-484.88
348288.9776,81.374,66.368,1011.38,437.5,2327.5,-472.5,63.84,-167.2,-513.76
348289.0276,87.352,69.174,1008.513,52.5,2817.5,577.5,80.56,-167.2,-503.12
348289.0776,90.28,73.505,1006.256,367.5,3167.5,551.25,74.48,-173.28,-504.64
348289.1276,84.424,71.492,1011.929,-341.25,3316.25,-43.75,82.08,-170.24,-497.04
348289.1776,83.875,64.416,1011.868,-1120.0,2948.75,-385.0,82.08,-161.12,-481.84
348289.2276,83.814,58.865,1011.197,227.5,3176.25,367.5,76.0,-173.28,-500.08
348289.2776,79.544,64.965,1009.245,402.5,2870.0,-148.75,68.4,-156.56,-498.56
348289.3276,85.034,66.49,1009.489,332.5,2668.75,-1268.75,63.84,-177.84,-509.2
348289.3776,88.511,68.442,1007.171,-201.25,3193.75,-551.25,65.36,-158.08,-504.64
348289.4276,80.703,63.928,1009.855,-376.25,3132.5,-96.25,60.8,-168.72,-490.96
348289.4776,83.692,63.074,1010.587,17.5,2388.75,-472.5,57.76,-173.28,-507.68
348289.5276,88.389,66.002,1010.038,218.75,3053.75,-113.75,50.16,-162.64,-487.92
348289.5776,82.045,65.331,1012.295,-131.25,3447.5,-603.75,66.88,-167.2,-497.04
348289.6276,81.984,60.451,1011.258,-595.0,2633.75,-507.5,66.88,-170.24,-498.56
348289.6776,79.239,52.582,1011.197,35.0,2703.75,288.75,68.4,-165.68,-494.0
348289.7276,89.304,55.876,1016.321,1688.75,2607.5,507.5,82.08,-171.76,-494.0
348289.7776,85.095,67.344,1008.635,1557.5,2301.25,-166.25,80.56,-171.76,-489.44
348289.8278,89.975,79.544,1008.635,1303.75,3780.0,-1461.25,71.44,-158.08,-495.52
348289.8776,78.507,80.947,1010.831,-87.5,3115.0,-2100.0,62.32,-176.32,-507.68
348289.9277,85.156,64.721,1009.123,-813.75,3202.5,-1435.0,62.32,-167.2,-481.84
348289.9776,87.657,65.514,1013.332,577.5,3211.25,315.0,66.88,-177.84,-497.04
348290.0277,83.082,69.845,1012.966,551.25,3622.5,210.0,63.84,-167.2,-500.08
348290.0776,85.034,70.943,1006.561,288.75,2852.5,-1400.0,69.92,-177.84,-495.52
348290.1276,85.034,68.686,1010.892,-271.25,3202.5,-1443.75,74.48,-168.72,-503.12
348290.1776,83.082,64.904,1012.417,-481.25,3535.0,-1067.5,59.28,-162.64,-490.96
348290.2276,86.132,62.708,1011.014,-411.25,3596.25,-323.75,74.48,-159.6,-498.56
348290.2776,78.446,60.573,1011.99,1015.0,3727.5,-463.75,72.96,-155.04,-504.64
348290.3276,77.104,79.056,1009.672,227.5,3377.5,-1907.5,76.0,-164.16,-489.44
348290.3776,82.472,70.882,1007.537,-472.5,3263.75,-1286.25,77.52,-173.28,-506.16
348290.4276,75.457,65.026,1012.661,-796.25,3517.5,-166.25,71.44,-167.2,-504.64
348290.4776,79.483,59.353,1016.565,-157.5,2590.0,-271.25,68.4,-168.72,-494.0
348290.5276,88.694,57.767,1016.931,1645.0,3928.75,350.0,65.36,-165.68,-490.96
348290.5776,76.067,75.945,1009.611,2467.5,4226.25,-1312.5,74.48,-165.68,-494.0
348290.6276,71.37,89.121,1007.781,1723.75,3631.25,-1925.0,89.68,-164.16,-504.64
348290.6776,70.333,83.204,1006.683,-490.0,3815.0,-936.25,82.08,-168.72,-495.52
348290.7276,66.978,83.082,1014.674,-586.25,3132.5,-43.75,66.88,-182.4,-516.8
348290.7776,77.836,70.333,1012.783,-910.0,2476.25,840.0,68.4,-159.6,-503.12
348290.8276,80.947,68.625,1013.21,-218.75,2458.75,-218.75,77.52,-170.24,-498.56
348290.8776,78.019,70.333,1011.258,-96.25,2336.25,-883.75,80.56,-173.28,-489.44
348290.9276,78.995,69.662,1012.173,-612.5,2528.75,-35.0,50.16,-173.28,-503.12
348290.9776,75.518,62.586,1012.356,-35.0,2476.25,393.75,79.04,-158.08,-501.6
348291.0276,83.143,67.344,1009.428,1338.75,2660.0,-131.25,68.4,-164.16,-498.56
348291.0776,78.385,76.677,1008.635,227.5,2913.75,-516.25,66.88,-159.6,-494.0
348291.1276,77.531,65.453,1007.11,-682.5,2992.5,-323.75,74.48,-165.68,-497.04
