TimeStamp,ch1,ch2,ch3,ch5,ch6
348210.6128,-348074.91,-334588.9,-66683.35,-264445.77,-313963.4
348210.6168,-350141.57,-339789.76,-58426.72,-281448.68,-325358.48
348210.6208,-369455.86,-370976.06,-50756.17,-349673.31,-367301.98
348210.6248,-382691.95,-389391.61,-62179.86,-383086.49,-386972.43
348210.6288,-361407.61,-354346.03,-76064.79,-305054.51,-338790.27
348210.6328,-344047.16,-328639.69,-67423.4,-254425.79,-308204.54
348210.6368,-348139.52,-336882.06,-57238.63,-276276.14,-322272.77
348210.6408,-371682.64,-374145.98,-49290.42,-354509.54,-369982.48
348210.6448,-385062.65,-392411.66,-62630.99,-387388.61,-389690.97
348210.6488,-359728.81,-351391.45,-77524.53,-299080.65,-335813.66
348210.6528,-341222.33,-324112.64,-67560.11,-245467.36,-303440.18
348210.6568,-345849.51,-333099.21,-57106.64,-268299.61,-318076.46
348210.6608,-369771.48,-370861.48,-49153.48,-347332.95,-366280.6
348210.6648,-383908.51,-390425.2,-62374.12,-383151.82,-387551.78
348210.6688,-358927.2,-350137.94,-77496.06,-296233.64,-334383.72
348210.6728,-340320.72,-322739.21,-67653.04,-242055.87,-301664.44
348210.6767,-344803.95,-331458.7,-57213.41,-264311.73,-315977.66
348210.6807,-368542.62,-368872.21,-49206.22,-342831.51,-363928.5
348210.6847,-383227.2,-389340.54,-62049.44,-380788.8,-386381.48
348210.6887,-359041.3,-350319.28,-77267.32,-296107.9,-334451.48
348210.6927,-340408.08,-322875.11,-67770.3,-241590.81,-301521.58
348210.6967,-344400.07,-330829.9,-57455.64,-262474.76,-315067.95
348210.7007,-367530.2,-367332.22,-49419.89,-339547.15,-362218.52
348210.7047,-382682.94,-388603.64,-61744.65,-379249.57,-385653.4
348210.7087,-360562.46,-352716.54,-76427.52,-299904.0,-336687.8
348210.7127,-343959.28,-328237.05,-67388.92,-250248.08,-306514.11
348210.7167,-346895.93,-334650.79,-58322.39,-268604.41,-318656.29
348210.7207,-367095.9,-366907.97,-50592.67,-338686.55,-361815.78
348210.7247,-381319.23,-387016.34,-61787.28,-376847.46,-384302.38
348210.7287,-360929.87,-353773.16,-75892.12,-301943.1,-337804.93
348210.7327,-345153.47,-330495.59,-67338.43,-254098.73,-308643.62
348210.7367,-347756.24,-336401.22,-58643.49,-271606.57,-320301.28
348210.7407,-366947.5,-367117.73,-50957.21,-339184.9,-362024.16
