TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
348210.6776,88.145,132.248,1012.905,-1916.25,2957.5,5311.25,57.76,-214.32,-490.96
348210.7276,65.636,134.932,1002.047,-2371.25,2765.0,5503.75,57.76,-202.16,-500.08
348210.7776,79.117,128.954,997.167,-490.0,-2808.75,-848.75,54.72,-200.64,-492.48
348210.8276,136.457,141.276,988.566,-3736.25,-945.0,-4795.0,57.76,-205.2,-494.0
348210.8776,105.042,125.538,1000.461,-5845.0,4821.25,-4611.25,53.2,-203.68,-504.64
348210.9276,87.84,129.32,1004.975,-5705.0,4112.5,-2861.25,66.88,-214.32,-507.68
348210.9776,87.352,104.005,1010.343,-4821.25,4077.5,2555.0,59.28,-205.2,-495.52
348211.0276,87.718,100.101,1012.966,-3255.0,2581.25,3508.75,66.88,-200.64,-484.88
348211.0776,102.48,83.875,1018.029,-1793.75,2896.25,4891.25,51.68,-185.44,-484.88
348211.1276,90.219,67.466,1021.079,-157.5,3631.25,5766.25,51.68,-199.12,-492.48
348211.1776,77.714,84.241,1011.685,2590.0,2458.75,3841.25,62.32,-197.6,-486.4
348211.2276,101.077,100.467,998.448,3885.0,192.5,822.5,71.44,-188.48,-478.8
348211.2776,119.011,120.841,992.287,4445.0,2511.25,1942.5,42.56,-199.12,-492.48
348211.3276,96.502,132.858,995.337,-682.5,3815.0,358.75,57.76,-197.6,-477.28
348211.3776,106.079,116.449,1000.888,-4628.75,5136.25,3421.25,60.8,-199.12,-487.92
348211.4276,96.99,92.354,1010.709,-3062.5,5355.0,2642.5,60.8,-202.16,-487.92
348211.4776,99.308,96.441,1016.138,-568.75,4751.25,2318.75,65.36,-190.0,-475.76
348211.5276,93.269,100.589,1009.184,1697.5,5433.75,3333.75,63.84,-193.04,-490.96
348211.5776,78.263,123.891,1008.635,-350.0,3876.25,1522.5,68.4,-188.48,-481.84
348211.6276,79.788,111.813,1001.193,-2205.0,3071.25,2213.75,66.88,-191.52,-487.92
348211.6776,91.744,111.081,1004.121,560.0,831.25,1006.25,65.36,-188.48,-489.44
348211.7276,103.761,103.029,1002.108,-1960.0,3036.25,5127.5,68.4,-182.4,-474.24
348211.7776,104.249,102.48,1004.67,-341.25,3806.25,4488.75,59.28,-191.52,-490.96
348211.8276,102.358,95.831,1006.012,-2441.25,4086.25,4226.25,65.36,-177.84,-497.04
