TimeStamp,ch1,ch2,ch3,ch5,ch6
348446.3742,-371818.68,-376091.72,-73820.89,-371004.34,-246274.6
348446.3782,-363448.71,-361532.16,-75291.26,-329562.51,-221192.62
348446.3822,-360740.32,-358019.16,-71444.85,-323938.31,-218397.02
348446.3862,-363795.28,-364261.48,-68569.48,-345227.38,-231321.89
348446.3902,-371849.92,-377741.91,-67617.71,-381377.12,-252539.0
348446.3942,-371877.81,-376180.26,-73795.42,-370959.18,-245759.37
348446.3982,-363375.52,-361387.63,-75356.73,-329114.29,-220465.92
348446.4022,-360597.32,-357752.27,-71498.88,-323115.29,-217479.3
348446.4062,-363769.29,-364199.92,-68542.49,-344669.34,-230527.38
348446.4102,-371839.04,-377776.67,-67601.31,-381024.6,-251836.62
348446.4142,-371821.35,-376161.91,-73798.57,-370756.19,-245133.24
348446.4182,-363471.31,-361501.4,-75329.07,-329128.92,-219950.85
348446.4222,-360915.32,-358162.78,-71449.96,-323581.5,-217181.28
348446.4262,-363943.48,-364429.23,-68612.68,-344771.81,-230010.73
348446.4302,-371603.34,-377492.76,-67669.3,-380320.45,-250857.0
348446.4342,-371674.87,-376041.79,-73698.24,-370599.89,-244398.34
348446.4381,-363857.26,-362094.87,-75182.88,-330200.76,-219771.98
348446.4421,-361636.11,-359189.65,-71404.8,-325315.85,-217288.38
348446.4461,-364451.02,-365146.06,-68694.79,-346011.58,-229840.26
348446.4501,-371653.98,-377567.53,-67774.3,-380514.19,-250185.95
348446.4541,-371414.28,-375689.17,-73771.63,-370219.32,-243482.24
348446.4581,-363326.93,-361297.7,-75300.99,-328941.81,-218422.3
348446.4621,-360911.84,-358089.82,-71442.99,-323341.84,-215596.51
348446.4661,-363627.52,-363910.19,-68786.58,-343651.38,-227976.78
348446.4701,-369955.35,-375143.48,-68062.5,-376336.05,-247255.74
348446.4741,-369648.45,-373296.31,-73658.76,-366516.49,-240583.88
348446.4781,-363329.5,-361478.8,-74821.81,-329421.46,-217638.38
348446.4821,-362134.64,-359990.21,-71217.5,-326609.36,-216193.18
348446.4861,-364733.93,-365597.72,-68846.28,-346642.49,-228352.1
348446.4901,-370677.13,-376247.4,-68110.57,-378422.88,-247218.3
348446.4941,-370305.68,-374313.64,-73623.33,-368613.43,-240696.08
348446.4981,-363991.88,-362489.22,-74829.06,-331519.12,-217788.67
348446.5021,-362651.68,-360779.61,-71245.06,-328298.32,-216110.45
348446.5061,-365076.87,-366125.2,-68907.41,-347862.95,-228035.76
348446.5101,-370872.06,-376560.45,-68119.77,-379302.88,-246777.04
348446.5141,-370548.63,-374724.58,-73585.14,-369819.88,-240547.49
348446.5181,-363652.32,-362052.87,-75073.54,-331262.68,-216930.18
348446.5221,-361439.13,-359065.91,-71480.0,-325701.85,-214099.05
348446.5261,-363902.18,-364454.03,-68863.59,-345116.7,-226000.15
348446.5301,-370746.99,-376388.88,-67769.06,-378940.29,-245987.68
348446.5341,-371639.63,-376310.92,-73283.78,-372525.78,-241432.55
348446.5381,-364949.79,-363942.86,-75016.6,-334614.03,-218138.2
348446.5421,-362526.27,-360625.07,-71551.67,-328546.13,-214973.9
348446.5461,-364455.03,-365200.13,-69041.55,-346572.3,-226135.85
348446.5501,-370971.68,-376644.56,-67826.09,-379599.66,-245747.88
348446.5541,-372130.06,-376971.15,-73157.84,-374035.69,-241751.41
348446.5581,-365497.73,-364680.19,-75057.52,-336258.64,-218550.52
348446.5621,-362346.64,-360280.03,-71795.09,-328216.31,-214356.21
348446.566,-363469.83,-363677.97,-69294.51,-344054.6,-224404.41
348446.57,-369615.84,-374630.78,-67894.99,-376240.35,-243534.69
348446.574,-371467.01,-376077.79,-72878.13,-372922.56,-240596.37
348446.578,-365883.63,-365307.9,-74786.86,-337748.14,-218713.74
348446.582,-363072.3,-361361.21,-71745.26,-330405.13,-214819.5
348446.586,-363933.23,-364361.62,-69373.14,-345583.96,-224495.63
348446.59,-369784.88,-374893.66,-67940.86,-377061.36,-243288.78
348446.594,-371852.49,-376673.31,-72785.91,-374409.86,-240810.33
348446.598,-366492.7,-366203.45,-74768.41,-339711.66,-219190.58
348446.602,-363515.33,-361988.78,-71824.61,-331854.72,-214999.42
348446.606,-364071.7,-364542.34,-69491.25,-346204.99,-224232.08
348446.61,-369696.8,-374780.75,-67992.7,-377167.84,-242783.77
348446.614,-371939.27,-376856.99,-72700.84,-375181.34,-240708.48
348446.618,-366833.3,-366725.82,-74745.76,-341080.28,-219411.92
348446.622,-363741.97,-362318.42,-71884.45,-332825.65,-214995.12
348446.626,-364057.63,-364522.64,-69570.65,-346498.96,-223883.75
348446.63,-369462.87,-374481.82,-68018.59,-376970.0,-242191.39
348446.634,-371877.24,-376853.22,-72618.83,-375655.08,-240528.42
348446.638,-366982.31,-367014.17,-74680.62,-342067.28,-219499.71
348446.642,-363838.53,-362496.23,-71894.23,-333536.38,-214914.44
348446.646,-363956.78,-364397.0,-69625.58,-346619.22,-223491.31
348446.65,-369138.62,-374047.13,-68044.29,-376539.32,-241519.29
348446.654,-371708.63,-376702.16,-72497.71,-375853.68,-240197.02
348446.658,-367166.61,-367349.57,-74621.02,-343015.38,-219551.4
348446.662,-364010.28,-362786.77,-71918.35,-334287.87,-214833.38
348446.666,-363908.81,-364366.24,-69682.51,-346767.28,-223097.3
348446.67,-368814.99,-373636.96,-68074.23,-376090.86,-240828.54
348446.674,-371629.85,-376679.7,-72336.87,-376239.39,-239969.14
348446.678,-368328.62,-369123.84,-74238.64,-346371.88,-220826.75
348446.682,-366022.25,-365744.3,-71793.52,-339645.9,-217046.72
348446.686,-365352.29,-366452.5,-69942.2,-350823.49,-224561.77
348446.69,-368709.18,-373445.56,-68558.89,-376486.25,-240431.67
348446.694,-370687.72,-375344.37,-72490.84,-374944.21,-238736.8
348446.698,-367724.51,-368308.54,-74199.59,-345784.04,-219981.74
348446.702,-365588.04,-365166.33,-71758.09,-339264.77,-216312.34
348446.706,-364979.26,-365934.27,-69920.41,-350426.67,-223848.04
348446.71,-368333.24,-372904.44,-68520.17,-376058.67,-239726.95
348446.714,-370418.31,-374990.13,-72425.71,-374952.74,-238297.97
348446.718,-367543.26,-368106.41,-74180.99,-345906.58,-219592.65
348446.722,-365465.16,-365024.85,-71758.09,-339276.45,-215862.68
348446.726,-364880.18,-365823.36,-69921.69,-350427.72,-223391.51
348446.73,-368701.6,-373462.67,-68309.51,-377184.48,-239887.7
348446.734,-371347.57,-376333.04,-72345.27,-377420.71,-239299.14
348446.738,-367129.51,-367469.31,-74622.69,-344930.74,-218861.7
348446.742,-363870.95,-362689.35,-72006.42,-335226.91,-213589.36
348446.746,-363599.63,-363959.93,-69795.24,-346971.6,-221490.46
348446.75,-368419.55,-373043.1,-68066.94,-376131.91,-239221.22
348446.754,-371307.32,-376262.81,-72300.92,-377147.29,-239030.01
348446.7579,-366953.89,-367197.99,-74661.6,-344253.39,-218342.43
348446.7619,-363718.98,-362440.72,-71998.8,-334423.58,-212977.48
348446.7659,-363557.57,-363880.01,-69750.65,-346469.25,-221018.63
348446.7699,-368516.11,-373156.78,-68006.24,-376012.08,-238935.45
348446.7739,-371394.68,-376389.02,-72303.16,-377203.6,-238849.53
348446.7779,-366766.21,-366912.69,-74774.32,-343531.94,-217766.5
348446.7819,-363538.98,-362158.15,-71963.08,-333579.58,-212339.0
348446.7859,-363883.82,-364327.9,-69601.54,-346816.68,-220994.36
348446.7899,-369414.33,-374450.3,-67862.42,-377773.47,-239655.14
348446.7939,-371803.52,-376965.57,-72496.23,-377913.0,-239153.6
348446.7979,-366129.44,-365953.2,-75013.93,-341664.4,-216770.63
348446.8019,-362947.13,-361250.87,-71946.39,-331572.38,-211293.1
348446.8059,-363738.15,-364074.13,-69510.52,-345783.37,-220458.1
348446.8099,-369441.6,-374476.62,-67813.36,-377241.61,-239351.25
348446.8139,-371843.67,-377047.68,-72461.09,-377725.6,-239017.23
348446.8179,-366143.75,-365965.03,-75041.68,-341386.93,-216579.7
348446.8219,-362935.44,-361202.95,-71968.13,-331107.27,-210978.15
348446.8259,-363703.48,-363989.59,-69541.8,-345203.63,-220060.8
348446.8299,-369333.12,-374311.78,-67807.97,-376581.38,-238862.16
348446.8339,-372130.92,-377477.31,-72263.2,-378300.9,-239180.45
348446.8379,-367261.07,-367552.28,-74835.17,-343949.12,-217766.6
348446.8419,-363897.94,-362511.87,-72086.58,-333214.56,-211860.4
348446.8459,-363705.44,-363886.5,-69826.09,-344968.22,-219686.11
348446.8499,-368527.74,-373065.09,-68001.95,-374507.04,-237510.23
348446.8539,-371631.14,-376758.48,-72136.32,-377385.42,-238365.77
348446.8579,-367282.24,-367602.34,-74767.03,-344279.19,-217571.38
348446.8619,-363899.13,-362515.87,-72124.82,-333338.25,-211524.37
348446.8659,-363573.55,-363686.37,-69890.84,-344662.42,-219116.57
348446.8699,-368295.62,-372730.68,-68001.37,-374022.34,-236850.0
348446.8739,-371572.11,-376714.7,-72052.82,-377569.05,-238103.94
348446.8779,-367409.94,-367837.71,-74721.44,-344874.42,-217528.46
348446.8819,-364014.62,-362720.25,-72133.98,-333755.77,-211366.49
348446.8858,-363358.59,-363409.51,-70017.16,-344254.01,-218517.62
348446.8898,-366927.0,-370788.14,-68373.64,-370908.26,-234799.03
348446.8938,-369693.51,-374154.61,-72040.85,-373831.84,-235580.62
348446.8978,-367226.45,-367763.47,-74237.31,-345244.54,-217054.58
348446.9018,-365208.29,-364573.86,-71879.97,-337210.03,-212403.66
348446.9058,-364485.64,-365111.82,-70089.54,-347473.76,-219378.07
348446.9098,-367611.07,-371830.32,-68471.15,-373066.33,-235153.08
348446.9138,-370270.87,-375043.48,-72040.66,-375795.6,-235985.97
348446.9178,-367782.45,-368624.73,-74264.15,-347120.95,-217458.37
348446.9218,-365643.5,-365241.48,-71928.32,-338678.4,-212579.32
348446.9258,-364765.16,-365538.35,-70129.4,-348527.62,-219332.58
348446.9298,-367785.07,-372095.44,-68467.67,-373846.81,-235016.66
348446.9338,-370467.28,-375359.01,-72004.76,-376778.17,-236055.55
348446.9378,-367993.92,-368945.12,-74276.55,-348054.64,-217537.62
348446.9418,-365774.25,-365421.91,-71954.02,-339282.22,-212468.89
348446.9458,-364831.2,-365609.12,-70174.65,-348893.59,-219114.66
348446.9498,-367795.85,-372091.1,-68478.35,-374092.72,-234751.78
348446.9538,-370541.57,-375467.39,-71970.33,-377341.22,-236020.31
348446.9578,-368058.96,-369028.18,-74282.56,-348545.35,-217461.61
348446.9618,-365811.49,-365429.64,-71976.77,-339497.23,-212236.0
348446.9658,-364832.4,-365557.81,-70189.77,-348958.06,-218803.48
348446.9698,-367779.39,-372026.68,-68468.29,-374138.69,-234447.6
348446.9738,-370566.36,-375504.54,-71933.9,-377705.43,-235925.89
348446.9778,-368118.09,-369098.99,-74302.25,-348887.2,-217366.58
348446.9818,-365820.69,-365416.14,-72006.52,-339549.92,-211963.25
348446.9858,-364784.0,-365470.45,-70209.8,-348850.72,-218445.85
348446.9898,-367692.28,-371910.43,-68461.04,-373978.47,-234079.96
348446.9938,-370533.8,-375505.21,-71903.9,-377898.31,-235787.71
348446.9978,-368073.51,-369071.86,-74329.81,-349001.88,-217154.58
348447.0018,-365747.5,-365330.12,-72030.22,-339409.63,-211582.59
348447.0058,-364706.37,-365378.14,-70214.04,-348642.87,-218018.32
348447.0098,-367640.11,-371868.46,-68443.07,-373854.4,-233685.52
348447.0138,-370526.93,-375561.04,-71863.56,-378109.36,-235577.09
348447.0178,-368045.99,-369069.62,-74352.94,-349101.01,-216878.73
348447.0218,-365670.3,-365223.79,-72046.15,-339248.41,-211144.66
348447.0258,-364651.82,-365283.63,-70226.87,-348452.8,-217566.09
348447.0298,-367613.69,-371823.55,-68429.1,-373736.04,-233276.82
348447.0338,-370493.93,-375528.95,-71865.95,-378183.84,-235317.69
348447.0378,-367573.35,-368380.45,-74511.3,-348057.88,-216051.03
348447.0418,-364807.74,-363938.52,-72151.72,-336933.37,-209681.01
348447.0458,-363955.16,-364262.67,-70172.37,-346439.55,-216286.11
348447.0498,-367413.14,-371551.41,-68284.57,-372988.13,-232641.68
348447.0538,-370550.58,-375662.32,-71801.15,-378320.12,-235129.43
348447.0578,-367523.09,-368345.45,-74554.88,-347859.38,-215665.94
348447.0618,-364731.98,-363858.36,-72164.88,-336528.63,-209156.4
348447.0658,-363917.58,-364232.63,-70179.14,-346075.39,-215768.08
348447.0698,-367357.58,-371507.88,-68265.78,-372649.43,-232123.21
348447.0738,-370544.14,-375710.63,-71751.08,-378350.11,-234830.55
348447.0781,-367527.24,-368405.29,-74545.68,-347929.85,-215393.66
348447.0821,-364744.75,-363901.85,-72168.41,-336444.8,-208807.35
348447.0861,-363901.47,-364223.57,-70177.18,-345906.58,-215372.16
348447.0901,-367322.77,-371440.26,-68267.21,-372432.71,-231699.21
348447.0941,-370580.34,-375748.06,-71713.46,-378508.18,-234623.22
348447.0981,-367639.49,-368536.8,-74545.25,-348190.06,-215217.57
348447.1021,-364836.5,-363989.06,-72182.85,-336507.79,-208490.78
348447.1061,-363970.37,-364273.5,-70200.5,-345831.39,-214999.94
348447.1101,-367321.73,-371396.11,-68266.64,-372221.13,-231271.72
348447.1141,-370620.58,-375800.61,-71660.1,-378665.54,-234432.53
348447.1181,-367713.21,-368663.97,-74540.34,-348480.36,-215095.45
348447.1221,-364886.14,-364066.79,-72199.31,-336561.05,-208226.32
348447.1261,-363978.91,-364285.8,-70226.39,-345735.54,-214637.5
348447.1301,-367291.49,-371349.0,-68289.48,-372044.7,-230850.06
348447.1341,-370603.89,-375810.14,-71637.02,-378800.48,-234200.22
348447.1381,-367728.9,-368725.15,-74552.45,-348685.45,-214919.5
348447.1417,-364888.76,-364090.39,-72224.67,-336570.59,-207929.25
348447.1457,-363971.9,-364289.52,-70237.45,-345650.38,-214293.74
348447.1497,-367230.27,-371275.04,-68272.79,-371871.66,-230460.15
348447.1537,-370598.17,-375819.2,-71595.25,-378953.03,-234019.5
348447.1577,-367758.13,-368773.7,-74566.37,-348874.28,-214769.34
348447.1617,-364915.03,-364113.8,-72239.22,-336543.79,-207649.35
348447.1657,-364001.51,-364300.87,-70237.84,-345551.53,-213958.62
348447.1697,-367275.19,-371294.07,-68269.5,-371770.28,-230123.88
348447.1737,-370646.09,-375879.95,-71575.22,-379102.94,-233847.84
348447.1777,-367775.1,-368791.24,-74601.52,-348932.5,-214573.7
348447.1817,-364821.57,-363944.76,-72305.02,-336129.42,-207200.12
348447.1857,-363996.41,-364248.61,-70227.25,-345287.51,-213593.6
348447.1897,-367425.29,-371476.07,-68238.55,-371935.32,-229969.39
348447.1937,-370768.93,-376046.51,-71592.2,-379386.66,-233807.07
348447.1977,-367670.77,-368616.34,-74675.0,-348596.57,-214234.66
348447.2017,-364782.66,-363841.43,-72277.94,-335767.02,-206841.26
348447.2056,-364085.72,-364323.66,-70224.01,-345187.42,-213347.56
348447.2096,-367508.79,-371553.66,-68248.14,-371873.04,-229727.15
348447.2136,-370813.51,-376108.31,-71583.23,-379530.19,-233691.53
348447.2176,-367601.15,-368489.6,-74736.65,-348408.93,-213963.44
348447.2216,-364617.87,-363551.37,-72327.43,-335129.73,-206315.64
348447.2256,-363950.39,-364078.76,-70237.45,-344552.37,-212825.75
348447.2296,-367336.36,-371281.38,-68241.37,-371192.02,-229166.82
348447.2336,-370802.4,-376111.41,-71500.36,-379510.97,-233490.54
348447.2376,-367859.31,-368884.51,-74648.91,-349100.25,-214098.24
348447.2416,-364937.06,-364004.04,-72310.79,-335862.72,-206430.65
348447.2456,-364084.1,-364257.9,-70268.31,-344815.58,-212676.5
348447.2496,-367333.5,-371276.71,-68243.18,-371139.86,-228870.9
348447.2536,-370802.97,-376154.52,-71448.19,-379717.01,-233372.53
348447.2576,-367862.6,-368918.99,-74678.29,-349321.93,-213985.75
348447.2616,-364868.06,-363919.35,-72365.53,-335745.9,-206107.88
348447.2656,-364020.34,-364184.04,-70299.3,-344634.43,-212324.36
348447.2696,-367298.03,-371263.5,-68240.03,-371053.12,-228576.35
348447.2736,-370867.34,-376315.45,-71423.35,-380094.29,-233365.66
348447.2776,-367723.46,-368786.43,-74744.42,-349217.27,-213723.11
348447.2816,-364612.1,-363588.66,-72376.31,-335137.88,-205571.44
348447.2856,-363952.01,-364121.1,-70240.6,-344415.9,-211991.1
348447.2896,-367423.86,-371474.69,-68206.13,-371281.95,-228482.66
348447.2936,-370907.02,-376418.73,-71453.29,-380293.13,-233310.63
348447.2976,-367628.19,-368682.62,-74812.71,-349029.87,-213489.27
348447.3016,-364519.97,-363480.13,-72404.77,-334789.03,-205233.84
348447.3056,-363939.28,-364111.28,-70252.71,-344187.01,-211713.67
348447.3096,-367429.06,-371460.96,-68203.03,-371074.53,-228210.86
348447.3136,-370921.61,-376422.12,-71424.59,-380314.25,-233185.41
348447.3176,-367628.09,-368685.67,-74818.86,-349066.97,-213361.34
