TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
348446.4276,82.289,170.373,998.57,-1618.75,-568.75,1391.25,60.8,-243.2,-490.96
348446.4776,103.883,155.672,999.729,-1443.75,-201.25,3115.0,59.28,-228.0,-490.96
348446.5276,96.38,168.055,993.263,-350.0,1767.5,1968.75,72.96,-228.0,-498.56
348446.5776,104.981,172.081,994.971,-87.5,525.0,1111.25,56.24,-237.12,-494.0
348446.6276,115.046,168.482,991.799,-796.25,2633.75,-297.5,42.56,-241.68,-498.56
348446.6776,104.859,169.824,991.921,-1785.0,4445.0,-271.25,41.04,-235.6,-501.6
348446.7276,84.607,164.09,1003.755,-1618.75,3963.75,-1417.5,59.28,-238.64,-492.48
348446.7776,93.086,167.323,999.79,-962.5,3473.75,-3027.5,51.68,-240.16,-492.48
348446.8276,85.278,168.665,996.557,315.0,2992.5,-3421.25,47.12,-231.04,-497.04
348446.8776,87.047,175.985,994.3,-1496.25,2467.5,-1785.0,60.8,-232.56,-503.12
348446.9276,86.742,159.515,995.764,-1706.25,2213.75,-910.0,53.2,-237.12,-489.44
348446.9776,92.659,159.393,998.631,-1382.5,1277.5,-673.75,50.16,-234.08,-489.44
348447.0276,112.24,149.816,995.947,-2073.75,2406.25,1925.0,50.16,-226.48,-490.96
348447.0776,112.179,150.182,997.655,-840.0,4086.25,603.75,57.76,-240.16,-501.6
348447.1276,95.099,153.537,998.326,-1172.5,4777.5,-1872.5,57.76,-237.12,-484.88
348447.1776,86.498,151.097,999.912,-980.0,3333.75,-3298.75,48.64,-237.12,-507.68
348447.2276,101.931,158.417,1000.705,-691.25,2030.0,-1680.0,57.76,-234.08,-498.56
348447.2778,96.197,150.304,1000.522,-673.75,3500.0,761.25,62.32,-237.12,-509.2
348447.3276,91.683,150.792,1004.975,682.5,3316.25,-813.75,44.08,-252.32,-503.12
348447.3777,99.613,162.443,996.923,1636.25,2397.5,-1793.75,53.2,-243.2,-498.56
348447.4276,106.994,167.75,996.374,988.75,3430.0,-997.5,38.0,-234.08,-480.32
348447.4776,84.058,159.515,998.204,-568.75,3491.25,-1102.5,63.84,-240.16,-504.64
348447.5276,94.062,158.112,996.008,-1443.75,2738.75,-1277.5,44.08,-240.16,-504.64
348447.5776,99.369,152.988,998.448,-1198.75,2896.25,-131.25,71.44,-241.68,-492.48
348447.6276,96.563,151.89,1002.718,-262.5,3613.75,-691.25,41.04,-234.08,-480.32
348447.6776,89.853,153.049,1002.291,-525.0,3718.75,-1680.0,60.8,-232.56,-478.8
348447.7276,97.6,153.293,1000.461,-87.5,2773.75,-1820.0,63.84,-235.6,-501.6
348447.7776,102.846,158.722,997.045,-315.0,3762.5,-2362.5,45.6,-232.56,-497.04
348447.8276,97.844,157.746,997.167,-910.0,4165.0,-2625.0,53.2,-231.04,-500.08
348447.8776,84.18,148.047,1002.535,-1610.0,3990.0,-1102.5,51.68,-237.12,-503.12
348447.9276,82.045,146.278,1004.121,-1216.25,3386.25,-140.0,60.8,-237.12,-478.8
348447.9776,92.72,148.718,1000.827,-43.75,2625.0,-1382.5,50.16,-249.28,-497.04
348448.0276,94.001,156.16,997.533,-796.25,3290.0,-1330.0,53.2,-231.04,-507.68
348448.0776,88.755,148.291,999.18,-1067.5,3465.0,-1058.75,65.36,-238.64,-494.0
348448.1276,87.23,140.483,1003.206,-822.5,3465.0,-1618.75,57.76,-232.56,-498.56
348448.1776,87.291,141.764,1000.522,-105.0,3255.0,-1330.0,47.12,-229.52,-497.04
348448.2276,94.916,150.548,999.241,787.5,3351.25,-1277.5,50.16,-237.12,-504.64
348448.2776,85.4,152.988,1001.132,245.0,4130.0,-1321.25,62.32,-229.52,-486.4
348448.3276,80.52,154.391,1000.766,-516.25,2388.75,-1680.0,56.24,-237.12,-494.0
348448.3776,84.607,148.535,1000.888,-656.25,2362.5,-481.25,45.6,-237.12,-518.32
348448.4276,89.426,148.413,1000.034,-787.5,2546.25,-131.25,47.12,-234.08,-487.92
348448.4776,86.193,142.557,1003.023,-1102.5,2660.0,-1242.5,56.24,-234.08,-501.6
348448.5276,86.925,142.74,1004.365,-1242.5,2047.5,-1146.25,47.12,-226.48,-501.6
348448.5776,95.343,140.3,1000.888,778.75,3263.75,-1163.75,62.32,-231.04,-480.32
