TimeStamp,ch1,ch2,ch3,ch5,ch6
348375.1205,-350514.02,-341580.96,-71561.35,-285399.09,-165907.64
348375.1245,-358272.17,-354540.44,-66120.49,-316378.73,-183905.39
348375.1285,-375563.48,-381271.69,-63779.27,-376219.27,-215647.77
348375.1325,-376562.26,-381123.21,-73738.3,-372331.47,-211718.11
348375.1365,-356055.64,-349022.53,-78562.6,-300367.58,-172315.52
348375.1405,-348340.36,-338224.74,-71494.54,-279122.1,-163297.01
348375.1445,-357350.11,-352981.23,-65725.24,-313007.3,-182804.08
348375.1485,-375647.45,-381205.65,-63518.72,-375431.25,-215750.48
348375.1525,-376925.13,-381518.6,-73633.06,-372640.51,-212294.56
348375.1565,-356368.11,-349305.1,-78612.38,-300529.23,-172738.0
348375.1605,-348483.51,-338231.84,-71559.25,-278688.37,-163341.68
348375.1645,-357377.43,-352850.57,-65790.23,-312247.89,-182669.95
348375.1685,-375496.0,-380891.75,-63533.89,-374383.49,-215450.6
348375.1725,-377036.52,-381652.4,-73509.65,-372741.22,-212563.11
348375.1765,-356769.51,-349815.6,-78580.82,-301310.15,-173267.67
348375.1805,-348827.83,-338637.3,-71618.9,-279119.72,-163643.43
348375.1845,-357422.59,-352854.15,-65909.3,-311895.31,-182551.07
348375.1885,-375238.51,-380511.95,-63597.35,-373416.33,-215010.0
348375.1925,-376976.25,-381634.61,-73389.4,-372747.08,-212608.7
348375.1965,-357013.17,-350223.87,-78532.99,-302034.7,-173639.41
348375.2005,-348985.33,-338910.1,-71651.75,-279412.64,-163734.17
348375.2045,-357392.64,-352852.82,-65974.48,-311610.69,-182347.03
348375.2085,-375049.02,-380298.71,-63584.14,-372817.08,-214664.39
348375.2125,-377081.15,-381902.45,-73235.38,-373208.09,-212831.43
348375.2165,-357478.85,-351055.85,-78447.3,-303378.48,-174242.66
348375.2205,-349553.67,-339897.82,-71664.39,-280864.03,-164295.41
348375.2245,-357715.74,-353467.7,-66083.44,-312400.81,-182521.36
348375.2285,-375125.98,-380504.89,-63617.67,-373006.67,-214583.85
348375.2325,-377374.41,-382441.71,-73123.75,-374253.22,-213289.62
348375.2365,-357616.42,-351429.31,-78544.58,-303990.26,-174478.22
348375.2405,-349200.86,-339566.51,-71790.08,-280023.66,-163802.6
348375.2445,-357283.68,-352968.88,-66113.05,-311199.27,-181899.52
348375.2484,-374843.64,-380158.8,-63572.27,-372191.09,-214149.07
348375.2524,-377483.37,-382666.35,-73020.9,-374701.97,-213531.04
348375.2564,-357808.58,-351794.38,-78571.42,-304626.22,-174793.93
348375.2604,-349172.54,-339575.19,-71884.12,-279903.97,-163692.92
348375.2644,-357106.44,-352702.37,-66165.5,-310611.19,-181548.57
348375.2684,-374840.4,-380076.88,-63449.34,-371965.5,-214006.26
348375.2724,-378059.15,-383405.16,-72769.98,-376172.3,-214313.01
348375.2764,-358887.29,-353191.61,-78427.9,-307355.3,-176159.78
348375.2804,-350056.98,-340620.84,-72073.9,-281994.47,-164616.41
348375.2844,-356334.68,-351348.87,-66763.22,-308391.08,-180349.85
348375.2884,-372648.95,-376821.71,-63756.43,-366313.83,-211122.44
348375.2924,-377602.57,-382816.5,-72062.17,-375656.6,-213767.55
348375.2964,-360779.57,-355886.26,-77929.12,-312923.66,-178379.51
348375.3004,-351446.05,-342500.78,-72373.73,-286184.39,-165913.22
348375.3044,-356107.13,-350921.72,-67262.32,-308463.47,-179587.96
