TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
348375.1776,24.461,123.464,1008.269,-70.0,3561.25,271.25,95.76,-199.12,-515.28
348375.2276,9.882,123.708,1011.197,-105.0,3220.0,-1198.75,114.0,-211.28,-504.64
348375.2776,25.986,113.826,1011.502,-446.25,1688.75,-822.5,92.72,-212.8,-507.68
348375.3276,30.988,118.584,1010.343,2248.75,3185.0,892.5,86.64,-196.08,-510.72
348375.3776,17.446,138.348,1004.182,1855.0,857.5,-2126.25,86.64,-206.72,-498.56
348375.4276,30.683,139.568,1002.169,-376.25,3097.5,-533.75,82.08,-209.76,-510.72
348375.4776,5.734,124.318,1014.552,-332.5,2170.0,8.75,92.72,-217.36,-521.36
348375.5276,34.343,126.758,1010.892,1505.0,656.25,-673.75,86.64,-218.88,-519.84
348375.5776,38.613,131.211,1003.633,2301.25,2248.75,61.25,92.72,-209.76,-497.04
348375.6276,31.781,150.121,1001.742,1312.5,2091.25,-3097.5,79.04,-205.2,-512.24
348375.6776,28.548,139.324,1005.402,-656.25,3193.75,-1890.0,85.12,-209.76,-519.84
348375.7276,20.374,138.897,1007.171,-420.0,2292.5,-796.25,91.2,-200.64,-522.88
348375.7776,30.805,133.346,1008.391,437.5,2187.5,1023.75,88.16,-211.28,-503.12
348375.8276,32.147,136.884,1006.561,1400.0,2878.75,2310.0,79.04,-212.8,-512.24
348375.8776,27.572,136.396,1007.171,621.25,2493.75,1671.25,88.16,-218.88,-516.8
348375.9276,26.962,133.712,1006.195,-271.25,971.25,-516.25,82.08,-212.8,-497.04
348375.9776,44.347,138.287,1008.208,-1006.25,1338.75,-201.25,74.48,-211.28,-518.32
348376.0276,43.859,128.283,1008.94,52.5,2537.5,1452.5,76.0,-211.28,-512.24
348376.0776,29.89,120.414,1010.465,831.25,3150.0,175.0,89.68,-209.76,-497.04
348376.1276,36.905,130.784,1007.598,2791.25,1181.25,-332.5,88.16,-208.24,-507.68
348376.1776,47.946,145.241,1003.145,1680.0,2502.5,-148.75,66.88,-215.84,-512.24
348376.2276,44.042,145.607,1003.206,813.75,2861.25,-455.0,88.16,-212.8,-519.84
348376.2776,34.953,140.849,1005.28,350.0,2808.75,-988.75,83.6,-215.84,-495.52
348376.3276,30.5,138.409,1008.757,525.0,2012.5,-1155.0,91.2,-220.4,-510.72
348376.3776,45.079,144.997,1005.28,717.5,1785.0,568.75,86.64,-224.96,-503.12
348376.4276,48.312,154.513,1003.999,1907.5,2826.25,192.5,77.52,-218.88,-492.48
348376.4776,46.482,152.5,1006.195,1662.5,3263.75,-1155.0,80.56,-229.52,-504.64
348376.5276,41.48,150.548,1001.803,-70.0,3648.75,-61.25,83.6,-218.88,-507.68
348376.5776,31.903,148.779,1006.866,-665.0,3360.0,603.75,82.08,-211.28,-501.6
348376.6278,35.624,140.422,1004.487,-656.25,2458.75,866.25,97.28,-206.72,-501.6
348376.6776,45.628,136.823,1010.221,-105.0,2686.25,673.75,76.0,-220.4,-498.56
348376.7277,36.234,142.923,1006.134,192.5,3298.75,-595.0,82.08,-205.2,-518.32
348376.7776,37.393,141.764,1008.513,315.0,1487.5,-813.75,91.2,-206.72,-507.68
348376.8276,48.739,143.045,1006.683,122.5,2353.75,446.25,79.04,-209.76,-509.2
348376.8776,47.58,146.156,1006.378,-288.75,3421.25,647.5,68.4,-223.44,-509.2
348376.9276,39.894,146.156,1006.195,-892.5,3062.5,-918.75,82.08,-226.48,-484.88
348376.9776,42.334,142.984,1006.866,-376.25,2773.75,-918.75,83.6,-209.76,-497.04
348377.0276,40.626,137.494,1005.341,-717.5,2782.5,-341.25,88.16,-206.72,-519.84
348377.0776,45.018,134.749,1007.171,-183.75,2817.5,-26.25,79.04,-205.2,-504.64
348377.1276,43.005,140.849,1005.829,1653.75,2730.0,-656.25,83.6,-212.8,-497.04
348377.1776,43.92,148.474,1003.206,43.75,2800.0,-621.25,72.96,-212.8,-512.24
348377.2276,40.382,134.139,1004.426,-752.5,2581.25,-498.75,88.16,-218.88,-524.4
348377.2776,43.005,137.616,1007.049,-157.5,2135.0,-52.5,86.64,-215.84,-494.0
348377.3276,48.19,137.982,1009.184,393.75,1916.25,-78.75,83.6,-211.28,-498.56
348377.3776,51.789,141.032,1006.256,735.0,3876.25,-568.75,79.04,-214.32,-522.88
348377.4276,36.051,146.644,1006.317,770.0,2852.5,-1338.75,82.08,-208.24,-503.12
348377.4776,47.336,139.141,1005.219,875.0,2362.5,-1347.5,97.28,-212.8,-498.56
348377.5276,50.02,146.217,1002.718,1251.25,3780.0,-166.25,71.44,-212.8,-510.72
348377.5776,41.175,150.548,1005.341,848.75,3675.0,-997.5,82.08,-223.44,-506.16
348377.6276,41.602,149.45,1002.047,0.0,3123.75,-1505.0,74.48,-206.72,-504.64
348377.6776,40.748,144.753,1002.047,-192.5,3123.75,-1155.0,88.16,-206.72,-506.16
348377.7276,38.552,139.69,1005.646,-1093.75,2257.5,-1653.75,80.56,-214.32,-524.4
