TimeStamp,ch4,ch6,ch7
6616.3062,-42699.49,-366175.79,-36180.45
6616.3102,-44521.38,-367647.12,-38085.08
6616.3142,-44647.65,-366110.8,-38345.25
6616.3182,-42632.97,-363842.67,-36322.31
6616.3222,-41863.4,-364758.01,-35413.94
6616.3262,-42705.68,-366953.42,-36200.38
6616.3302,-44529.78,-368412.97,-38088.71
6616.3342,-44659.33,-366868.78,-38370.61
6616.3382,-42652.99,-364564.32,-36348.92
6616.3422,-41858.58,-365426.87,-35411.7
6616.3462,-42696.67,-367609.93,-36208.78
6616.3502,-44516.14,-369046.3,-38097.34
6616.3542,-44658.81,-367476.51,-38364.56
6616.3582,-42671.64,-365082.74,-36341.24
6616.3622,-41892.15,-365858.65,-35423.47
6616.3662,-42682.22,-367993.68,-36177.45
6616.3701,-44457.44,-369496.44,-38010.08
6616.3741,-44609.89,-367958.68,-38296.27
6616.3781,-42658.52,-365465.45,-36318.59
6616.3821,-41884.86,-366158.91,-35386.66
6616.3861,-42672.31,-368272.44,-36129.57
6616.3901,-44439.37,-369742.63,-37969.02
6616.3941,-44597.63,-368162.34,-38256.13
6616.3981,-42638.02,-365607.02,-36272.96
6616.4021,-41886.62,-366269.35,-35357.81
6616.4061,-42703.49,-368354.51,-36126.9
6616.4101,-44499.35,-369813.82,-37971.69
6616.4141,-44679.93,-368179.6,-38283.16
6616.4181,-42726.19,-365572.21,-36311.44
6616.4221,-41922.62,-366181.23,-35373.02
6616.4261,-42706.49,-368247.98,-36130.15
6616.4301,-44500.4,-369683.83,-38001.64
6616.4341,-44686.13,-368039.03,-38332.66
6616.4381,-42726.52,-365381.76,-36347.87
6616.4421,-41933.16,-365960.74,-35376.89
6616.4461,-42721.94,-368037.79,-36126.95
6616.4501,-44519.67,-369483.61,-38004.93
6616.4541,-44695.81,-367801.81,-38321.59
6616.4581,-42737.97,-365123.74,-36341.72
6616.4621,-41935.45,-365692.18,-35385.33
6616.4661,-42720.04,-367754.12,-36120.94
6616.4701,-44506.22,-369165.99,-37954.38
6616.4741,-44695.72,-367460.63,-38281.3
6616.4781,-42725.38,-364737.27,-36308.87
6616.4821,-41914.23,-365295.26,-35352.66
6616.4861,-42700.82,-367330.07,-36104.87
6616.4901,-44510.56,-368736.02,-37979.08
6616.4941,-44690.85,-367005.92,-38291.55
6616.4981,-42726.38,-364267.3,-36319.78
6616.5021,-41921.86,-364797.59,-35394.48
6616.5061,-42697.96,-366810.03,-36145.79
6616.5101,-44495.3,-368221.85,-38004.36
6616.5141,-44692.71,-366495.22,-38341.48
6616.5181,-42723.76,-363746.07,-36357.84
6616.5221,-41901.4,-364295.57,-35385.42
6616.5261,-42673.88,-366323.8,-36125.43
6616.5301,-44484.48,-367708.39,-37971.22
6616.5341,-44689.61,-365953.3,-38304.38
6616.5381,-42732.72,-363230.56,-36321.12
6616.5421,-41901.45,-363888.64,-35320.1
6616.5461,-42697.15,-366046.33,-36068.97
6616.5501,-44577.08,-367170.52,-38053.04
6616.5541,-44787.75,-365003.1,-38425.16
6616.5581,-42684.51,-362379.31,-36269.29
6616.562,-41791.97,-363390.54,-35197.45
6616.566,-42638.93,-365639.4,-36020.0
6616.57,-44591.05,-366636.42,-38107.26
6616.574,-44798.81,-364325.95,-38491.87
6616.578,-42647.56,-361765.33,-36278.06
6616.582,-41758.97,-362901.3,-35173.28
6616.586,-42648.42,-365208.05,-35995.25
6616.59,-44597.39,-366127.77,-38064.58
6616.594,-44794.61,-363713.26,-38428.64
6616.598,-42624.72,-361191.94,-36188.75
6616.602,-41733.41,-362422.65,-35123.45
6616.606,-42579.7,-364736.65,-35968.64
6616.61,-44571.69,-365595.72,-38098.48
6616.614,-44791.85,-363101.38,-38475.09
6616.618,-42587.52,-360634.7,-36188.18
6616.622,-41677.96,-361932.89,-35089.35
6616.626,-42567.83,-364275.17,-35960.96
6616.63,-44550.61,-365070.91,-38118.08
6616.634,-44757.71,-362525.79,-38521.29
6616.638,-42526.58,-360116.24,-36225.47
6616.642,-41628.65,-361530.49,-35133.32
6616.646,-42522.67,-363930.46,-36011.37
6616.65,-44539.74,-364705.65,-38169.72
6616.654,-44760.76,-362128.16,-38550.81
6616.658,-42527.82,-359784.31,-36201.62
6616.662,-41605.43,-361274.48,-35061.98
6616.666,-42512.37,-363726.9,-35943.13
6616.67,-44548.37,-364465.8,-38138.73
6616.674,-44779.4,-361861.08,-38530.4
6616.678,-42517.05,-359566.54,-36148.46
6616.682,-41600.76,-361142.54,-35016.83
