TimeStamp,ch4,ch6,ch7
6330.2638,-54026.23,-59227.81,-64234.17
6330.2678,-61320.65,-64992.29,-70520.89
6330.2718,-69972.09,-72062.17,-77854.74
6330.2758,-65763.62,-68836.98,-74150.86
6330.2798,-56668.62,-61519.92,-66447.03
6330.2838,-53805.88,-59034.64,-64078.53
6330.2878,-61058.96,-64770.94,-70336.59
6330.2918,-69740.02,-71865.14,-77694.9
6330.2958,-65679.99,-68760.88,-74120.15
6330.2998,-56813.44,-61621.86,-66604.72
6330.3038,-54025.7,-59193.71,-64291.1
6330.3078,-60856.92,-64611.39,-70178.18
6330.3118,-68895.78,-71215.11,-76984.46
6330.3158,-65111.6,-68284.95,-73646.03
6330.3198,-57471.62,-62065.08,-67178.64
6330.3238,-55967.77,-60658.03,-65954.65
6330.3278,-62454.66,-65894.33,-71526.97
6330.3318,-68764.6,-71210.73,-76850.47
6330.3358,-64319.81,-67720.28,-72954.85
6330.3398,-57105.5,-61779.65,-66857.78
6330.3438,-55754.95,-60481.84,-65758.52
6330.3478,-62154.11,-65652.52,-71250.21
6330.3518,-68455.99,-70965.87,-76568.95
6330.3558,-64134.75,-67564.5,-72777.18
6330.3598,-57039.6,-61703.26,-66780.0
6330.3638,-55677.47,-60391.72,-65672.74
6330.3678,-62015.49,-65504.7,-71116.36
6330.3718,-68340.45,-70835.65,-76468.43
6330.3758,-64129.03,-67529.02,-72772.08
6330.3798,-57047.52,-61689.1,-66776.81
6330.3838,-55653.01,-60357.77,-65644.22
6330.3878,-61906.63,-65399.75,-71020.04
6330.3917,-68255.05,-70742.28,-76388.89
6330.3957,-64129.36,-67490.68,-72758.25
6330.3997,-57091.62,-61680.13,-66790.49
6330.4037,-55657.82,-60327.25,-65616.42
6330.4077,-61845.93,-65336.66,-70947.08
6330.4117,-68180.52,-70671.76,-76302.82
6330.4157,-64108.67,-67470.51,-72718.15
6330.4197,-57076.7,-61659.25,-66752.25
6330.4237,-55625.3,-60288.25,-65569.46
6330.4277,-61733.06,-65236.72,-70827.68
6330.4317,-68065.03,-70572.96,-76184.14
6330.4357,-64080.82,-67443.14,-72678.67
6330.4397,-57081.94,-61662.16,-66751.06
6330.4437,-55563.27,-60231.26,-65519.63
6330.4477,-61594.35,-65121.61,-70716.25
6330.4517,-67957.46,-70491.56,-76099.02
